,DWPC,HGHT,PRES,TMPC,UWND,VWND
2019-11-15 06:00:00,"[-9.648680555555565, -35.843773584905655, -28.7596214511041, -35.962112676056336, -69.68696629213484, nan]","[839.5761111111113, 1513.991320754717, 3068.08738170347, 5669.317323943662, 10471.098988764044, 16235.926]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-6.14333333333333, 1.6041509433962262, -2.433817034700314, -17.97830985915493, -52.46224719101124, -63.46]","[12.050841569735544, 8.512253215434413, 4.5963201809363525, 4.706203615680336, 1.7278946567025828, 43.345718726177935]","[-3.322293530290727, -10.567211682703073, -12.192405045532125, -19.99821034835272, -47.91773292330112, -14.140774523026229]"
2019-11-15 09:00:00,"[-13.026666666666657, -31.146132075471698, -29.929779179810726, -32.34684507042254, -65.83303370786517, nan]","[841.099722222222, 1517.8975, 3076.322807570978, 5685.184084507043, 10498.771460674157, 16246.18]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.79055555555556, 2.4772641509433964, -2.2164668769716096, -17.69042253521127, -53.170112359550565, -63.059999999999995]","[9.28998460143739, 5.281921152532002, 10.361537224841348, 10.878678134788903, 4.581408872236421, 36.80273259231974]","[-10.334689654570706, -12.658851765462723, -11.933405166045869, -23.695257730869816, -44.562417820846235, -8.660469833571758]"
2019-11-15 12:00:00,"[-18.34537931034481, -32.40669811320755, -28.838553459119495, -39.95632022471911, -65.83604477611941, nan]","[846.1106206896548, 1525.7644339622645, 3081.5988050314463, 5694.443174157303, 10525.147985074627, 16257.364000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.2827586206896597, 2.262641509433962, -2.3669182389937102, -16.521235955056177, -53.08798507462687, -63.24]","[5.4042540180024465, 6.51600212310423, 13.47340094780962, 20.913879820822206, 14.667219498723094, 29.911761119632256]","[-11.960036189840443, -14.380241331845006, -10.80030149360053, -22.612628295399354, -28.956363382041488, -6.849608946652064]"
2019-11-15 15:00:00,"[-19.349241379310346, -15.55641509433962, -27.67503144654087, -30.573380281690138, -62.64584269662922, nan]","[854.3944137931032, 1535.3833490566042, 3089.801194968553, 5703.805070422535, 10543.132397003747, 16269.01]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.6075862068965506, 2.075849056603773, -2.5914465408805016, -15.447323943661972, -53.45812734082397, -63.96]","[2.6028496928596145, 2.9200209081238935, 12.355621001078733, 18.667841869202185, 16.44504699104183, 27.532357095039863]","[-11.013789761925738, -11.94472528398236, -12.999459030624335, -18.484089927350905, -26.72203944629143, -0.4478937275828136]"
2019-11-15 18:00:00,"[-5.885000000000003, -5.70820754716981, -29.898396226415095, -31.024704225352114, -62.63973880597015, nan]","[855.4962499999998, 1538.8865566037734, 3093.316226415094, 5709.969774647887, 10553.955858208956, 16280.338]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.1774999999999993, 1.7008490566037737, -2.3030817610062897, -15.318028169014086, -53.20291044776119, -64.44]","[2.275021304854059, -7.119776922776411, 15.020779222943398, 19.780532683146696, 19.457509989019123, 29.40531672276511]","[-9.584314840043866, 9.500673277955663, -10.94123510041614, -13.584247618259285, -22.305676757592703, 0.3972561313188011]"
2019-11-15 21:00:00,"[-2.91, -5.080801886792452, -30.21195583596214, -26.56915492957747, -58.95820895522388, nan]","[850.78, 1534.297216981132, 3087.026845425867, 5704.957887323943, 10548.42208955224, 16274.66]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.24, 1.4984905660377361, -2.3423343848580434, -15.452676056338026, -53.299552238805965, -64.88]","[2.9115888589618346, 1.7909409758347972, 18.72943951941584, 20.31321313262727, 25.00744718673639, 33.22688835341418]","[-12.4233751579983, -9.947710656442938, -10.911440460339254, -11.968222055109814, -15.440055007706263, -3.9597139227157574]"
2019-11-16 00:00:00,"[-2.157777777777777, -5.220094339622643, -32.347318611987376, -24.287098591549295, -60.34126865671642, nan]","[856.6338888888885, 1539.0497169811324, 3088.676529968454, 5708.282816901408, 10552.9851119403, 16287.036]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[1.0788888888888866, 1.307924528301886, -2.224353312302839, -15.604507042253521, -53.79656716417911, -64.28]","[-3.5816183695026584, 0.7067925631555475, 13.319866908205729, 18.956778578843167, 28.30291592072567, 31.99618744079076]","[-11.281202776734803, -10.311560010118047, -11.355000841861434, -12.787756177001858, -15.275161336793273, -7.904033986122762]"
2019-11-16 03:00:00,"[-2.2017931034482756, -5.802159624413147, -30.505849056603775, -21.520224719101122, -58.737388059701495, nan]","[857.3833793103449, 1539.2200938967137, 3088.043962264151, 5707.193033707866, 10548.1951119403, 16282.279999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.1765517241379294, 1.4606572769953046, -2.5505660377358494, -15.028539325842697, -53.9689552238806, -64.28]","[-7.7601327888272555, -3.6585037324142826, 8.1360249850892, 18.247019033423374, 27.127676080835005, 31.043027619451777]","[-5.506731788490746, 5.760454760022023, -11.226552204880017, -12.257073444754992, -14.776763980370795, -6.643715242088123]"
2019-11-16 06:00:00,"[-2.4383448275862074, -5.758301886792453, -30.280473186119885, -26.182893258426965, -60.61104868913858, nan]","[856.6270344827582, 1537.5680188679246, 3084.838990536278, 5700.917556179775, 10541.959662921348, 16270.305999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.4882758620689681, 1.1560377358490563, -2.8533753943217675, -15.427134831460672, -53.88546816479401, -64.2]","[-7.105628263007157, 1.0578965672841887, 5.068484816624378, 17.11871022209188, 26.3095293457454, 33.41768089379543]","[-2.5327256777908085, -5.595880614606457, -6.0633185609731175, -3.30590159140391, -11.28772128780318, -8.085822634739154]"
