,DWPC,HGHT,PRES,TMPC,UWND,VWND
2017-06-14 12:00:00,"[17.7484375, 14.317434554973822, 4.60141414141414, -25.300857142857144, -63.49765151515152, nan]","[802.8823437499997, 1533.706439790576, 3168.2984848484853, 5853.671428571428, 10886.044053030302, 16608.241472868216]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.4134375, 17.370890052356017, 7.360202020202017, -8.879999999999999, -43.53878787878788, -68.52279069767442]","[22.095235916475442, 16.278062633487025, 12.013232810974609, 5.937482367827959, 19.274894540480624, 15.992398825551247]","[5.687995599147265, 4.785657974319334, 10.682940126120299, 6.9149480991085355, 6.134095853209519, 5.143143480001917]"
2017-06-14 15:00:00,"[18.046875, 13.199109947643981, 3.730909090909093, -24.672922636103152, -49.94742424242425, nan]","[799.2837500000003, 1530.3045549738217, 3165.323333333333, 5850.175329512894, 10891.363030303031, 16601.679534883722]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.555625, 17.502303664921467, 7.577710437710441, -8.733638968481376, -42.846363636363634, -68.78558139534884]","[11.960308610119815, 12.757779288696627, 15.336999107671513, 11.774034330695537, 19.00212661844809, 15.093173676986972]","[8.128884887436524, 8.45797766594928, 11.838584345793082, 16.060687223842912, 12.257559560066165, 2.6074433487800266]"
2017-06-14 18:00:00,"[18.523984375, 15.254973821989527, 3.683986486486485, -16.860716332378225, -46.77333333333333, nan]","[799.3705468749997, 1531.8245549738224, 3168.5731081081085, 5851.8862177650435, 10881.593939393939, 16607.366434108528]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.555625000000003, 17.353612565445026, 7.796081081081079, -9.519885386819485, -42.92060606060606, -67.08713178294573]","[7.393607281098106, 9.659416507798975, 17.318935311511314, 20.564689215160453, 15.014344585842919, 11.397442053077286]","[9.321515683135964, 9.686339907534588, 9.957117421728237, 17.718415535950776, 19.265640004414593, 6.721792727561359]"
2017-06-14 21:00:00,"[19.301754385964912, 17.076230366492144, 3.871283783783785, -17.00448275862069, -46.28817490494296, nan]","[784.7973684210531, 1519.482146596859, 3159.154189189189, 5845.161264367816, 10875.417148288974, 16614.616434108528]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[24.317192982456135, 17.7248167539267, 8.197432432432434, -10.036436781609195, -42.248212927756654, -67.22279069767443]","[6.592911856753719, 8.351927493004428, 17.036377324977945, 23.77171289525409, 20.235971440605105, 14.023036476303256]","[15.334541979806739, 15.694576064165279, 7.16185913792919, 10.205423647530958, 26.862756311186825, 4.036979197367028]"
2017-06-15 00:00:00,"[18.90754385964912, 14.39494736842105, -0.3989864864864868, -10.832356321839079, -45.2551711026616, nan]","[775.9091228070178, 1508.1990526315792, 3149.323445945946, 5837.297471264368, 10875.55699619772, 16606.957054263567]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.66280701754386, 18.19578947368421, 9.407567567567567, -9.993620689655172, -41.5558174904943, -67.54527131782946]","[16.625927041790696, 19.46164372896921, 11.880259270598055, 15.79378734431821, 18.40334970285711, 14.326799962812004]","[18.448143269871373, 17.761548955700107, 5.972918729446862, 1.5513854711696984, 22.880474418758464, 6.926897934451599]"
2017-06-15 03:00:00,"[19.114210526315787, 10.75298429319372, 1.1101351351351363, -16.732499999999998, -46.193939393939395, nan]","[778.5945614035087, 1512.5360209424082, 3155.8578040540533, 5840.552557471265, 10870.43803030303, 16606.221162790698]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.11894736842105, 19.6269109947644, 9.005878378378382, -10.386724137931035, -41.987272727272725, -66.36465116279071]","[18.96396722320028, 25.054955658169636, 20.69838572264438, 15.833573229754316, 13.55637682309464, 16.039879757953]","[16.948953131516358, 6.933415117944348, 2.9563390115436055, 2.888794520437621, 21.90135957045787, 2.49312744040863]"
2017-06-15 06:00:00,"[17.867894736842103, 13.079684210526313, 3.298851351351351, -28.482951289398276, -47.66106060606061, nan]","[777.578157894737, 1510.6795789473686, 3151.6884459459457, 5834.660429799426, 10848.130681818182, 16590.278217054263]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.00315789473684, 18.572105263157894, 8.386621621621623, -10.347965616045842, -41.846363636363634, -65.78403100775195]","[23.23302024785455, 20.502302545555235, 21.502917921295136, 20.67020285592706, 12.820126807169789, 16.30157904765768]","[11.583423360802204, 4.51850481892666, 2.534959061098795, 1.9102187732404625, 23.072762544329457, 2.0201892561955956]"
2017-06-15 09:00:00,"[17.982260869565216, 13.985263157894735, 0.3454915254237262, -15.760547550432278, -46.18473484848485, nan]","[765.2879999999998, 1498.1205263157894, 3137.1442033898306, 5822.160922190202, 10825.66037878788, 16578.197131782945]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.949565217391307, 18.187368421052632, 8.716949152542371, -10.903515850144093, -42.01113636363637, -66.16]","[23.599387555396255, 21.86822311228317, 20.748700913008904, 24.303888629757612, 12.145426430094108, 12.271115496547614]","[1.5276864480495298, 3.2068481372082687, 6.4251231047248325, -1.3029496919994954, 26.262992259626422, -2.6016434797739474]"
2017-06-15 12:00:00,"[19.32438596491228, 15.201894736842107, -2.309694915254234, -16.965389048991355, -46.65745247148289, nan]","[767.3749122807016, 1498.3893684210525, 3137.306915254237, 5819.490115273775, 10814.873384030418, 16567.37054263566]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[21.396140350877193, 17.634736842105266, 9.06949152542373, -11.123688760806914, -42.30182509505703, -66.11968992248062]","[15.452553529679635, 18.479010667949304, 22.407406911480948, 26.163098173242528, 14.238344471185673, 10.076866221759074]","[-1.8104132122329426, -0.0393813976468926, 4.035314752137677, -0.49655172515644297, 29.938235211801114, 2.8730947475573574]"
2017-06-15 15:00:00,"[19.907894736842103, 13.21873684210526, -4.977094594594592, -31.42833333333333, -46.83387832699619, nan]","[777.3428070175443, 1507.2258947368427, 3142.561148648648, 5826.651379310345, 10810.890114068441, 16580.777131782947]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[20.58912280701754, 17.492631578947364, 8.53054054054054, -10.075517241379309, -42.889277566539924, -66.31503875968991]","[10.31769453459296, 12.478008533880224, 20.617974003611998, 28.0982901781364, 23.13132556910663, 9.059955641619629]","[-1.887643077580464, -5.592636143037772, 4.887979149961225, -4.006340492008684, 34.53704571181677, 4.0185011677981075]"
