,DWPC,HGHT,PRES,TMPC,UWND,VWND
2011-12-05 06:00:00,"[-3.4518604651162796, -8.319668246445497, -9.018164556962025, -18.674504249291786, -60.01925093632959, nan]","[822.7804651162792, 1502.2723696682463, 3052.8294620253164, 5638.053654390936, 10473.540599250937, 16166.65]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.7545736434108532, 1.9110900473933632, -5.2853164556962025, -16.65461756373938, -55.352134831460674, -61.08]","[-2.1792743238357866, 9.506962399775935, 16.045300009965167, 31.115821902535437, 63.50764623061669, 69.19669062565971]","[-12.22077663503464, 6.992145867843429, 15.109236372659716, 43.912973468743644, 82.56657455385167, 37.54884805765335]"
2011-12-05 09:00:00,"[-4.281860465116278, -9.49123222748815, -8.878190476190472, -19.69594900849858, -60.013796992481204, nan]","[817.9465116279068, 1494.6830805687207, 3045.6972380952375, 5626.397110481586, 10459.940451127819, 16148.816]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.8762790697674412, 1.1385781990521353, -5.675238095238093, -17.622039660056657, -55.27578947368421, -61.199999999999996]","[-7.207312005291846, 6.918992199471403, 20.4910973547216, 20.63876126473562, 84.45853026582658, 75.81586636431565]","[-15.371668282390477, -4.446958881998271, 11.076545949020934, 44.539246473667525, 69.11305297588876, 35.002949067588986]"
2011-12-05 12:00:00,"[-5.464153846153849, -13.994644549763033, -8.065238095238096, -19.8414730878187, -58.676779026217226, nan]","[819.3493846153848, 1494.5842654028434, 3040.4176190476187, 5615.963711048159, 10441.90479400749, 16140.882]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.812307692307692, 0.9651184834123214, -6.091746031746031, -17.73818696883853, -54.317677902621725, -61.339999999999996]","[-9.904350718704158, 2.331437720468159, 15.17928495978171, 28.237495316586514, 100.78918233854256, 75.59102367051997]","[-16.99627201137624, -13.609037151213741, 11.787399877192888, 45.788836071249534, 90.79215356412926, 32.59218103231035]"
2011-12-05 15:00:00,"[-4.427829457364345, -15.733886255924169, -7.324050632911399, -24.659745762711864, -59.822808988764045, nan]","[827.8065891472872, 1501.9475829383882, 3041.936962025317, 5612.622994350283, 10443.134719101125, 16142.616]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-2.377829457364341, -0.5296682464454988, -6.251139240506332, -18.891638418079097, -54.799325842696625, -64.6]","[-9.228644250443638, -4.487511681493929, 12.226329611526175, 57.43828355303945, 92.87820228032643, 84.50963874282363]","[-17.062061065727722, -11.83022787135299, 10.748704900403496, 34.76624024402535, 87.60931207350534, 52.51261729867827]"
2011-12-05 18:00:00,"[-2.5530232558139536, -16.058113207547173, -8.276888888888887, -26.928813559322034, -58.29492481203007, nan]","[832.9573643410853, 1507.1396226415097, 3043.797555555555, 5595.4445762711875, 10443.226541353384, 16143.764000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.4910077519379845, -0.6524528301886786, -6.4577777777777765, -22.690508474576273, -53.640451127819546, -63.059999999999995]","[-6.603293449578256, -5.568212746976064, 8.88395087858814, 61.643000951410755, 70.85597607380106, 66.05396214666719]","[-18.885365316464863, -6.251489893470344, 16.618920037312478, 13.981936392413829, 89.27013569049188, 48.65292929235257]"
2011-12-05 21:00:00,"[-1.40325581395349, -15.901895734597154, -8.669367088607597, -41.738220338983055, -62.989288389513106, nan]","[838.3069767441864, 1511.0446445497628, 3045.272025316456, 5590.4853107344625, 10407.884644194757, 16125.534]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.120465116279073, -0.9126066350710909, -7.271392405063293, -22.31056497175141, -52.83191011235955, -62.419999999999995]","[-6.079461739965389, -8.496843378697172, 17.52114366862473, 52.53185313208355, 88.61712717994065, 68.79526789144711]","[-20.737945870491096, 1.4278020133127864, 16.150423986657295, 7.894420713709827, 85.1219925491213, 43.04483964128599]"
2011-12-06 00:00:00,"[-3.4651937984496124, -13.708113207547164, -13.629053627760253, -41.81425352112676, -66.4849063670412, nan]","[846.5463565891473, 1515.3946226415092, 3046.942334384858, 5600.988422535211, 10387.3565917603, 16118.544]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-2.2289922480620152, -2.4996226415094354, -7.478296529968454, -19.778873239436617, -53.5476404494382, -61.76]","[-13.000815576674595, -4.083084880384416, 19.760140757947518, 59.05899431881042, 95.61259126730339, 68.56231937549974]","[-23.755020435640382, -11.182707652547569, 7.877973631460447, 22.755182947538156, 74.18455086233236, 39.297799402154496]"
2011-12-06 03:00:00,"[-4.819999999999999, -13.94358490566038, -15.809274447949527, -37.55662921348315, -66.47835820895523, nan]","[856.7090277777778, 1524.7511320754718, 3053.3803154574134, 5605.552808988764, 10377.738843283581, 16106.856]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.108611111111111, -3.16566037735849, -7.803533123028391, -20.758876404494384, -53.909253731343284, -60.8]","[-15.8914613301133, -5.304757184327059, 20.285396535467076, 59.634277582304136, 93.81299258653233, 70.77943322687291]","[-22.950303614102157, -9.599088679448762, 7.188664886216506, 29.581725569338015, 65.57445401813204, 42.069205793342924]"
2011-12-06 06:00:00,"[-5.55034722222222, -15.000471698113213, -16.45213836477987, -34.46422535211268, -66.48059925093634, nan]","[857.6055555555553, 1524.86391509434, 3050.413333333333, 5597.048169014084, 10360.890599250935, 16109.112]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.6231944444444424, -3.1779245283018867, -8.127295597484276, -21.469859154929576, -54.121048689138576, -59.959999999999994]","[-14.731449856075471, -4.1340375265952805, 20.02293665839021, 57.626740951318475, 95.1819059874704, 73.46127302879655]","[-20.175497672258608, -7.51434885383338, 7.371797855778762, 32.557280465070036, 59.39513812627478, 36.271732092479496]"
