,DWPC,HGHT,PRES,TMPC,UWND,VWND
2018-12-03 12:00:00,"[-3.6164062499999976, -7.952931937172776, -11.440743243243244, -27.230573065902576, nan, nan]","[738.0797656249996, 1402.2287434554976, 2905.002972972973, 5431.058395415472, 10155.819239543725, 16075.462170542634]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.471718749999998, -7.43539267015707, -10.864054054054055, -24.79810888252149, -47.904866920152095, -56.04062015503876]","[7.896983244508791, 12.894913427944362, 21.305658343893587, 26.451639215600952, 63.79279530659153, 41.39634782258274]","[-13.77867037120954, -12.847209207514895, -6.977530853986943, -1.8969413356255533, 22.41998456750224, 7.6389956325046064]"
2018-12-03 15:00:00,"[-4.194218749999998, -8.202251308900523, -12.371851851851853, -27.77182857142857, nan, nan]","[755.0999218749997, 1418.4467539267016, 2918.001111111111, 5437.874114285714, 10161.08283018868, 16078.19984496124]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.931874999999999, -7.644816753926701, -11.297037037037038, -24.929714285714287, -47.7577358490566, -55.82124031007752]","[8.612589442349078, 6.606322030545221, 16.94693736435275, 24.816187395827058, 57.68181401549643, 41.14684616940838]","[-14.783301255929361, -13.469258024938497, -10.97916707128232, -6.000890603331597, 12.688183260722793, 3.6468400217814367]"
2018-12-03 18:00:00,"[-3.8693023255813963, -8.012303664921468, -13.461375838926175, -30.428945868945867, nan, nan]","[768.0752713178297, 1431.0450785340317, 2926.8203355704695, 5442.627037037037, 10163.716226415094, 16079.299224806202]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.489457364341086, -7.52649214659686, -12.44255033557047, -24.552307692307693, -48.61056603773584, -55.49875968992248]","[7.968625489334194, 3.5287899866929533, 9.663201303633345, 28.209299852845433, 55.26953611053704, 40.15112745456745]","[-16.240786040607105, -14.421887695257956, -9.959854358705119, -6.9911597021514895, 12.243452096745518, 3.2494559083672883]"
2018-12-03 21:00:00,"[-3.943515625, -8.31542857142857, -13.996086956521738, -47.371367521367524, nan, nan]","[778.4932812499999, 1441.3439999999996, 2935.7728093645483, 5444.6998290598285, 10157.33045112782, 16075.286]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.5662499999999993, -7.774285714285712, -12.178729096989965, -24.545470085470082, -49.63556390977443, -55.3]","[4.0777960333046, 2.3225949515239397, 5.391552994423475, 28.74613483407804, 55.89421005627482, 41.486495850691675]","[-15.807585372159748, -12.623976444963459, -12.974056342765815, -5.324232885663436, 9.681386563960366, 2.8166267112527863]"
2018-12-04 00:00:00,"[-4.590697674418605, -8.684000000000001, -15.581366666666668, -58.10017045454545, nan, nan]","[795.4765116279071, 1457.4530000000002, 2950.313566666667, 5455.437102272727, 10165.599736842105, 16086.988]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.23984496124031, -7.920000000000002, -12.699333333333335, -24.294090909090908, -49.83105263157895, -55.160000000000004]","[2.40249001199942, 0.9538602941907718, 6.214107925870424, 25.40985400172075, 58.31735920415801, 43.399519296699935]","[-17.186378339330563, -11.344971376745132, -10.266102609887819, -5.876931172122153, 5.563153109246411, 1.457909741846127]"
2018-12-04 03:00:00,"[-5.654651162790696, -8.810900473933646, -17.839333333333332, -52.39397727272728, nan, nan]","[804.2999999999997, 1465.858436018957, 2957.2945333333337, 5462.300681818182, 10172.927593984961, 16090.874]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.51736434108527, -8.178957345971561, -13.433333333333335, -24.799204545454547, -49.82992481203007, -55.660000000000004]","[-1.7554066890106919, -7.14998684746054, 7.903313850554543, 24.213871984556555, 61.776900866286546, 47.39890993959563]","[-14.835655328077994, -3.5640766069435674, -10.887139567278934, -6.348694825532567, 1.4783219816395856, 1.8241964088614053]"
2018-12-04 06:00:00,"[-6.000000000000001, -9.549668246445496, -21.325873015873018, -51.65770538243627, nan, nan]","[809.8693023255815, 1470.674644549763, 2962.729873015873, 5469.213371104816, 10182.436842105262, 16087.846000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.639069767441861, -8.863317535545022, -13.164444444444445, -25.315240793201134, -49.82240601503759, -56.12]","[-3.8307790675218225, 1.8044750374428271, 3.877259545008775, 18.127991265324532, 64.67945106258678, 52.33451965717427]","[-10.836793738403328, -4.586722485626357, -10.103216533379914, -7.2421239913070625, 1.5541495079317609, 1.096251911214185]"
2018-12-04 09:00:00,"[-6.31984496124031, -10.317393364928908, -24.920791139240507, -47.25747875354108, -71.38779026217229, nan]","[813.0669767441861, 1472.7530805687202, 2963.902056962025, 5471.165127478754, 10183.527752808988, 16082.253999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-5.028217054263567, -9.572796208530804, -13.075822784810127, -25.729971671388103, -50.36299625468165, -56.199999999999996]","[-1.3053161139576024, 4.592557164863411, 1.2516220933633686, 10.521509739744419, 66.02558679230145, 54.23368478073603]","[-6.439421015598356, -1.2423626930502898, -7.1088856653141725, -1.408608201216333, 2.682943973203288, -1.4845710167457968]"
2018-12-04 12:00:00,"[-6.35984496124031, -10.776255924170615, -27.502507936507932, -43.80917847025496, -70.27556390977443, nan]","[816.9338759689924, 1475.2600947867297, 2964.824571428571, 5467.650651558074, 10169.841729323309, 16080.831999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-5.70263565891473, -10.001232227488149, -12.885396825396823, -26.545835694050993, -50.57954887218045, -56.32]","[1.2503324474910253, 6.597163020988485, -1.0548003430292225, 1.1352221019080067, 59.082915838854994, 53.93129699273073]","[-5.788438326782889, -0.19349437847670628, -2.374862039305267, -0.06451495049359267, 5.215105061139396, -2.043551976797609]"
2018-12-04 15:00:00,"[-6.882999999999998, -10.922796208530807, -26.966012658227843, -41.244745762711865, -71.39030075187969, nan]","[823.399923076923, 1480.1657345971566, 2967.194367088607, 5462.281694915254, 10155.000864661653, 16087.662]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-6.346923076923075, -10.178483412322276, -13.422025316455695, -27.449830508474577, -49.11526315789474, -56.36]","[3.532125459487552, 5.1060146982262555, 1.312873046546417, -1.2684447560653103, 51.50526356875812, 54.46624458623761]","[-6.565231272958626, 2.4808091141938116, 2.4777851526527797, 5.438789675556366, 5.219149466807329, -0.4372924332106445]"
2018-12-04 18:00:00,"[-6.968372093023256, -11.401516587677724, -22.67873015873016, -43.11399433427763, nan, nan]","[813.9439534883725, 1470.1377251184836, 2953.3304761904765, 5439.232209631728, 10136.672781954887, 16076.243999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-5.978604651162794, -10.594597156398104, -14.783809523809524, -28.197110481586407, -47.69233082706767, -56.86]","[5.19786816206971, 7.013575276552858, 5.794014258956317, 0.336078569532485, 53.94802221105663, 58.64183299101097]","[-3.4030772578435307, 5.176255399949421, 1.981062815289307, 5.0572589011037365, 1.1857911381749948, -1.4598025395161258]"
2018-12-04 21:00:00,"[-7.833023255813953, -11.587677725118482, -19.290133333333337, -47.298465909090915, nan, nan]","[804.0241085271315, 1460.8053554502367, 2940.92, 5422.087215909091, 10122.94872180451, 16064.942000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-5.303410852713176, -10.716398104265402, -15.34, -28.260568181818183, -47.24345864661654, -57.36]","[7.703465416086449, 13.110975492089233, 7.771249481041339, 5.908710107601967, 63.69135625204243, 63.50506949535497]","[-2.2079631562739315, -1.1721785196143517, 1.1571874990074584, 3.2514929194695457, -3.49575810235445, -4.743761417918907]"
2018-12-05 00:00:00,"[-6.2153488372093015, -11.122511848341235, -18.0922, -49.58549575070821, -71.38718045112782, nan]","[806.8327906976743, 1464.0706635071092, 2939.7719999999995, 5416.620934844193, 10125.00469924812, 16068.563999999998]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-5.699534883720929, -10.28796208530806, -15.854333333333331, -28.56084985835694, -46.78481203007519, -57.46]","[11.140212050271828, 13.776383622963158, 8.361966848668649, 11.597471767970962, 76.05085907949663, 65.53527622510056]","[-0.7132767238747505, -0.6147914280034845, 0.779636801900507, 2.321762847033468, -7.144922917535506, -6.243380022052931]"
