,DWPC,HGHT,PRES,TMPC,UWND,VWND
2013-03-16 12:00:00,"[5.162105263157895, 1.6583068783068802, -9.948401360544219, -28.84800578034682, -60.03, nan]","[694.0705263157894, 1389.7222222222222, 2976.6742176870744, 5570.691589595375, 10347.888167938932, 16101.317519379845]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[5.8978947368421055, 9.2394708994709, -0.26374149659863655, -18.98687861271676, -55.90656488549618, -59.6537984496124]","[11.034380602956071, 23.426752450754027, 41.15852371223009, 63.31988978918957, 94.19022475880722, 51.40154767616356]","[-19.418622878958256, -16.319775969702807, -9.875938153903775, -16.52375053650133, -15.619264568179213, -22.420767072437584]"
2013-03-16 15:00:00,"[-0.30736842105263346, -3.2606315789473634, -21.697567567567567, -26.413025936599425, -59.78844106463878, nan]","[718.2328070175442, 1399.3696315789468, 2972.9854054054053, 5560.238357348703, 10331.234828897339, 16096.482170542637]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.3873684210526295, 4.1636842105263145, -0.6924324324324328, -20.550778097982707, -55.76722433460076, -60.18945736434109]","[8.160030808482711, 15.973848961455904, 41.975174212959146, 52.51808987504096, 91.37798485855997, 44.64152477103381]","[-20.49228292479697, -22.61706089622922, -14.169203295677647, -15.82087306380069, -13.395640633320111, -20.836762515478014]"
2013-03-16 18:00:00,"[-1.7764035087719299, -6.155578947368419, -18.0954054054054, -22.368620689655174, -62.05863117870722, nan]","[737.8194736842105, 1414.4172631578945, 2981.20972972973, 5563.779396551724, 10326.54475285171, 16105.277131782947]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.22052631578947363, 2.728421052631577, -1.7194594594594617, -20.005689655172414, -56.59574144486692, -58.79255813953488]","[3.6909722743265605, 13.528132396546196, 40.87965061227116, 56.117489604817855, 98.64426653048875, 46.13852272629496]","[-19.39650557928105, -20.077438587171127, -12.764754647729768, -12.180676430170104, -19.789573620438208, -10.264494245028803]"
2013-03-16 21:00:00,"[-2.4764062500000006, -7.6956544502617765, -33.04756756756757, -26.48722063037249, -62.08560606060606, nan]","[749.5245312500001, 1422.8014659685862, 2981.048378378378, 5558.31111747851, 10333.551666666666, 16105.776976744186]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.6931249999999984, -0.8573821989528831, -2.424864864864863, -20.70813753581662, -57.21757575757576, -57.63596899224806]","[-4.916481849139347, 5.977868482361136, 33.482672185884944, 59.49247758264358, 97.50562316026344, 59.516049535615224]","[-15.57117161771626, -17.18050522263478, -13.294378432870767, -20.530572777814978, -15.780822228999451, -14.764543835044398]"
2013-03-17 00:00:00,"[-3.480078124999999, -9.770837696335073, -38.52130872483222, -32.99691428571429, -62.11245283018868, nan]","[761.5245312499997, 1431.6864397905756, 2986.9908053691274, 5562.541828571429, 10338.591471698113, 16112.993255813954]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.6576562499999967, -1.466806282722517, -2.8277852348993284, -19.67885714285714, -57.346415094339626, -59.69720930232558]","[-3.3148413216684056, 4.640366649872308, 26.588645508117157, 61.53297584331132, 92.27016373030528, 72.73241542234608]","[-12.551853221628907, -9.812547469450074, -10.71650654782204, -20.111125693991504, -14.91613097866739, -4.5009557566530525]"
2013-03-17 03:00:00,"[-5.249062500000001, -13.296178010471214, -34.727751677852346, -27.594285714285714, -60.4988679245283, nan]","[773.1104687500002, 1443.274869109948, 2996.897986577181, 5566.7585714285715, 10344.382264150943, 16120.20511627907]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-2.624062500000001, 0.8803141361256631, -3.7415436241610727, -20.388571428571428, -56.182641509433964, -60.46]","[-4.372564868840077, 6.378944225812434, 24.11894644681823, 53.01740729318295, 100.00494080999196, 76.43727650250717]","[-10.501183560899198, -3.5274987550698924, -5.301058028706669, -16.81956718335174, -9.67923949527802, 4.178383746526952]"
2013-03-17 06:00:00,"[-6.7387500000000005, -14.969761904761905, -37.845652173913045, -19.907407407407405, -60.51396226415094, nan]","[777.0000000000001, 1446.2347619047619, 2994.0811371237455, 5561.08962962963, 10340.40641509434, 16115.706]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.538125, 0.9542857142857143, -4.7094983277591975, -17.637207977207975, -55.62150943396226, -60.76]","[-6.618324437106922, 6.083272101115167, 20.744096258361377, 62.220783708741145, 102.72682248569288, 75.56625005389552]","[-13.7223542675881, -7.548961885172945, -1.8249276949312456, 12.26183010553118, 2.9275162388365352, -3.724891514143062]"
2013-03-17 09:00:00,"[-7.0043750000000005, -17.936095238095238, -11.116912751677853, -19.754188034188033, -62.52524528301887, nan]","[773.6254687500002, 1441.4058095238092, 2974.198926174496, 5548.794786324786, 10340.912452830189, 16099.232]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-6.172500000000001, 1.549523809523809, -9.37275167785235, -17.611851851851853, -57.76981132075471, -60.54]","[-11.394360377450226, 2.8107613820914823, 11.324002922557925, 52.00732554656596, 95.53626085783424, 78.0894036190583]","[-13.32135486489451, -8.351503309994158, -9.473092580012308, 31.77341993067022, 14.30899693080275, 3.7208502280803253]"
2013-03-17 12:00:00,"[-7.415156250000002, -5.7313333333333345, -7.892307692307692, -20.497179487179487, -60.51396226415094, nan]","[777.1335937500002, 1440.4919999999997, 2969.0330769230777, 5544.581282051282, 10329.27154716981, 16096.385999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-6.660781250000001, -2.66, -6.336923076923077, -18.265128205128203, -55.41811320754717, -58.16]","[-12.793712332155689, -3.2211342691571616, 12.939374350947983, 61.011835838734875, 108.11057688126166, 78.90825074409379]","[-8.464261068869456, -3.6952444768130506, -7.339791867653157, 13.074092590108162, 20.15814085488745, -5.086172284461273]"
2013-03-17 15:00:00,"[-7.665116279069768, -6.366857142857143, -7.308695652173913, -20.036324786324784, -60.21443609022556, -77.47800000000001]","[781.0223255813955, 1446.4508571428576, 2975.5748160535118, 5551.77829059829, 10333.512706766916, 16112.742]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-6.578604651162792, -1.7828571428571438, -6.5265551839464875, -17.99247863247863, -55.173533834586465, -58.34]","[-15.619520552892542, -6.1647616196547546, 8.657428352601926, 58.02310168488627, 102.95422908163995, 77.054840020747]","[-9.522278402384096, -4.962570923707961, 0.9961374357886703, 17.462059004201368, 28.8509519267148, -3.493649292228201]"
