,DWPC,HGHT,PRES,TMPC,UWND,VWND
2019-10-10 06:00:00,"[7.224062499999999, -24.67499999999999, -26.26003355704698, -13.430427350427351, -53.6022641509434, nan]","[812.5475781250002, 1527.5170833333332, 3136.488791946309, 5782.49245014245, 10712.779056603775, 16432.10906976744]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.02359375, 15.141562500000001, 3.8735570469798644, -12.162279202279203, -50.11094339622642, -62.03906976744186]","[-8.399698578666921, 0.38047656096502896, 9.450767316623521, 23.499000523788247, 36.227671130078726, 28.238646217739248]","[18.357708321115844, 13.015898536531866, 17.49854251681944, 15.420223312727684, 14.223486131536372, 13.979091273550292]"
2019-10-10 09:00:00,"[6.634296875000002, -1.0878125000000092, -12.554832214765106, -14.136723646723647, -55.43641509433962, nan]","[809.2836718749998, 1522.3934375000003, 3123.9459060402683, 5779.178746438746, 10703.938301886792, 16426.015813953487]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.204843750000002, 11.857187499999997, 3.200067114093961, -12.132934472934474, -49.50528301886793, -63.21658914728682]","[-0.6287404028634785, 7.189147390008175, 2.568733407660326, 22.911239325393975, 42.05931682546256, 31.636971560170018]","[19.638375230583957, 15.352635475863375, 13.130185218179324, 15.065646278259067, 4.481116317930275, 8.67744368685774]"
2019-10-10 12:00:00,"[12.0796875, 8.125916230366492, -5.1106711409395995, -16.016600000000004, -52.80811320754717, nan]","[809.5596874999999, 1523.2349738219893, 3126.5367114093956, 5782.3532000000005, 10716.669056603774, 16430.82945736434]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.099375000000002, 10.947853403141362, 4.181610738255034, -12.456000000000003, -48.933584905660375, -62.63751937984496]","[0.035796994512985326, 3.304621998099973, 1.2643812411113182, 23.201507696710603, 46.52522038496511, 27.044068661104518]","[21.24028233505478, 16.5150827122298, 13.245089722063764, 16.232597544431346, 5.4309780189400945, 7.99661143970564]"
2019-10-10 15:00:00,"[11.371875, 8.598020833333335, -31.561476510067116, -14.165099715099714, -52.68301886792453, nan]","[811.3746874999999, 1525.2499999999995, 3125.87355704698, 5782.196866096867, 10721.223396226414, 16433.79542635659]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.565, 10.856666666666671, 4.941342281879195, -12.361139601139602, -49.58830188679246, -62.6568992248062]","[0.07533313725626496, 2.136880493212904, 0.8469432638429851, 18.25989258071554, 47.012533736111585, 25.206195441949756]","[22.205809716656077, 19.245900666172286, 19.918579186530767, 13.85072739767024, 11.556414806866504, 10.073927067975212]"
2019-10-10 18:00:00,"[12.520697674418603, 10.511361256544502, -9.147785234899333, -12.2236, -52.06984905660377, nan]","[808.7327906976747, 1523.79554973822, 3123.1073154362416, 5780.405685714286, 10734.3699245283, 16443.327519379844]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.216744186046512, 11.505968586387432, 3.229932885906041, -10.936, -49.46528301886792, -63.1631007751938]","[-0.9975052166647803, 9.66130968196564, 12.925775809101902, 15.734934955754222, 50.15462858864669, 27.258004879933658]","[18.18871446409883, 16.429204055147135, 23.878171755454535, 26.87875258090544, 19.44773224887792, 9.076256730700056]"
2019-10-10 21:00:00,"[13.258046875000002, 8.59717277486911, 1.6207407407407406, -11.694212034383957, -51.786515151515154, nan]","[787.6827343749997, 1504.6781675392672, 3102.2859259259253, 5766.590830945559, 10730.870303030302, 16437.90558139535]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.16890625, 12.09130890052356, 2.272659932659935, -10.409283667621779, -49.04030303030303, -63.50341085271318]","[-5.6419947128856585, -0.5994905440818412, 18.747494817343096, 40.920115307468464, 28.896361300119814, 30.13881242612956]","[21.525614574828676, 21.720943368423562, 30.90171181320636, 3.1870663867357503, 13.641955946201353, 8.091012686167655]"
2019-10-11 00:00:00,"[13.392992125984252, 10.413979057591623, 3.1245791245791237, -15.438796561604585, -58.80348484848485, nan]","[786.7530708661417, 1506.6690052356016, 3111.109898989899, 5776.314871060172, 10722.186363636363, 16442.26542635659]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.57700787401575, 13.174554973821992, 3.4184511784511775, -10.7545558739255, -48.49484848484848, -62.44372093023256]","[-11.81881470070446, 2.032100530336283, 21.11092697040041, 33.939393590628974, 23.574347667563526, 29.173668078513078]","[25.965883342828327, 28.712735370834793, 18.034511897847125, 6.708646168251373, 16.32420561845616, 7.876106131487161]"
2019-10-11 03:00:00,"[14.303749999999997, 11.324136125654451, 2.6579729729729764, -15.391948424068769, -53.27590909090909, nan]","[787.7609375000003, 1509.3800523560208, 3120.1109459459453, 5784.659684813753, 10729.95803030303, 16449.7896124031]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.9025, 13.6834554973822, 3.914324324324328, -11.420458452722066, -48.123636363636365, -63.54217054263566]","[-1.9640249054604864, 6.406634216952604, 12.149922476237155, 24.183823361530013, 47.27557169000375, 24.02750659582233]","[36.94376804922092, 30.295174722603445, 10.816244988161353, 9.466432960186198, 16.690384397120045, 6.745269527038165]"
2019-10-11 06:00:00,"[14.61469565217391, 11.376178010471204, 3.735168918918918, -16.023678160919538, -51.77090909090909, nan]","[772.5415652173915, 1494.7176439790576, 3106.2537162162166, 5769.891839080459, 10731.096931818181, 16440.25937984496]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.922608695652176, 13.893403141361254, 4.550810810810809, -10.973793103448276, -48.68727272727273, -63.828992248062015]","[9.185407422290256, 10.741992051583717, 8.760320117487693, 18.880990800677722, 58.956799680293656, 24.192862267339564]","[36.26427104240492, 30.63365736578412, 23.930086375867692, 16.78264238807338, 13.64105848048661, 6.706137390417193]"
