,DWPC,HGHT,PRES,TMPC,UWND,VWND
2011-07-28 12:00:00,"[10.739999999999997, -5.32319371727748, 6.3736700336700345, -7.269083094555873, -54.73628787878788, -77.47945736434109]","[804.2212500000002, 1546.2712041884813, 3208.6768686868686, 5933.958080229226, 11046.766363636363, 16733.982403100777]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[26.702499999999997, 24.267225130890054, 12.128215488215488, -6.205558739255013, -39.76113636363637, -70.88713178294573]","[24.071798857875986, 20.708564585550494, 12.295860602656228, 17.468030861283378, 7.745374587050271, 16.768540057383227]","[13.361071300927197, 4.3360409996488665, 4.8572292062357185, 9.066151867685594, 2.451911907606012, -6.5731940333247465]"
2011-07-28 15:00:00,"[14.443124999999998, 5.347499999999998, 5.779629629629627, -8.4710888252149, -55.09920454545455, -77.47945736434109]","[808.9271875000001, 1548.4262500000002, 3204.324545454545, 5931.901088825215, 11034.253446969697, 16736.41612403101]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.661875, 22.2525, 11.267272727272731, -5.20355300859599, -39.91492424242424, -72.70341085271318]","[25.10018617049901, 21.06961382827252, 11.117610488402004, 11.163220443143517, 4.124461403161717, 8.600926359247483]","[13.606494270575228, 4.410307493811205, 1.4032993523465491, 9.513137449611357, 8.067938859493959, -1.9630056224526653]"
2011-07-28 18:00:00,"[18.61335937500001, 9.379109947643979, 5.533737373737374, -19.750544412607454, -58.85675471698113, -77.47945736434109]","[806.6914062499997, 1548.7188481675394, 3208.4156565656567, 5941.550744985673, 11050.970301886791, 16760.283100775192]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.20953125, 23.181361256544502, 11.752121212121214, -4.344813753581663, -39.5, -73.60496124031008]","[12.878342023908631, 13.879912743213714, 7.506850750681131, 11.724217932980347, 14.315071341316239, 8.16658696367685]","[14.464059726174664, 4.254335185754214, 3.917092010071329, 8.606789038956459, 20.562252552108685, 4.0980525354880974]"
2011-07-28 21:00:00,"[21.782992125984258, 8.42157068062827, 4.285319865319866, -28.473094555873917, -61.85456273764259, -77.47945736434109]","[799.5297637795271, 1542.3343455497386, 3207.4219528619533, 5941.643381088825, 11051.947186311787, 16761.57015503876]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.521102362204726, 23.719057591623034, 13.089158249158247, -4.692664756446989, -39.41209125475285, -72.98558139534885]","[10.155216661568256, 10.646437617053005, 7.901503293931621, 14.628659446863306, 16.055386051044493, 10.949903343498308]","[18.10127917993292, 11.266868266057072, 4.334677557247155, 4.827831934271886, 21.12327120479179, 7.4082632478415436]"
2011-07-29 00:00:00,"[16.05359374999999, 2.906178010471203, 1.4220608108108108, -32.84034482758621, -63.476136363636364, -77.47945736434109]","[797.2657812500005, 1540.8311518324608, 3205.22793918919, 5937.520172413792, 11054.000113636364, 16781.203798449613]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[27.135312499999998, 23.749424083769632, 13.13831081081081, -4.509999999999999, -39.01795454545454, -72.44527131782945]","[18.67909966904719, 17.186987777769836, 8.224697105241813, 13.28988720063954, 14.896132291586065, 14.25686677881086]","[20.00691285821732, 15.519967028996431, 4.317654227506553, 11.607106581498995, 16.50238366934189, 5.857287323629885]"
2011-07-29 03:00:00,"[15.29078125, 7.68246073298429, 1.2736363636363637, -29.506303724928365, -67.75666666666667, -77.47945736434109]","[803.8507812500001, 1548.324816753927, 3207.5736363636365, 5937.6965902578795, 11044.350909090908, 16760.962325581397]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[28.2775, 23.36460732984293, 12.076363636363636, -4.746246418338108, -39.68878787878788, -72.12589147286822]","[18.230130755819907, 21.865093389446354, 9.402290801247505, 19.26507605720232, 16.43437056766702, 11.124023815934384]","[19.787828919524383, 8.806890368894276, 4.218924161111017, 6.854427269574203, 12.429148523006345, 16.12206363878221]"
2011-07-29 06:00:00,"[14.173984375, 13.623455497382198, -0.46181818181818274, -28.08131805157593, -62.90984848484848, -77.47945736434109]","[800.8167187499998, 1544.1845549738223, 3201.41, 5928.429627507163, 11032.859545454547, 16759.521937984497]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[27.68375, 22.381884816753924, 12.04, -4.96429799426934, -39.61757575757576, -71.64372093023256]","[27.229388678219443, 24.60878937939188, 11.632338317138968, 16.667971368939792, 16.310815412658393, 19.808002082216415]","[19.798004956893987, 10.646691267217987, 6.148376281218906, 7.237669577875303, 5.599334902889638, 5.218450749405249]"
2011-07-29 09:00:00,"[17.38796875, 15.570523560209425, 0.6796969696969637, -23.980114613180515, -44.43363636363636, nan]","[798.8191406250002, 1540.4538743455494, 3193.9692592592596, 5919.9677077363895, 11022.390606060606, 16731.329069767442]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[26.279843749999998, 21.47455497382199, 10.96121212121212, -4.682349570200572, -39.769090909090906, -69.1351937984496]","[27.16716362927954, 24.3246896269315, 14.038394412224681, 20.88209523434038, 18.994711772373595, 18.59822484281105]","[11.27223825414295, 2.5240015189742744, 3.209205161493072, 10.486105242380475, 2.00561724510317, 13.318561129512332]"
2011-07-29 12:00:00,"[20.1496875, 15.203246073298429, 3.605454545454541, -24.38657142857143, -43.784469696969694, nan]","[803.7612499999996, 1543.4139790575916, 3196.69494949495, 5920.282857142857, 11016.62071969697, 16732.38992248062]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[24.583750000000002, 20.997068062827225, 10.695555555555552, -5.26, -39.81340909090909, -69.59720930232558]","[19.359749406799473, 19.200011070467774, 16.533281523546744, 25.84609448937788, 14.565165606141614, 31.355646944986518]","[-0.694083165826517, -2.472739738363409, -1.1190735096220428, 9.269366949589944, -12.511810703081936, -2.09653115555762]"
2011-07-29 15:00:00,"[19.5153125, 13.72439790575916, 6.8715771812080515, -24.105742857142857, -47.10283018867925, nan]","[813.7048437500001, 1551.2845549738224, 3203.272550335571, 5923.859314285714, 11026.124528301887, 16732.059224806202]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.85875, 20.643664921465966, 10.115167785234895, -5.473714285714285, -39.643018867924525, -70.2724031007752]","[12.156920147130963, 14.933220828219845, 16.443428847140265, 24.73945252850497, 18.919916562602996, 17.84984028491308]","[-3.7288549234567343, -3.088536904740581, -1.8476929833374698, 4.208314344156901, -13.532592776142966, 3.1842004271327182]"
2011-07-29 18:00:00,"[21.4640625, 11.915156249999999, 5.4388590604026845, -18.234571428571428, -52.86750000000001, nan]","[821.4239062500001, 1556.81203125, 3206.6121476510066, 5921.909142857143, 11030.4625, 16743.342170542634]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.6821875, 20.0103125, 10.288993288590603, -5.788571428571428, -39.385, -71.08558139534884]","[6.116024984142569, 11.920884402295554, 15.44990704482445, 21.92664446050147, 26.22261873799727, 26.951298755063142]","[-3.111544836463146, -2.9506381441531566, -2.814809990839183, 1.7163131370448894, -12.378581209962404, -4.14984408086271]"
2011-07-29 21:00:00,"[21.64796875, 12.34811518324609, 3.1314478114478126, -12.490142857142859, -44.57030303030303, nan]","[813.553515625, 1549.8945549738214, 3200.485892255892, 5918.0362000000005, 11031.49556818182, 16743.16434108527]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[24.25953125, 19.92848167539267, 10.62720538720539, -5.9374285714285735, -39.43727272727273, -70.01271317829458]","[3.3645483461333416, 8.059128327355431, 16.01619860144842, 22.277893228541462, 25.504610954670802, 22.546931602214478]","[-1.3904661001274585, -3.3555467665602547, -3.046319112755488, -0.7017456709422522, -10.91965619116796, 2.6189710340797165]"
2011-07-30 00:00:00,"[22.20234375, 15.047643979057588, 2.3726599326599365, -11.954871060171921, -45.46041666666667, nan]","[811.1857031249998, 1547.8163350785342, 3197.7371717171713, 5917.484383954155, 11033.963219696969, 16749.281627906978]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.90640625, 19.665654450261776, 10.319797979797983, -5.935931232091692, -38.86113636363636, -69.52434108527132]","[1.7344936164460192, 6.676700287802745, 13.78920677865811, 17.855433901235994, 29.008004279300078, 23.496499430648313]","[-3.627425223882578, -3.255424800553464, -4.373846223567083, -3.2326431104237336, -8.698909526049414, -2.2284503874990222]"
2011-07-30 03:00:00,"[21.945625000000003, 13.931875000000007, 2.9234899328859028, -10.512628571428575, -43.033169811320754, nan]","[822.3303124999998, 1557.3793749999995, 3205.2463758389267, 5920.742685714286, 11035.146, 16753.861007751937]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.182187500000005, 19.483750000000004, 10.133288590604023, -6.797142857142859, -38.64037735849057, -69.22124031007752]","[0.9121141045951258, 6.3840610873294565, 9.375045265680585, 14.56518239651912, 32.737794532413155, 18.30142514222271]","[-1.7967395081643374, -2.490084392795917, -4.128330437841721, -2.190831900007117, -3.350807893751279, -7.232874371495768]"
2011-07-30 06:00:00,"[21.400546875, 12.78041666666666, 3.7378187919463093, -10.125142857142858, -44.39664150943396, nan]","[824.8824218750002, 1559.334583333334, 3205.1136912751676, 5920.882685714286, 11033.348264150944, 16744.36395348837]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.908749999999998, 19.469166666666666, 9.698389261744966, -6.329142857142857, -39.56528301886792, -69.80186046511628]","[1.068301044188874, 4.834967824227683, 8.946210071296061, 15.83550789367844, 33.594605914153654, 19.341136702859867]","[-1.9073752504491575, -3.111397538989107, -2.055728514781483, 1.4940121461759597, -11.756119617106172, -3.5364020764809916]"
2011-07-30 09:00:00,"[20.1978125, 12.249427083333336, 3.9970805369127542, -8.79197142857143, -44.27335849056603, nan]","[819.6042187499999, 1553.464427083333, 3197.0666778523487, 5910.1546285714285, 11017.187396226416, 16729.952015503877]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.8540625, 19.19729166666667, 9.400738255033561, -6.651142857142856, -39.76490566037736, -70.04527131782946]","[0.4333127119889616, 4.796655754196876, 9.655696588538225, 16.26336565169328, 35.39815478223599, 22.36314125061067]","[-2.8008991442892643, -3.305504393944476, -1.9474772664682074, -0.6880633491070206, -13.711241066961984, -4.045133304838082]"
2011-07-30 12:00:00,"[19.871162790697674, 12.930156250000001, 2.908691275167784, -9.918148148148152, -45.27566037735849, nan]","[828.2353488372096, 1560.358020833333, 3202.4280536912756, 5912.466695156696, 11020.254528301886, 16732.09968992248]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.190387596899225, 18.544687500000002, 9.344362416107382, -6.497037037037039, -39.786415094339624, -69.80651162790697]","[-2.682719866125803, 3.0979239883405305, 10.709530661983791, 14.520419343026207, 31.864460550286097, 21.00372055381342]","[-2.4512511245373543, -4.267939318332009, -3.4546931373679284, -3.3505234163736675, -7.051961911242102, -6.349770122152793]"
