,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-11-12 12:00:00,"[0.46637168141592944, -1.8060638297872342, -8.491877133105799, nan, -71.39053639846743, nan]","[664.6817699115044, 1344.3750000000002, 2893.648361774744, 5491.394651162791, 10409.124827586207, 16315.419379844961]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.5886725663716827, -1.2961702127659565, -0.9613651877133101, -17.834418604651162, -43.19295019157088, -60.41658914728682]","[45.87641968611716, 60.26917252802651, 70.73014820706398, 73.57906051294162, 121.74362371122317, 49.99967046671656]","[4.435633776253442, -5.753683907245364, -6.219121713831656, 14.653172047658988, 32.654701553054394, 15.802476454322315]"
2015-11-12 15:00:00,"[0.24929824561403494, -0.39079787234042607, -8.712142857142855, -28.617913043478257, -71.3896183206107, nan]","[683.3003508771931, 1363.6399468085106, 2924.099387755102, 5514.605217391304, 10398.07213740458, 16299.546666666665]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.3891228070175434, 0.3463829787234034, -2.8069387755102024, -19.546956521739126, -43.9012213740458, -59.33596899224806]","[44.000266089509964, 52.3831278332936, 61.51416954462087, 55.847258416830876, 111.08570450364114, 47.379184128814416]","[4.333579937793975, -12.453112229040332, -27.405858805181605, -9.007797031965215, 22.409280482118092, 15.3829499882839]"
2015-11-12 18:00:00,"[-0.40315789473684144, -0.9778306878306882, -20.564999999999994, -34.691763005780345, -71.39292775665399, nan]","[711.7112280701751, 1395.3801058201059, 2961.44619047619, 5553.710809248555, 10400.060912547528, 16289.776434108528]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[5.103157894736845, 1.2855026455026448, -1.37190476190476, -19.87734104046243, -45.19384030418251, -59.83596899224806]","[40.01928864557528, 44.12835627882295, 53.76186677557882, 54.83595921449525, 103.78976977008953, 51.13582863541085]","[-3.7269380054085195, -17.97399362886269, -20.729835522862064, -9.473153695089497, 17.65180187221039, 15.30642364876982]"
2015-11-12 21:00:00,"[-1.7236842105263153, -3.7664210526315776, -26.406338983050848, -42.922881844380406, -70.05471482889735, nan]","[731.2231578947367, 1417.5223157894734, 2973.9316610169494, 5563.465994236311, 10390.710912547529, 16268.091937984495]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[6.676842105263161, 0.4263157894736859, -2.504745762711866, -19.66086455331412, -46.29307984790874, -60.47627906976744]","[38.22878280319498, 43.010927661033804, 50.65560396436959, 60.29984170762745, 100.95222611569572, 58.65221491637574]","[-9.184418626717607, -14.77591737975066, -12.828553481448148, -7.318009532513088, 16.284354291435015, 12.257641143711878]"
2015-11-13 00:00:00,"[-4.032631578947367, -7.629790575916233, -37.12770270270269, -43.38034482758621, -70.10329545454546, nan]","[751.0466666666662, 1435.9305759162307, 2978.9481081081076, 5573.8941379310345, 10400.895, 16260.618527131783]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[6.155789473684214, -0.11445026178010692, -3.101891891891892, -18.897931034482756, -47.654318181818184, -60.535968992248065]","[38.62160975978198, 41.665645277397516, 53.91142766250289, 63.571611295655295, 102.29450537021758, 60.06103921597714]","[-15.114638393234856, -23.923813518455706, -15.775847368691489, -16.052984347186587, 10.32900261605077, 9.014234650164417]"
2015-11-13 03:00:00,"[-5.9350000000000005, -9.875916230366489, -43.244343434343435, -41.91647564469914, -70.13609848484847, nan]","[764.5425000000001, 1445.298795811518, 2982.689663299663, 5576.108309455587, 10404.947234848485, 16255.594496124031]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[4.427499999999999, -1.6338219895287924, -3.06, -18.713295128939826, -47.47477272727273, -60.1568992248062]","[38.60106499433013, 38.31928193234095, 50.63539876945094, 74.73727048460462, 112.16912583709231, 59.00033787095518]","[-17.25900621026603, -27.974075090409414, -16.176539908994965, -7.4659620490730685, 11.280529814139095, 4.095705835250182]"
2015-11-13 06:00:00,"[-8.698124999999997, -12.091465968586384, -43.14262626262626, -37.8936, -66.4825, nan]","[772.3865624999996, 1449.904397905759, 2981.142053872054, 5556.561599999999, 10389.91, 16244.822790697674]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.0431250000000025, -2.001361256544502, -6.118585858585859, -19.448, -47.46, -60.37627906976744]","[38.839244582278106, 39.01540581659016, 53.153280445014964, 77.69434742021181, 123.20402660483097, 59.52051392773852]","[-18.149478454451682, -33.92634218109904, -15.937249670365372, 1.2986477534054417, 15.296742409941471, 5.267017564841714]"
2015-11-13 09:00:00,"[-9.8409375, -25.88343750000001, -44.19838926174496, -32.7605698005698, -66.48320754716981, nan]","[777.0415625, 1453.9915625, 2978.1287248322146, 5529.026153846154, 10358.529735849057, 16227.365736434107]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[1.5587499999999996, -0.4365625000000005, -8.08751677852349, -21.707008547008545, -47.06264150943396, -60.97627906976744]","[37.5898027507686, 39.136784472992204, 54.28768791991701, 81.72494310531215, 126.50846284822532, 63.01239081214263]","[-21.83910477159528, -34.80475385327998, -22.119612039202025, -3.0883596794840042, 16.36305871273364, 6.354745622052092]"
2015-11-13 12:00:00,"[-12.710232558139541, -27.133714285714287, -41.783043478260865, -55.319743589743595, -70.19547169811321, nan]","[786.841627906977, 1464.416095238095, 2981.2369565217386, 5517.158148148148, 10331.190679245283, 16218.387999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[1.2795348837209306, -0.986666666666665, -9.916521739130435, -23.3582905982906, -46.62867924528302, -60.68]","[34.74694342711676, 40.05017868567804, 56.58758729164704, 79.45320036447721, 122.13271907021446, 64.87209392862492]","[-23.085000863635372, -27.780839358176472, -23.20324469789142, -18.820322994781638, 8.312112259693635, 6.011150415325384]"
2015-11-13 15:00:00,"[-12.73767441860465, -24.091428571428573, -39.65478260869566, -47.56409090909091, -71.38947368421053, nan]","[803.8641860465115, 1478.0590476190478, 2986.9513043478264, 5523.87, 10321.893421052631, 16221.993999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.8586046511627916, -2.1933333333333334, -11.62521739130435, -21.39636363636364, -46.98105263157895, -59.879999999999995]","[33.44353955938367, 38.744880600315454, 58.573609754352866, 90.45763490604332, 110.87729044421663, 62.666871243033654]","[-15.586881586332229, -27.23276357345684, -27.047549226736944, -38.15542114053496, -1.0333108626429692, 2.0985834767865486]"
