,DWPC,HGHT,PRES,TMPC,UWND,VWND
2014-02-09 06:00:00,"[-9.722558139534884, -13.379047619047618, -14.686107382550334, -29.60659090909091, -68.93237735849057, nan]","[772.0932558139535, 1426.8395238095238, 2943.5499999999997, 5460.527613636365, 10107.29241509434, 15993.32]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-8.148372093023257, -8.017142857142858, -8.919060402684563, -26.510284090909092, -55.066792452830185, -56.02]","[9.30800630182943, 15.148637998660863, 43.548271326541226, 50.0383554774869, 65.7204870828535, 71.66441896841683]","[1.581443902940764, -1.1768964070278645, 15.712636463070611, 6.933583986730395, 4.802146126417983, -4.724770250416146]"
2014-02-09 09:00:00,"[-9.54140625, -10.961523809523811, -12.1, -30.67752136752137, -71.3885283018868, nan]","[766.6239062500001, 1419.8410476190475, 2919.68, 5430.739658119658, 10074.769471698113, 15976.732]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-8.3553125, -9.335238095238097, -11.081739130434782, -27.43777777777778, -53.639245283018866, -56.44]","[11.099350697991154, 15.20579502014789, 41.942214889745095, 54.95548072532073, 75.9701170417768, 75.5641656934885]","[0.7776934803696949, 0.7878288027732121, 17.285099474074343, 11.004038069122464, -10.533871224895995, -2.4539109696596144]"
2014-02-09 12:00:00,"[-9.313178294573644, -11.76414285714286, -15.470805369127515, -33.09940170940171, -65.74950943396226, nan]","[766.1377519379846, 1418.1718571428569, 2910.3821476510066, 5401.575356125356, 10060.727283018869, 15963.276]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-8.353798449612404, -10.844285714285716, -13.794228187919463, -29.59760683760684, -53.80452830188679, -57.5]","[13.072870769602703, 19.094723721037784, 40.652067141204434, 82.8812382467227, 93.36498528532873, 76.18352325377404]","[-4.617824446050123, -5.239131381200665, -5.99139520134914, -13.591663044414396, -25.721037165277885, -0.6143131462626669]"
2014-02-09 15:00:00,"[-9.580625000000001, -13.306285714285718, -19.349230769230775, -42.42666666666667, -62.947886792452834, nan]","[770.7469531250001, 1422.0279047619044, 2908.4838461538466, 5392.3141025641025, 10067.756000000001, 15958.186]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-8.67484375, -12.391428571428577, -14.06769230769231, -28.824102564102567, -55.184150943396226, -57.02]","[13.345333302767248, 17.44039195921822, 43.54601987685512, 77.36287781458738, 108.39154632904403, 68.26552602054498]","[-7.85443461523269, -8.013080621304756, -9.60302338901579, -25.789433802955934, -40.39726505072438, -1.751827941978066]"
2014-02-09 18:00:00,"[-11.03395348837209, -15.737857142857143, -27.77996655518394, -33.413760683760685, -62.95154716981132, nan]","[776.2458139534881, 1425.5707142857143, 2911.1506354515045, 5406.512393162393, 10084.15879245283, 15957.475999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-10.299534883720927, -10.388571428571428, -14.674715719063544, -26.372820512820514, -57.02226415094339, -57.62]","[10.483326644678389, 19.851031677753987, 43.607505952497434, 84.572973410893, 108.32433913958539, 74.89582748084393]","[-9.416678795077484, -10.635746953908935, -12.247684921011079, -35.42953516371477, -27.04565324739553, -1.822566860134868]"
2014-02-09 21:00:00,"[-13.336434108527131, -23.505213270142182, -31.663, -30.75318181818182, -65.24131578947367, nan]","[775.4351162790698, 1422.2295260663507, 2906.059, 5412.295596590909, 10085.38552631579, 15948.984]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-12.27937984496124, -10.714028436018957, -14.420000000000002, -26.16397727272727, -57.370526315789476, -58.14]","[11.948217619226034, 21.46088495121214, 47.801020942684815, 90.90422208209567, 106.92102889853773, 79.262671330899]","[-10.68334674990855, -14.031873912508683, -16.32867311930175, -24.21105646011041, -22.01632210683376, -4.126237207176015]"
2014-02-10 00:00:00,"[-15.723333333333333, -31.477264150943395, -35.353619047619055, -28.751274787535408, -65.27864661654137, nan]","[793.5443410852712, 1438.5705660377362, 2915.1856190476187, 5420.260028328611, 10094.575413533834, 15955.596]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-13.730542635658914, -11.178867924528303, -15.658095238095239, -25.622039660056657, -56.3912030075188, -58.74]","[12.71045528962751, 20.461904987306593, 42.2407233614578, 83.78088958841437, 98.0011125496473, 82.69495641767938]","[-14.822032760615958, -13.295206779968547, -17.50095817410872, -14.942839510768328, -24.10111133240993, -6.944089506775538]"
2014-02-10 03:00:00,"[-19.40576923076923, -30.905000000000005, -42.579523809523806, -29.716610169491524, -65.30393258426966, nan]","[797.8438461538462, 1442.9624999999996, 2917.029428571429, 5421.9061581920905, 10102.10370786517, 15959.256]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-15.040769230769232, -11.209999999999999, -15.46, -26.166214689265534, -55.96561797752809, -58.56]","[10.187593213448533, 17.376260042142558, 37.81644689819551, 78.8915198078658, 116.54156400913851, 81.44907597284337]","[-16.50255171651798, -14.044674905381035, -17.521145841550943, -8.360973638452455, -25.524870190873624, -6.084159693005004]"
2014-02-10 06:00:00,"[-23.170230769230766, -28.347914691943128, -47.320316455696194, -32.69983050847458, -65.32139097744361, -77.47800000000001]","[795.9102307692306, 1441.0713270142182, 2915.588987341772, 5416.7403389830515, 10096.055563909773, 15952.71]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-14.68615384615385, -11.819241706161138, -14.773291139240506, -26.42949152542373, -55.816390977443604, -58.54]","[7.098748885367055, 14.737035757068476, 36.87629879495395, 72.0986451282726, 115.3602728448445, 80.8281709021727]","[-16.671430319608255, -12.790349391396404, -17.09463781670534, -16.938713776069616, -16.970733589358012, -3.8117597785228385]"
