,DWPC,HGHT,PRES,TMPC,UWND,VWND
2011-11-11 06:00:00,"[-6.416279069767444, -12.605428571428568, -45.00434782608695, -29.962279202279202, -65.21577358490566, nan]","[781.5416279069769, 1447.1139047619047, 2951.294347826087, 5485.003532763532, 10201.076, 16039.13]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.9158139534883745, -6.769523809523808, -10.981739130434782, -23.01811965811966, -57.942264150943394, -55.519999999999996]","[16.52341815692082, 14.781617808685983, 25.31557393271692, 39.941840986949714, 49.49140593725717, 39.82386183135991]","[-12.943240109269237, -14.217335270897385, -33.219934597202304, -57.235390734776665, -75.59927735249232, 7.303298764034984]"
2011-11-11 09:00:00,"[-7.381860465116281, -16.0607619047619, -27.535652173913054, -27.344102564102563, -65.21577358490566, nan]","[780.7813953488375, 1448.3762857142856, 2964.122608695652, 5507.812136752137, 10240.344000000001, 16027.008]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.7762790697674438, -4.850476190476192, -9.255652173913042, -22.491339031339034, -57.29396226415094, -56.5]","[15.862365679120241, 19.0705105394861, 31.322222119090856, 42.372537652061254, 61.35747268726752, 39.79966766977436]","[-7.183225874868881, -13.635699404453373, -26.024693497804364, -45.344278516854686, -57.45362559238819, 0.709992517930593]"
2011-11-11 12:00:00,"[-9.765581395348839, -30.43, -11.02704697986577, -24.165156695156696, -62.50735849056604, nan]","[777.6966666666668, 1448.94, 2974.632617449665, 5531.719857549858, 10270.299056603773, 16023.062]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.0786046511627911, -2.16, -8.056644295302014, -21.313276353276358, -57.93169811320755, -56.58]","[14.989722236146656, 20.78193702320391, 35.742733188935965, 48.22177936354657, 63.4576226870131, 39.674600689481444]","[2.623189539306584, -7.188267772112177, -22.292819965281502, -29.909460106026323, -50.94662050509932, -0.5193689730798051]"
2011-11-11 15:00:00,"[-14.25875, -8.607643979057594, -15.633154362416107, -24.410740740740742, -62.50541666666667, nan]","[773.0830468749999, 1450.5418324607328, 2985.3883221476513, 5540.342962962963, 10286.906439393939, 16023.808682170542]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.8790625000000001, -0.5380104712041878, -6.488859060402685, -21.800740740740743, -57.80280303030303, -57.69875968992248]","[14.983881581194023, 25.365856322286888, 35.943058565577566, 45.76148402724945, 63.29511271386819, 43.47693729125295]","[13.482338597074135, 3.5750084323951556, -13.82150267027047, -23.979675977958518, -38.07911168796086, -0.3807705143171771]"
2011-11-11 18:00:00,"[-7.564687500000002, -6.228115183246073, -18.344864864864864, -27.70647564469914, -62.45909090909091, nan]","[750.4256250000001, 1433.8429842931935, 2982.983513513513, 5546.2612893982805, 10293.477575757575, 16021.375891472868]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[1.7212499999999995, 2.3153926701570686, -4.919459459459458, -20.79438395415473, -57.0039393939394, -57.98403100775194]","[8.12013467323782, 31.0312335889072, 35.98798633388935, 47.78347546648321, 64.86589334098939, 47.6724389997583]","[24.930119228532234, 16.176117037322673, -2.5939843814983, -17.983021709986616, -30.253728029444776, -0.1369323992055584]"
2011-11-11 21:00:00,"[-3.2514912280701767, -7.6570526315789404, -20.41891891891892, -30.4457060518732, -65.66224334600761, nan]","[729.5908771929828, 1414.7693684210521, 2976.0914864864862, 5555.079884726225, 10306.17011406844, 16022.058604651162]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.721578947368418, 4.778947368421051, -3.746486486486485, -20.527723342939478, -56.39916349809886, -58.72434108527132]","[18.99035737221377, 39.039458088800615, 42.74242455692295, 45.620574942441735, 48.906608009396315, 45.002521983798]","[28.371497387249764, 13.867391893895324, -0.8047626953024596, -22.520717433834697, -33.02514738926792, -11.29362565345354]"
2011-11-12 00:00:00,"[-0.3091228070175452, -4.309578947368415, -21.433898305084746, -31.946023054755045, -65.66224334600761, nan]","[727.0787719298248, 1418.6271578947365, 2984.552881355932, 5572.178472622478, 10344.733460076046, 16045.106279069767]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[7.4136842105263145, 3.54, -1.8905084745762712, -19.65077809798271, -56.09117870722433, -58.60186046511628]","[31.645589866518186, 44.67668498269332, 38.842764466867955, 43.009645205669756, 45.173278332135155, 38.95470242185648]","[25.653540140046122, 11.183098490789263, -8.40086931345848, -17.37566577849751, -32.953228993439005, -13.072634667511133]"
2011-11-12 03:00:00,"[0.3540350877192985, -8.7321052631579, -20.569189189189192, -34.353112391930836, -65.66224334600761, nan]","[729.8294736842105, 1422.1748421052635, 2991.090337837838, 5584.959625360231, 10371.939011406845, 16062.304961240312]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[7.7277192982456135, 5.605263157894737, -1.6593243243243259, -18.961152737752165, -55.710190114068446, -59.32279069767442]","[36.20975522063495, 35.58456720272335, 37.57652372201931, 44.354260437267904, 48.01699353138411, 35.750585447087914]","[12.212534215565054, 3.4755669822421154, -6.329113880933575, -13.27424018361099, -19.609536086455197, -12.269566063463968]"
2011-11-12 06:00:00,"[0.8105263157894727, -13.02105263157894, -21.799830508474574, -35.9792795389049, -61.28673003802282, nan]","[730.1568421052635, 1424.8133684210522, 2996.895627118644, 5594.551902017291, 10385.176197718632, 16064.902790697675]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[6.920701754385964, 7.035789473684212, -1.1705084745762697, -18.42772334293948, -54.79916349809886, -60.143720930232554]","[33.29387100359717, 30.16947258634527, 37.18544848031687, 47.66642853854857, 60.31382991703902, 40.02326333653239]","[7.786155312177824, 1.1660994219024035, -1.156355682023159, -9.511628414683955, -24.949237580816984, -2.1521590139283826]"
