,DWPC,HGHT,PRES,TMPC,UWND,VWND
2012-02-05 06:00:00,"[-2.783023255813954, -4.472999999999999, -24.0021739130435, -55.565000000000005, -65.76473684210526, nan]","[799.9572868217056, 1475.3900000000003, 3007.468695652174, 5569.180227272727, 10369.73947368421, 16217.029999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.22279069767441886, -1.1000000000000005, -6.251304347826087, -20.841818181818184, -52.80736842105263, -58.28]","[-18.17878311609242, -10.74098589061057, 9.101568386692529, 42.25941381382219, 71.5931347164746, 25.7079269272875]","[-12.963942791266094, -11.067978636485726, -6.380400501403801, 12.539874547535126, 21.71610365937272, -5.385652151898274]"
2012-02-05 09:00:00,"[-6.916511627906979, -19.28170616113744, -15.452374581939804, -46.40830028328612, -63.47750943396226, nan]","[803.892558139535, 1477.9247867298582, 3001.038494983278, 5559.669575070821, 10341.656490566038, 16198.742000000002]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.5506976744186052, -2.458578199052133, -7.563010033444816, -21.472464589235127, -52.48792452830189, -58.13999999999999]","[-14.98804228444832, -12.767917365916054, 4.018213990905694, 25.81945551881355, 68.8201779981633, 27.285354325328044]","[-15.037643995593706, -13.703182408478101, -5.751635396699142, -1.9400266253010654, 23.972786160584675, -5.478899464427383]"
2012-02-05 12:00:00,"[-9.866976744186044, -21.60393364928911, -16.916766666666668, -45.14022662889518, -65.78545112781956, nan]","[812.4655813953486, 1485.492843601896, 3003.285733333333, 5548.75461756374, 10316.663233082707, 16203.326000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.42976744186046467, -2.817819905213272, -9.255333333333333, -22.260849858356938, -50.77203007518797, -58.5]","[-10.946510804442415, -9.927096895552145, -4.2709041578142175, -8.823651745916445, 49.041025076610715, 26.547183688285745]","[-15.34789157999658, -14.374013027887704, -14.171240066976369, -11.487653868311654, 12.55623897537537, -7.2067400550051435]"
2012-02-05 15:00:00,"[-9.061627906976748, -14.385497630331752, -28.416962025316455, -46.26674220963173, -65.79736842105264, nan]","[823.7531007751942, 1496.243838862559, 3010.0979113924045, 5554.704249291785, 10314.476842105263, 16210.475999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.3731782945736447, -3.4690047393364916, -9.89132911392405, -22.13875354107649, -49.79609022556391, -58.459999999999994]","[-5.825674712194485, -5.004954056969275, -2.946858244903384, -31.007563856799614, 21.276939852792175, 25.835442393126005]","[-15.426984170615944, -15.928247438904494, -14.389581779960892, -19.698628303880746, -0.9411404587031765, -6.771054596698195]"
2012-02-05 18:00:00,"[-4.863100775193795, -14.563649289099528, -35.368095238095236, -41.47322946175637, -65.8005617977528, nan]","[827.8106976744184, 1500.1486255924174, 3014.3298412698414, 5566.90195467422, 10320.956404494382, 16209.142]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.9196899224806196, -3.3775355450236972, -9.57904761904762, -22.706458923512745, -50.46561797752809, -59.08]","[-2.558732734695355, -1.4524802216568269, -7.670305524530697, -25.507489943328913, 10.685832644199396, 27.11741632349088]","[-12.555095571158809, -13.979246691603452, -13.633610117124547, -18.418043632848693, 0.7676550719921904, -6.1858166751424575]"
2012-02-05 21:00:00,"[-2.577209302325582, -15.770473933649285, -37.87303797468355, -49.62413597733711, -63.47951310861423, nan]","[821.6775193798452, 1494.5116113744073, 3015.711360759494, 5577.871614730878, 10329.695842696628, 16207.198]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-2.196434108527133, -2.526824644549762, -7.667911392405063, -21.95603399433428, -51.397453183520604, -58.88]","[-0.1951299215252384, -1.5620517886990444, -12.306390291041028, -29.248944181262637, -7.216186687490418, 28.022990171920338]","[-11.068280097364973, -12.632987851745344, -14.389351204745097, -24.023537254074512, -22.323382277777668, -5.6656969407528734]"
2012-02-06 00:00:00,"[-3.691162790697673, -18.013396226415097, -33.96246835443038, -40.46050847457627, -65.81157894736842, nan]","[830.8067441860463, 1505.073773584906, 3035.713417721519, 5607.774406779662, 10362.927293233082, 16218.274]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-3.080930232558137, -1.7184905660377363, -5.191012658227848, -21.948135593220343, -51.983308270676694, -58.5]","[-0.22643304594253685, -3.024028636404946, -12.590564862732359, -20.543241430644233, -8.539504925974978, 27.806014985494215]","[-11.815272328692995, -12.439596305868655, -15.5639004295947, -25.17770401502597, -27.117658581643532, -6.177684568385733]"
2012-02-06 03:00:00,"[-6.835348837209302, -20.843820754716987, -33.763777777777776, -35.912542372881354, -65.81157894736842, nan]","[831.9635658914729, 1508.667452830189, 3048.7219999999998, 5622.922033898305, 10386.26954887218, 16219.493999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.4755038759689922, -0.8944339622641517, -3.4177777777777765, -21.709152542372884, -53.083684210526314, -59.8]","[-0.7123875208119228, -2.920861384459975, -11.495334816234399, -9.184404350720964, -6.479459702263895, 28.571389677268016]","[-8.43283122559788, -9.485571486377612, -17.436091798787814, -23.601533608741143, -26.488851430788234, -5.967833435150717]"
2012-02-06 06:00:00,"[-8.75646153846155, -23.279715639810423, -33.43284810126582, -33.206242937853105, -65.8005617977528, nan]","[829.262384615385, 1507.2175829383884, 3055.0616772151893, 5629.8512994350285, 10402.317640449439, 16211.748]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.4192307692307661, -0.13677725118483372, -2.3505063291139208, -21.505762711864406, -53.74876404494382, -59.28]","[3.9581589982030287, 7.257170763184184, -7.670224860354129, -2.4392419977226654, 21.713534786860166, 24.745843523575758]","[-5.180285041217135, 0.14998018744974315, -15.178297922587507, -21.29032757734048, -4.584565677003605, -5.501429660252306]"
