,DWPC,HGHT,PRES,TMPC,UWND,VWND
2019-05-02 06:00:00,"[13.3453488372093, 9.49, -5.72546979865772, -20.284985754985755, -56.14037735849057, nan]","[816.5455038759693, 1531.21, 3134.592046979866, 5766.49358974359, 10645.231509433963, 16385.79581395349]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.190387596899225, 11.74, 2.7027516778523473, -14.571396011396015, -50.282641509433965, -59.532868217054265]","[2.550793105162275, 16.326301733183627, 17.287116026651713, 21.57160786296856, 43.46134297672696, 27.94837334879984]","[7.044165404125878, 4.66607669429526, 7.275616520125045, 10.798191761467464, 27.1288141199012, 15.538188428311404]"
2019-05-02 09:00:00,"[13.683333333333335, 9.756406249999998, -4.074161073825501, -17.994285714285713, -56.688490566037736, nan]","[812.2866666666663, 1528.0609375000004, 3130.3750335570467, 5757.778571428571, 10632.401886792451, 16369.30054263566]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.506666666666668, 12.355624999999998, 2.579261744966444, -15.474285714285715, -52.010943396226416, -58.69410852713178]","[2.0736531321567915, 8.883515499401756, 19.44046616206676, 25.222132405072763, 46.82773700934461, 28.05767691399778]","[13.72759655336435, 11.270076362631492, 14.680723874032527, 22.315778901068775, 40.347478806607725, 17.0691114297108]"
2019-05-02 12:00:00,"[13.190624999999999, 7.648437500000002, -3.097315436241613, -16.90502857142857, -55.593396226415095, nan]","[809.3637500000002, 1526.491875, 3130.380503355705, 5760.2782, 10640.245471698114, 16366.386899224804]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.0525, 12.877500000000001, 3.472550335570467, -15.379142857142854, -51.46188679245283, -59.19565891472868]","[-1.0542475753189573, 4.041432854059857, 15.078608080666926, 25.49099168484012, 51.92896280266938, 28.346776756858116]","[18.21138560257179, 16.542544850023283, 15.258492021889294, 10.491953935071223, 41.54345525084755, 14.953697140683746]"
2019-05-02 15:00:00,"[12.697286821705427, 8.149583333333336, -1.3447157190635435, -16.00846153846154, -55.593396226415095, nan]","[812.9053488372092, 1529.182395833333, 3129.88254180602, 5763.970826210826, 10655.158679245282, 16369.037131782945]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.93767441860465, 12.055625000000003, 3.226622073578597, -14.532649572649573, -51.53924528301887, -58.77317829457364]","[12.64152478163655, 13.012880260337926, 12.614015714879466, 33.51445629664275, 49.43918451906914, 23.641662316262085]","[17.566600785915092, 19.036294459492645, 15.857915133905855, 18.249225327357173, 38.149606637542476, 17.09334136154896]"
2019-05-02 18:00:00,"[14.22875, 9.192395833333332, -2.294545454545452, -15.247571428571428, -55.41128301886792, nan]","[808.5249218750001, 1523.1840625, 3125.862727272727, 5763.0887999999995, 10666.026339622642, 16369.01031007752]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.2665625, 11.892083333333334, 3.8096969696969705, -13.905714285714286, -50.89094339622641, -59.1553488372093]","[10.790423773578706, 13.39310527294875, 13.918556248125334, 22.274489595858082, 44.720557564050786, 24.947780759286207]","[13.544635445158777, 16.622421873045162, 10.183339255651207, 19.52893747059836, 45.746259585499935, 25.308021861556877]"
2019-05-02 21:00:00,"[14.7696875, 10.340157068062824, -6.196296296296294, -14.953600000000002, -54.42412878787879, nan]","[795.4246875, 1509.6828795811523, 3113.4665993265994, 5753.119628571429, 10666.299356060606, 16359.699224806202]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.18375, 11.548376963350783, 4.027205387205388, -13.67114285714286, -50.286515151515154, -59.37627906976744]","[11.108738142818156, 18.080543824674667, 11.479125834855525, 23.781916151118732, 48.70286485953248, 30.78782949468586]","[5.2785296487945645, 7.013550995028829, 5.758708135428489, 17.98737099804077, 48.36505928147708, 23.526534705598547]"
2019-05-03 00:00:00,"[13.909765625, 9.614659685863874, -4.614377104377105, -16.249000000000002, -54.44500000000001, nan]","[795.7864062499999, 1507.7291099476438, 3108.011851851852, 5746.168428571429, 10661.53, 16359.588372093023]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[14.604062500000001, 10.726387434554974, 3.182424242424242, -14.235714285714286, -49.985, -59.43751937984496]","[7.797339309266045, 14.56572546889278, 7.425977264755055, 20.18085031798772, 42.811889453773205, 33.21370594059947]","[-7.376417456069959, 4.87883374280442, 8.033812618761175, 8.421265508788194, 50.82724807028118, 18.587997541595403]"
2019-05-03 03:00:00,"[12.12328125, 9.438749999999999, -5.668628762541802, -22.245714285714286, -54.61377358490566, nan]","[801.3718750000002, 1509.8877083333334, 3106.4075585284277, 5743.704285714286, 10654.245471698114, 16357.869689922481]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[12.705625000000001, 9.662916666666666, 3.111237458193982, -14.702857142857143, -50.43735849056604, -58.6584496124031]","[-5.8987250749283895, 11.240134287971442, 13.275983474116195, 24.115293540757147, 43.670589839305755, 31.462166763770977]","[2.7333667980918697, 0.18560881663648732, 6.661983763285309, 3.4137129068601566, 51.294628247744505, 18.352643104799007]"
2019-05-03 06:00:00,"[11.49124031007752, 8.91, -5.651442953020137, -34.11356125356126, -53.742075471698115, nan]","[800.9100775193801, 1508.28, 3102.5888590604027, 5734.936752136752, 10631.422641509434, 16343.738372093023]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[11.789612403100776, 9.64, 3.0859731543624154, -15.32723646723647, -49.73358490566038, -59.340620155038756]","[-4.3479933260615065, 7.3758390374649725, 20.2129004214926, 23.872779312032655, 42.697988736171055, 32.52421236763046]","[4.1687288332823735, -1.3590432272035313, 6.971196766077826, 5.209285945601671, 55.22181239853127, 15.927227276205079]"
