,DWPC,HGHT,PRES,TMPC,UWND,VWND
2019-02-24 06:00:00,"[-2.1126732673267337, -5.900882352941177, -13.012837370242217, -40.84970588235294, -71.39247104247104, nan]","[606.6825742574259, 1303.1273529411765, 2853.079619377163, 5420.755323529412, 10319.861158301159, 16248.849224806203]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[10.012277227722771, 4.881176470588235, -4.957923875432526, -20.182058823529413, -42.28702702702703, -63.1568992248062]","[28.48659472104049, 40.82488967576578, 40.89269365138417, 59.06213823006184, 91.57458710914514, 77.39553251189973]","[32.86711311944932, 29.7844692408905, 37.36688875638645, 73.85622951110521, 69.34048698486724, 28.908720923914792]"
2019-02-24 09:00:00,"[-0.7513861386138612, -3.313668639053254, -13.20660899653979, -32.20244117647059, -71.39247104247104, nan]","[596.7659405940593, 1272.4654437869822, 2805.887266435986, 5396.547470588235, 10245.346177606178, 16232.605038759692]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.083564356435644, -3.0363313609467455, -2.5177854671280273, -20.53882352941177, -41.17930501930502, -62.23286821705426]","[42.455564863416406, 50.46168903544442, 50.4882802473433, 58.845174382661426, 101.88159504564543, 65.31910810119618]","[19.317733229795753, 15.402047011035567, 20.258306206815902, 28.319265420142024, 54.32975989444993, 33.40730115805677]"
2019-02-24 12:00:00,"[-3.809300000000001, -6.961063829787236, -12.147422680412372, -31.388216374269007, -71.38730769230769, nan]","[631.7535000000003, 1298.4992553191491, 2812.029793814433, 5379.3414912280705, 10205.73323076923, 16204.574341085272]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-1.4880000000000018, -6.637127659574469, -8.858969072164948, -22.179590643274857, -43.21307692307692, -59.252248062015504]","[47.843632845353326, 53.910256662944235, 57.26819430785213, 51.80377763868459, 97.88491151960159, 61.18418211275067]","[-4.608756249686947, -12.325397342663464, -13.695269096871563, 16.38922909588321, 47.132378678070395, 30.23519233926785]"
2019-02-24 15:00:00,"[-6.631150442477876, -9.652962962962963, -14.05091836734694, -29.775797101449278, -71.39022813688213, nan]","[684.6956637168142, 1344.4305291005292, 2849.2761224489795, 5360.297971014494, 10164.85186311787, 16182.3203875969]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.5139823008849564, -9.124550264550265, -11.954897959183675, -26.50231884057971, -43.184714828897334, -57.78945736434108]","[45.369020788661246, 49.74768201488267, 52.463807701956355, 50.64650972074927, 98.26455101112178, 58.229970216182146]","[-9.517434397464434, -18.680628426265546, -22.890058973054305, -0.18306778150060504, 38.10800580379349, 31.620782746560522]"
2019-02-24 18:00:00,"[-10.438421052631579, -14.10874345549738, -44.549189189189185, -54.576091954022985, -71.39174242424242, nan]","[726.1587719298245, 1385.7983246073297, 2887.151689189189, 5367.155373563218, 10146.6075, 16148.475968992248]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.172280701754386, -9.419685863874346, -12.662027027027024, -29.409137931034483, -44.109242424242424, -56.77317829457364]","[42.43280379389634, 48.699485379642404, 66.27768045725121, 70.9477285061195, 106.2552145622732, 70.80305745521629]","[-9.676301397026291, -15.38028454794776, -30.15856922470765, -9.85746859223104, 26.081504184206448, 32.80457688039392]"
2019-02-24 21:00:00,"[-11.526875, -14.687015706806283, -39.30343434343435, -55.782120343839544, -71.3898106060606, nan]","[747.232109375, 1405.4080104712045, 2896.2930639730644, 5369.903438395416, 10132.842386363636, 16106.366899224806]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-4.577187500000001, -10.18408376963351, -14.439124579124579, -26.267736389684814, -47.604696969696974, -55.47317829457364]","[42.67015457841203, 49.05694357636672, 75.82267669981704, 109.58723355941694, 109.05791823087678, 76.73936966569057]","[-10.335931127585837, -12.843787085659669, -26.190105145733572, -27.786228696825408, 13.200384435614177, 26.67203038580559]"
2019-02-25 00:00:00,"[-13.43921875, -19.608285714285703, -38.517692307692315, -55.77820512820513, -71.3885283018868, nan]","[772.2334375, 1421.3359999999996, 2910.01, 5387.866410256411, 10132.943396226416, 16076.414]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-8.881875, -11.168571428571433, -15.283076923076926, -25.954871794871796, -49.77018867924529, -55.519999999999996]","[39.92993330406107, 48.50431008785645, 66.80461915732035, 111.89254045606545, 113.58177929862451, 81.38967887443147]","[-13.727544951510234, -26.80696360876169, -31.096926807620793, -34.474719608183996, -4.7715778927298995, 21.936239621159398]"
2019-02-25 03:00:00,"[-14.763023255813954, -31.186587677725115, -41.7616, -50.55246458923513, -71.38718045112782, nan]","[793.3509302325581, 1442.4274407582936, 2932.1177000000007, 5415.799121813032, 10131.131015037594, 16046.932]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-10.811162790697674, -8.543886255924171, -15.141000000000004, -29.013257790368275, -50.46187969924812, -55.58]","[34.81510920018105, 40.73354743589565, 62.5146369435102, 98.27926539383986, 120.96410575165896, 80.41773807790625]","[-15.903719770275222, -32.27283475359272, -30.87127497709013, -42.71807690290816, -12.0162707228049, 18.10227340510763]"
2019-02-25 06:00:00,"[-17.23923076923077, -32.712417061611376, -37.19822784810127, -45.32474576271187, -71.39030075187969, nan]","[810.1469999999998, 1459.9238388625595, 2955.5988607594936, 5455.63559322034, 10131.493421052632, 16019.076000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-12.314615384615383, -8.253838862559242, -12.51759493670886, -26.84305084745763, -52.89383458646616, -55.96]","[28.99314003227719, 41.43323032744245, 66.93179454819453, 92.14722625406625, 132.47118628537658, 82.47693848113022]","[-15.740982641639208, -29.613904931624717, -37.61483285713768, -39.636079487008814, -11.9530285606431, 15.50666639803221]"
