,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-03-04 12:00:00,"[-11.6384496124031, -18.36734375, -12.90010067114094, -27.80712250712251, -55.41128301886792, nan]","[756.1915503875971, 1419.9709375000002, 2945.841375838926, 5535.69301994302, 10392.991849056605, 16190.304186046511]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-5.402635658914728, -4.188124999999999, -5.283489932885906, -16.98250712250712, -51.691320754716976, -65.77317829457364]","[9.568929918509108, 12.339751102991798, 55.546421114321944, 99.94344406939717, 158.45970813988248, 83.12730587005785]","[-15.619627918765046, -9.424910962278464, 6.722284658562201, 39.35585346596074, 49.58881549406437, 23.343704167253666]"
2015-03-04 15:00:00,"[-17.248604651162786, -22.55785714285714, -7.891939799331104, -20.42818181818182, -55.628830188679245, nan]","[772.458372093023, 1432.787142857143, 2948.459565217391, 5529.313977272727, 10388.611207547168, 16200.086]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-6.520465116279072, -7.095714285714285, -6.325886287625417, -16.721363636363638, -51.78603773584905, -66.14]","[6.615497186380475, 12.440607055463099, 50.152834308560024, 95.72280863787446, 164.19267744093028, 86.59507264142601]","[-20.903251441527523, -12.77064036277098, 5.743791695223772, 39.287730780406335, 46.046082447101035, 24.601908020032713]"
2015-03-04 18:00:00,"[-25.811395348837216, -14.870189573459717, -9.053, -18.101501416430594, -54.6693984962406, nan]","[785.1950387596901, 1438.592085308057, 2943.1526, 5520.036685552408, 10395.639022556392, 16195.352]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-9.609612403100773, -10.103127962085308, -7.949999999999999, -16.407025495750705, -50.90812030075188, -65.53999999999999]","[7.033998234080309, 15.279112687096832, 46.88834421367894, 97.47944820969913, 159.53497935893938, 86.0326032135037]","[-21.401541274007524, -13.87533990129092, 7.8625712015574445, 42.148452065533796, 60.104354958759714, 26.35207142347317]"
2015-03-04 21:00:00,"[-16.874031007751935, -31.792938388625597, -12.02, -17.41504249291785, -55.522706766917295, nan]","[791.1900775193795, 1437.1463033175353, 2927.08, 5497.820028328612, 10390.693383458647, 16182.769999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-13.173953488372092, -12.396018957345971, -9.86, -15.814957507082154, -51.169398496240596, -64.52]","[4.47062486756221, 6.503969876390577, 44.68936261047194, 102.88386092957555, 148.2716731487583, 89.25173195950597]","[-20.997013078929747, -18.298742571407097, -0.9751253610448981, 36.736493657967806, 75.56620576591195, 28.01086000515694]"
2015-03-05 00:00:00,"[-18.155076923076926, -33.06710900473933, -18.316582278481008, -19.049150141643057, -55.849999999999994, nan]","[804.1987692307695, 1447.9572985781988, 2932.696455696203, 5490.795212464589, 10384.954157303371, 16182.421999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-13.74923076923077, -13.734881516587677, -10.967594936708862, -17.13960339943343, -51.756629213483144, -64.12]","[2.487518363768812, 8.147448351701719, 41.958821534233685, 100.1337104298022, 137.10393459887686, 90.40698596071834]","[-23.730287304655853, -22.20036945110696, -4.588671689738786, 40.06096437946174, 73.9470703408182, 27.695411271517106]"
2015-03-05 03:00:00,"[-21.1431724137931, -28.298122065727696, -29.46722397476341, -19.590338028169015, -54.90720149253732, nan]","[829.3502068965515, 1469.9405164319246, 2945.606719242902, 5480.819042253521, 10374.06473880597, 16187.214]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-13.853793103448275, -15.53793427230047, -12.420883280757097, -17.729577464788733, -50.917835820895526, -62.82]","[2.97065605721384, 9.301612485101424, 32.99435460076682, 105.60403773488106, 145.80352430289207, 86.56224966034618]","[-20.839469990988622, -19.280806608126483, 3.102225183290078, 37.607241027485884, 76.50205528486663, 26.50769385932878]"
2015-03-05 06:00:00,"[-22.452068965517242, -26.748122065727696, -36.58883280757099, -20.833314606741574, -54.01310861423221, nan]","[830.9653793103447, 1468.687511737089, 2939.1703470031543, 5469.891910112359, 10348.024531835206, 16179.034]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-14.598620689655172, -16.66, -14.06788643533123, -18.709438202247192, -50.33228464419476, -61.599999999999994]","[2.8787353545116905, 13.820402980688266, 32.87185751483167, 102.6075796099507, 152.16716050296395, 84.88117655058275]","[-20.708940837848505, -19.821118849702955, 7.932196618768159, 50.9603037336155, 88.91997635524262, 24.750250976279062]"
2015-03-05 09:00:00,"[-22.31896551724138, -24.60816901408451, -42.49738993710692, -21.931288515406163, -71.39223880597015, nan]","[840.961724137931, 1476.09338028169, 2939.921666666666, 5453.914257703082, 10296.372164179103, 16170.914]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-15.942758620689656, -17.12901408450704, -16.121635220125786, -19.744313725490198, -48.28276119402985, -61.34]","[2.6813842506931755, 17.553608141870612, 35.6685523339088, 98.69872151373866, 143.6579160699982, 88.61457405320256]","[-17.642921076525308, -13.306443237772404, 7.949375374312141, 51.59924339651952, 79.53710350148516, 21.091357599013886]"
2015-03-05 12:00:00,"[-21.891655172413795, -25.325841121495337, -44.370880503144654, -29.15, -70.39156716417911, nan]","[846.8159999999998, 1479.9885046728973, 2934.172075471698, 5424.05, 10252.713582089553, 16165.774000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-16.86758620689655, -17.693177570093457, -19.481069182389938, -21.96, -46.636119402985074, -61.22]","[4.440091179607942, 20.23503758261358, 32.04038906274189, 113.835324775919, 140.53920051801674, 86.09039546153845]","[-14.426315891379254, -15.465703485570987, -1.9455360635442576, 49.1430456235777, 63.3952907495522, 19.809073912627014]"
2015-03-05 15:00:00,"[-20.62006896551724, -28.430841121495323, -41.83325, nan, -71.39081784386617, nan]","[869.34524137931, 1499.5441588785045, 2949.082, 5399.458403361345, 10245.594869888475, 16173.362]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-18.147586206896552, -18.39177570093458, -20.55875, -25.590252100840335, -45.63806691449814, -60.919999999999995]","[10.118157105590642, 17.61538469944992, 27.59888612021366, 88.67368044283285, 118.29702201445838, 80.54780835231759]","[-8.357715699665238, -12.889887429664775, -11.537719322876512, 29.20544746745484, 52.4809875833122, 16.92123534610632]"
