,DWPC,HGHT,PRES,TMPC,UWND,VWND
2017-08-31 06:00:00,"[13.26203125, 9.123428571428576, -9.322809364548494, -38.54393162393162, -69.44139097744362, nan]","[821.84984375, 1539.2182857142852, 3154.511906354515, 5822.013589743589, 10796.107293233083, 16629.796000000002]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.69546875, 12.627142857142859, 6.54769230769231, -11.036068376068375, -43.009248120300754, -63.64]","[-7.692236647842899, -7.779886868198807, -8.743440333668342, 8.978896496845472, 60.87351719737688, 21.624497719167078]","[-5.36198515141389, -5.247938636290695, -4.988360888533681, -6.263346802608976, 28.69585161717863, -13.44226701095236]"
2017-08-31 09:00:00,"[12.786666666666669, 6.757343749999994, -9.403624161073823, -39.76, -55.11905660377358, nan]","[814.7399999999997, 1532.1567187500004, 3148.035, 5815.907142857143, 10790.146037735849, 16614.711317829457]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.673333333333336, 13.054062499999997, 6.200067114093962, -10.86, -43.26, -63.856899224806206]","[-7.382344536198439, -10.304798390927068, -6.164069803819033, 5.221676584170767, 66.66369730762173, 22.32310690918158]","[-3.64537610222029, -2.9106227638296605, -9.635801432199248, -5.49261673051032, 32.87107667027207, -6.552657433009908]"
2017-08-31 12:00:00,"[13.287674418604652, 4.741809523809515, -8.10154362416107, -37.32094017094017, -48.415187969924816, nan]","[819.8028682170541, 1537.3260952380956, 3156.0348657718114, 5817.182991452992, 10788.9692481203, 16611.342]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.43612403100775, 13.737142857142857, 5.793691275167789, -11.436068376068373, -43.464887218045114, -64.44]","[-6.986395765075026, -8.347844025725673, -7.063546750142998, 4.497670693213961, 66.74644341727615, 24.990820890374025]","[-9.626873261146804, -4.654004887381482, -8.863300997938834, -4.390927173004103, 38.49573790002887, -5.179899152034267]"
2017-08-31 15:00:00,"[14.533953488372093, 7.258428571428576, -5.4052508361204, -33.00559659090909, -47.697169811320755, nan]","[827.9616279069768, 1544.927857142857, 3157.8474916387954, 5818.482784090909, 10789.204000000002, 16609.648]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.030697674418604, 13.01, 5.316588628762545, -11.72534090909091, -43.60415094339623, -64.86]","[-10.32456261365823, -8.726004137722965, -4.707585976030739, 5.329257272526209, 59.54220246396113, 26.56226575094502]","[-8.696452806915794, -6.853592291539217, -9.329433975839773, -4.277932809621927, 38.22978961853576, -9.612259993163583]"
2017-08-31 18:00:00,"[15.791250000000002, 9.63333333333333, -2.9468456375838903, -26.744615384615383, -47.53283018867924, nan]","[824.1749999999997, 1542.1553333333338, 3156.105604026845, 5816.155299145299, 10794.867358490566, 16611.984]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.527500000000003, 13.431428571428569, 5.339328859060405, -11.549743589743589, -43.512830188679246, -63.54]","[-9.717160021689597, -8.934212707360986, -4.35310851988948, 7.814820337996569, 58.73925197433869, 25.375048141979853]","[-1.8938851899936826, -7.971662084981724, -7.267408297890514, -5.966813022129, 38.317551493184546, -10.882050900092544]"
2017-08-31 21:00:00,"[15.473125, 10.555208333333331, -0.7594949494949504, -15.797714285714285, -46.548716981132074, nan]","[809.0396875000001, 1527.6109375000003, 3142.516666666667, 5807.968428571428, 10798.60996226415, 16612.967519379847]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.97359375, 13.391041666666666, 5.515757575757575, -11.34142857142857, -42.71622641509434, -63.298759689922484]","[-12.29615165167189, -13.234308309856692, -2.980223026069918, 3.3656678578761077, 62.45280849238117, 26.142911482809257]","[-4.962254241445401, -5.3813522116717385, -5.889618370333087, -9.652326408433847, 48.90260483010119, -9.041942518716706]"
2017-09-01 00:00:00,"[15.479843750000002, 10.907958115183247, -0.19959595959595688, -19.826971428571433, -45.25388679245283, nan]","[805.8385937499997, 1522.487958115183, 3137.535589225589, 5808.199542857144, 10808.883698113208, 16612.45666666667]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.736875000000001, 13.28607329842932, 5.67670033670034, -10.920000000000003, -41.315849056603774, -63.0584496124031]","[-23.536781504224546, -17.3745343611078, -3.2100487964172, -3.8057843752619007, 58.30111892135435, 25.758669294936524]","[-10.354363221249272, -5.459655611863652, -5.6327513775796, -10.08896653686955, 61.436236253401326, -15.260883203605694]"
2017-09-01 03:00:00,"[12.970625, 10.274270833333334, -1.4733557046979862, -32.473076923076924, -46.1188679245283, nan]","[811.2715625, 1524.5911458333328, 3136.279731543624, 5809.264188034188, 10819.59320754717, 16623.75457364341]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[14.068125, 12.447291666666668, 5.141342281879195, -10.347179487179487, -42.19018867924528, -62.71813953488372]","[-32.980489800894425, -21.984712768174802, -5.08529886672218, -5.794037081720633, 42.93813211191767, 20.94521978644558]","[-9.1383574705044, -5.454496407859503, -6.598725010773739, -9.883340964818581, 61.960825672657684, -13.709203451327658]"
2017-09-01 06:00:00,"[6.725468750000001, 6.576806282722512, -4.322617449664432, -35.02925925925926, -46.17424242424242, nan]","[802.0743749999999, 1513.7890575916228, 3123.5576510067117, 5792.3270370370365, 10810.292727272727, 16610.18496124031]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[12.709531250000001, 12.958848167539267, 4.568187919463086, -10.711851851851852, -42.333484848484844, -63.27782945736434]","[-34.51554198206956, -20.125471668394148, -7.210241876953241, -7.961160341013526, 31.425619879132604, 18.790779550434003]","[-8.213611390528456, -5.433011467696511, -6.020279142365954, -11.908385057036435, 53.574951563659035, -12.787936190938767]"
