,DWPC,HGHT,PRES,TMPC,UWND,VWND
2019-04-24 12:00:00,"[-7.243906250000003, 6.066282722513094, -0.11496644295301978, -19.29957142857143, -55.9225, nan]","[782.2890625000001, 1480.195811518325, 3064.6888590604026, 5691.4334285714285, 10555.1425, 16313.633333333333]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[9.2696875, 7.74, 0.0816107382550339, -14.42, -52.335, -58.11813953488372]","[-28.266917044800042, 5.110743486564319, 14.10253706217682, 23.463765210291932, 85.67712327805147, 32.121098298441716]","[8.70954203655362, 6.938984298122682, 1.9218453695052848, 5.38346406507627, 11.496459098242912, 0.9331931504731732]"
2019-04-24 15:00:00,"[-6.718593749999999, 7.8650261780104715, 0.3895622895622871, -25.452085714285715, -55.722415094339624, nan]","[777.5223437500001, 1477.0696335078537, 3063.558484848485, 5691.804114285715, 10550.92879245283, 16320.65441860465]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.48140625, 8.47979057591623, 0.7861279461279441, -15.559714285714287, -51.76830188679245, -57.80031007751938]","[-20.71555283686837, 4.6683542760579, 17.334532654245873, 32.39703585339795, 88.46813049607582, 34.87568215710539]","[9.741858738379436, 6.518687069956646, 4.792572657961535, 6.369267128457378, 12.147001623399781, -0.9466358865559401]"
2019-04-24 18:00:00,"[1.9449606299212534, 9.048429319371726, -0.16404040404040265, -27.5689111747851, -56.62411320754717, nan]","[768.292834645669, 1471.031151832461, 3059.8748484848484, 5683.757965616046, 10546.229132075472, 16324.16953488372]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.719527559055118, 9.261465968586387, 0.9319191919191927, -16.396103151862466, -52.071698113207546, -57.521240310077516]","[-14.378398991638276, 6.1264810265401675, 14.02448838354643, 39.724325057754506, 90.16052754978837, 36.463303245751945]","[10.514023723207043, 12.96205031440649, 6.8288181705999005, -1.8771743696384156, 13.521390063565217, -1.73044343396813]"
2019-04-24 21:00:00,"[8.341228070175438, 9.480947368421052, -4.453513513513519, -32.68129310344827, -56.59631178707224, nan]","[753.5911403508771, 1459.7863157894733, 3050.8445945945946, 5677.040431034483, 10556.054980988592, 16322.05465116279]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[9.918070175438595, 9.633684210526317, 1.7994594594594584, -15.086724137931036, -51.88585551330798, -57.2615503875969]","[-4.672975872165836, 9.763952409228189, 20.7606927707532, 45.198438952271935, 76.45058548889027, 38.09163148524746]","[10.633126104024056, 9.61781455982146, 8.47536641671227, -0.5929042827538905, 13.810110195640357, -3.919876300089704]"
2019-04-25 00:00:00,"[10.258245614035085, 9.200000000000003, -4.812305084745753, -28.310057471264365, -55.48038022813688, nan]","[745.22298245614, 1452.0919999999996, 3040.998983050847, 5676.767183908047, 10565.489847908744, 16323.493410852714]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[11.11017543859649, 9.410000000000002, 1.6864406779661028, -13.2732183908046, -51.73642585551331, -56.89875968992248]","[-1.6223898685970317, 9.332335750497592, 16.134926949349758, 43.956086041593295, 61.17803071785312, 36.300838725425855]","[12.011364738679276, 8.696151185437417, 1.9858778493862843, 5.588694552746784, 20.220178946376148, -4.7273916520195165]"
2019-04-25 03:00:00,"[12.23684210526316, 8.64261780104712, -5.747364864864868, -33.4692795389049, -56.57133079847909, nan]","[746.737368421053, 1454.3275916230368, 3044.2240540540542, 5675.9573198847265, 10559.539847908745, 16322.243798449612]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[12.555789473684209, 9.661465968586386, 2.157905405405404, -13.93492795389049, -51.78319391634981, -57.43906976744186]","[4.835291927453151, 9.149245392726188, 14.47509507707968, 30.047679014033406, 82.9910060675712, 34.17928205455292]","[10.381265189501484, 5.868871774707293, 9.051856773698464, 5.790095431199565, 20.312323098969088, -1.9760543349223136]"
2019-04-25 06:00:00,"[12.234210526315792, 8.267748691099477, -4.172331081081086, -36.814827586206896, -55.46482889733841, nan]","[739.1494736842103, 1446.5564397905757, 3034.889932432433, 5667.613793103448, 10552.893155893536, 16310.33465116279]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[12.35842105263158, 9.650994764397906, 1.2670270270270254, -13.797931034482758, -51.25923954372624, -57.31968992248062]","[5.174633293213149, 8.180042834674289, 13.389176123498098, 22.471250173281074, 82.85343485807974, 33.16897692894547]","[5.8384762012696605, 3.8380850318873523, 9.768501993990784, 6.817834559989669, 24.23896263261797, 0.476756717207612]"
2019-04-25 09:00:00,"[11.955263157894738, 7.94078947368421, -7.18667796610169, -33.11054755043227, -54.48239543726236, nan]","[729.6403508771929, 1437.3265789473685, 3027.0613898305082, 5660.229682997118, 10540.406007604563, 16301.577209302324]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[12.334736842105265, 9.634736842105264, 1.6647457627118656, -14.685648414985591, -50.49003802281369, -57.41813953488372]","[3.7676158630595578, 6.054673458515334, 17.00225683568947, 23.601527145945106, 83.27949716355965, 36.247597201894884]","[2.852890806107679, 5.530002650157591, 11.854225306176554, 11.526153002578592, 28.351393441118027, 6.623331485923282]"
2019-04-25 12:00:00,"[11.664336283185841, 7.722421052631575, -6.920169491525433, -33.57945244956772, -55.26251908396947, nan]","[725.702831858407, 1432.8522105263162, 3022.3064406779667, 5656.769913544668, 10546.16641221374, 16296.698682170543]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[11.981592920353982, 9.668421052631578, 1.4769491525423701, -14.474985590778097, -51.17374045801527, -57.66]","[1.8466867272387635, 6.451710028024195, 16.303473777493895, 22.09461374871419, 62.60119381222525, 39.673271352559105]","[1.9282571335016385, 7.032734548687133, 11.62215607982046, 9.071399777967581, 29.04836978804202, 5.663156173779161]"
2019-04-25 15:00:00,"[11.76421052631579, 8.377037037037038, -6.317966101694923, -30.107636887608074, -56.342471482889735, nan]","[727.0608771929824, 1433.1937037037037, 3020.848372881356, 5653.0909798270895, 10546.830228136883, 16295.138682170542]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[12.080350877192982, 8.925185185185185, 1.4067796610169463, -14.40322766570605, -51.90790874524715, -57.62124031007752]","[-0.2827573911379939, 5.325800100621494, 14.584126896821331, 15.945475232449088, 53.032888316958115, 38.4220804981983]","[3.371849209902769, 5.123275640468711, 11.51303066892893, 7.36218036053293, 25.43507131774011, 7.65251691987019]"
