,DWPC,HGHT,PRES,TMPC,UWND,VWND
2012-01-07 06:00:00,"[-5.016842105263152, -11.138210526315788, -11.297186440677967, -27.220344827586207, -62.89719696969697, nan]","[737.5489473684207, 1424.1581052631575, 2971.5949491525425, 5559.877586206897, 10345.039545454545, 16147.886201550387]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[5.171578947368422, 2.2589473684210546, -4.275593220338984, -19.732413793103447, -53.01984848484848, -60.200310077519376]","[1.6386000750189453, 3.0126866046383167, 22.848926436783934, 56.67947940777679, 67.51826914592824, 37.75340540487048]","[-20.94336452846073, -17.049342815372192, -1.9445870887049057, 23.705932640650342, 25.595289877492686, 8.568930299527235]"
2012-01-07 09:00:00,"[-9.194453124999995, -15.24418848167539, -10.065810810810811, -23.34022922636103, -62.06215909090909, nan]","[747.1835156249996, 1429.8600000000004, 2966.63695945946, 5534.657965616046, 10306.05159090909, 16125.621085271317]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.3306250000000013, 1.1237696335078522, -6.924864864864866, -20.679197707736385, -52.95431818181818, -60.421240310077515]","[1.3727515156554093, 10.98629808132662, 30.026022911055655, 56.69005499702506, 75.67726927232845, 38.86697342532318]","[-25.24450052001476, -16.847730653565783, -1.2401250879960035, 15.043901379927496, 27.941841189105865, 8.401905969591535]"
2012-01-07 12:00:00,"[-7.201171874999998, -13.484869109947644, -23.019395973154364, -45.99, -62.924037735849055, nan]","[763.9991406249997, 1443.145130890052, 2971.9259731543625, 5524.4171428571435, 10271.391924528301, 16113.243023255814]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.414218750000002, -0.38303664921465896, -8.657986577181209, -21.513142857142856, -53.130188679245286, -59.6631007751938]","[10.853992724915418, 18.805655646764652, 36.12964050579238, 58.32474064591283, 77.89579335044294, 41.31467468174036]","[-20.53251589891987, -17.10215745485047, -10.48938018436616, -0.25867955920446706, 24.379232579978318, 11.166266590967902]"
2012-01-07 15:00:00,"[-6.696171874999999, -15.36428571428571, -36.72026755852843, -46.22538461538461, -63.479398496240606, nan]","[783.141953125, 1459.4848571428568, 2986.627157190635, 5530.857948717948, 10250.517368421053, 16108.898]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.3634375000000001, -0.9699999999999984, -8.979397993311034, -22.799316239316237, -53.34233082706767, -59.04]","[12.80343068193101, 17.674386311324387, 20.974921493164405, 52.01052155957062, 73.42849468043822, 39.70757918028662]","[-18.813398597356016, -18.06929623014585, -18.314220225880593, -12.881842519368586, 17.03681926069994, 4.519895091843165]"
2012-01-07 18:00:00,"[-5.975078124999998, -17.197393364928914, -42.261872909698994, -37.43880681818182, -63.47694339622641, nan]","[796.7919531249997, 1473.1913270142181, 3000.018093645485, 5542.640340909092, 10244.472867924527, 16101.722]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.9045312499999987, -0.7206635071090056, -9.046287625418058, -22.57818181818182, -55.07471698113207, -58.08]","[7.585394568352569, 11.164467106487148, 21.77521345681135, 54.961928727293156, 72.20346881245918, 42.095282618370504]","[-12.133424995978352, -16.72793953491606, -13.290704965210661, -14.055484699281347, -1.539850565132119, 5.83671014181058]"
2012-01-07 21:00:00,"[-5.191874999999999, -17.796729857819905, -36.76453333333333, -34.216136363636366, -62.951842105263154, nan]","[801.9803124999999, 1478.796492890995, 3004.219, 5544.868409090909, 10245.056842105263, 16089.694000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.5381249999999984, -0.8358293838862558, -9.176000000000002, -22.89636363636364, -56.165263157894735, -57.98]","[7.29855259486179, 9.449360052331102, 23.71727378222301, 53.82308056510853, 74.7526218686601, 44.6104088291474]","[-9.935093912751528, -14.376540877782489, -10.546684171981335, -9.47879453284464, -13.8854781854926, 0.9251076133767907]"
2012-01-08 00:00:00,"[-7.061937984496126, -15.242322274881516, -38.83033333333332, -41.397499999999994, -65.27864661654137, nan]","[815.0672093023258, 1491.9142654028435, 3016.6669999999995, 5558.855625, 10263.244736842105, 16098.362]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.35767441860465155, -1.109289099526066, -8.649999999999999, -23.522499999999997, -56.24721804511278, -58.08]","[4.013945444022927, 7.284438569670269, 23.87085482735642, 50.71249334137476, 81.26086275232728, 42.94323830835174]","[-10.748284502662989, -11.614075951609415, -9.719975786100786, -4.0039621562493695, -16.85951248163295, -3.7192875113536847]"
2012-01-08 03:00:00,"[-7.945348837209306, -13.999241706161136, -38.84993670886076, -35.22983002832861, -60.89481203007519, nan]","[823.4637209302329, 1499.544644549763, 3022.873924050633, 5562.291586402267, 10277.94977443609, 16098.75]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.3832558139534893, -1.651943127962085, -8.484683544303799, -24.064249291784705, -56.37353383458647, -57.88]","[1.1606986870487372, 6.435303436021271, 21.843145110272303, 48.78065406187876, 94.90863236396042, 42.4793273244027]","[-7.778294064064863, -6.1370020180337095, -6.992019274217996, 0.7264064108338272, -13.27897751653466, -3.6283200060432574]"
2012-01-08 06:00:00,"[-8.302790697674416, -13.808388625592416, -39.39257142857143, -27.332372881355933, -60.89481203007519, nan]","[827.4648837209301, 1503.091327014218, 3025.589714285714, 5561.847966101695, 10282.34135338346, 16097.009999999998]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.4181395348837205, -1.8732701421800946, -8.694285714285714, -24.28542372881356, -56.72541353383459, -57.239999999999995]","[1.1211689564103005, 8.090990468061849, 20.52742392843964, 45.81917978703891, 96.53469247733034, 45.17299674491037]","[-3.955813976492297, -1.8472951814155834, -2.5332321865757224, -1.232845092193134, -1.1404292698389789, -2.2298764728830456]"
