,DWPC,HGHT,PRES,TMPC,UWND,VWND
2013-07-15 12:00:00,"[17.864186046511627, 15.795, 7.081047619047617, -19.964463276836153, -50.81707865168539, -77.47800000000001]","[884.3223255813955, 1614.6824999999997, 3250.260888888889, 5967.37011299435, 11037.00179775281, 16728.228]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.107441860465116, 17.040000000000003, 8.584126984126984, -4.776384180790958, -43.07910112359551, -66.52]","[1.2873210334448648, -5.144452968088824, -9.846199783274447, -6.320149521124178, -13.668195629644881, -19.621311373930514]","[15.379706365479837, 9.147657003797315, 7.432850115343946, 24.26499711951724, 7.1398613218661735, 2.105919268933423]"
2013-07-15 15:00:00,"[17.92860465116279, 14.954218009478673, 5.7802531645569575, -19.293399433427762, -51.86505617977528, nan]","[884.7216279069769, 1613.6103317535542, 3249.451392405064, 5967.427337110481, 11030.271460674157, 16723.584]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[21.014418604651162, 16.763696682464456, 9.27164556962025, -5.447535410764872, -43.234157303370786, -66.76]","[2.2656713139641322, -3.68425218471757, -9.875459177019467, -7.670322435588212, -18.833803059542273, -20.603774478997337]","[12.569530368783868, 10.105205148180572, 14.980160396278718, 21.77755556544927, 2.3119003893328363, 4.152204380641443]"
2013-07-15 18:00:00,"[19.689147286821708, 13.756792452830188, 5.5884493670886055, -16.268587570621463, -51.54292134831461, nan]","[887.1126356589148, 1617.0015094339626, 3257.4174050632914, 5976.218644067796, 11033.292247191011, 16736.26]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[21.453178294573643, 17.494716981132072, 10.163417721518986, -6.017627118644065, -43.40157303370786, -66.14]","[-2.914831134840421, -3.2478864694690768, -6.578575768755865, -6.551205487021452, -21.200753597883374, -17.606554624010666]","[7.346018418924967, 9.223746059319293, 17.851986894484988, 16.68284922749623, -0.9573879961420068, 7.968908976248174]"
2013-07-15 21:00:00,"[19.899689922480622, 14.390188679245284, 3.8007936507936524, -17.219661016949154, -50.484382022471905, nan]","[879.7951937984498, 1611.7016981132074, 3256.017777777777, 5980.800677966102, 11036.661235955056, 16742.654]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.20356589147287, 18.25320754716981, 10.810793650793652, -5.371864406779661, -43.48059925093633, -66.14]","[-4.748686373849812, -3.5141250006908717, -3.1171912155599992, -7.197898943489222, -24.735360779894727, -15.688930407524087]","[6.742880615818341, 9.224635435724581, 14.751417319710294, 11.96680304076639, 0.9212203148520268, 6.510119712253081]"
2013-07-16 00:00:00,"[19.517674418604653, 14.687061611374405, 2.0340000000000042, -18.94801699716714, -50.93830827067669, nan]","[877.4981395348834, 1609.8824644549768, 3253.782571428571, 5982.0751274787535, 11034.22657894737, 16746.55]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.19116279069768, 18.32104265402843, 10.819047619047621, -5.145552407932011, -43.013383458646615, -66.46000000000001]","[-6.248912104061713, -4.035263178715773, -2.931899557506337, -10.272559825226244, -31.539474201161518, -11.388235507095413]","[8.99186285013906, 11.975073894801842, 10.29374722854133, 11.043296527437365, 2.7534452355810597, 3.165516077187304]"
2013-07-16 03:00:00,"[18.71604651162791, 13.46511848341232, 0.4587974683544287, -19.817118644067794, -53.01887640449438, nan]","[887.5954263565891, 1620.99691943128, 3264.3855696202536, 5987.407740112994, 11032.606741573034, 16750.156]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.795038759689923, 18.7442654028436, 10.359936708860758, -5.380903954802258, -43.53640449438202, -66.66000000000001]","[-5.0997895730181675, -1.3851283045056155, -4.5449209247503015, -12.653170907319263, -26.872866833089457, -13.535389887922646]","[14.656795100609582, 17.196486199308648, 8.166821300526621, 13.343222041859377, 6.486394226938858, -0.12851685461979684]"
2013-07-16 06:00:00,"[18.55906976744186, 13.735308056872041, -0.6569523809523838, -19.648615819209038, -51.18640449438202, nan]","[888.3318604651166, 1621.1180094786728, 3261.059428571429, 5981.264915254237, 11023.144157303372, 16743.232]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.982635658914727, 17.932890995260664, 9.952380952380949, -5.491638418079096, -43.47123595505618, -66.84]","[-0.3094452263729555, 2.3535908529711023, -5.669022702297702, -11.56867549447969, -33.93222878678896, -15.841391828676693]","[15.618485207090474, 20.683059723048746, 8.03343164333775, 17.296738756758565, 4.447632313876678, -1.677857243729408]"
2013-07-16 09:00:00,"[17.967000000000002, 12.44729857819905, -0.7008860759493658, -19.97084745762712, -54.27026315789474, nan]","[889.5638461538459, 1621.4945497630333, 3259.5159493670885, 5978.697457627119, 11016.433383458645, 16732.048]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.753076923076925, 17.721516587677723, 9.442531645569622, -5.688813559322036, -43.3396992481203, -67.28]","[4.891403384516575, 5.83421226026351, -5.605596194120755, -11.250105787657628, -31.89908114403747, -20.06741362568596]","[13.746525539755375, 18.09289580905885, 8.985178600931718, 15.04036737652399, 3.0711308008662974, 0.1534091771484899]"
2013-07-16 12:00:00,"[17.436923076923076, 12.678246445497626, -0.6278233438485787, -20.3214406779661, -59.54880149812734, nan]","[894.5204615384617, 1625.3187677725123, 3261.1227129337535, 5978.542033898305, 11012.445692883895, 16722.788]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.315384615384612, 17.28739336492891, 9.032113564668771, -6.116779661016946, -43.48883895131086, -66.2]","[6.3037758449351555, 6.953535869187658, -4.3595587561402125, -10.282509522253255, -27.98407904564726, -17.69503932513648]","[8.61660931211579, 13.152168321946991, 11.26252382426151, 11.912971891267924, 4.668281006094951, 4.433525378507887]"
2013-07-16 15:00:00,"[17.287692307692307, 12.536415094339624, -0.9655205047318609, -19.245521126760565, -57.82816479400749, nan]","[904.9692307692308, 1634.986509433962, 3270.056466876971, 5984.864450704225, 11018.352322097378, 16736.936]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[21.77076923076923, 17.27679245283019, 9.205930599369085, -6.66225352112676, -43.243520599250935, -65.55999999999999]","[5.985582756634545, 7.0018157215993515, -1.6296367046873825, -10.131056168666246, -21.65950161098264, -13.477648156943948]","[4.4466577214669405, 7.775171302030292, 9.82161952922031, 9.34447437136501, 11.879733562326939, 0.09738663987108853]"
2013-07-16 18:00:00,"[19.395426356589148, 12.084150943396223, -1.1964668769716056, -19.805988700564974, -56.216704119850185, nan]","[905.181240310078, 1636.1295754716984, 3274.299936908517, 5992.736214689266, 11031.385318352059, 16748.31]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.408217054263563, 17.72396226415094, 10.00940063091483, -6.356045197740115, -43.40007490636704, -65.97999999999999]","[2.5127506896079495, 4.93869180960322, 1.9665778384851278, -7.884679741032085, -14.016750356623428, -13.65880379365743]","[4.454677830618392, 6.657806298679549, 9.575923288328879, 9.170736118932199, 13.186350212474812, -3.0260830997131145]"
2013-07-16 21:00:00,"[19.569922480620157, 14.280377358490568, -0.7813291139240475, -19.914689265536722, -55.849999999999994, nan]","[893.9130232558136, 1626.8353773584904, 3267.779050632911, 5989.0311864406785, 11034.030786516854, 16751.23]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.327596899224808, 17.914056603773584, 10.361835443037977, -5.998700564971751, -43.379101123595504, -66.62]","[1.323080838516546, 3.6839453060596528, 5.7855709034587095, -5.691991220829683, -12.070032413378659, -13.751838125163408]","[4.039622116357246, 5.569170799454385, 6.360086906803642, 8.418698496629615, 11.561893093339496, 0.06672465288152107]"
2013-07-17 00:00:00,"[19.838837209302323, 13.380471698113212, -1.200411392405062, -20.062542372881357, -55.358721804511276, nan]","[889.1180620155043, 1623.24679245283, 3267.0319303797464, 5988.913644067797, 11035.55827067669, 16755.324]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.578759689922478, 18.616415094339622, 10.683037974683545, -6.077796610169493, -43.419398496240596, -66.74]","[0.2947686608943809, 3.8901826580422085, 5.392494802783145, -3.790614649601728, -10.257526565710025, -9.021397805105881]","[4.149310377269566, 4.899316958909328, 2.7115564730780752, 6.229068245174814, 9.9479376305671, -0.21669712049489376]"
2013-07-17 03:00:00,"[19.713999999999995, 11.111650943396231, -1.3831962025316444, -19.822203389830506, -52.24307116104869, nan]","[902.2260000000005, 1636.2476415094338, 3280.267974683544, 5997.582627118643, 11037.256853932584, 16753.388]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.349999999999994, 19.19141509433962, 10.407721518987342, -6.540508474576268, -43.54464419475655, -66.2]","[1.6866121672195231, 4.866638116087739, 3.785553713532139, -4.217473791424907, -10.965119193158758, -9.93707230808895]","[6.370513275819076, 4.714857537410264, 1.4283058461880556, 5.4570737088798955, 9.088764077987099, -2.7999232031989254]"
2013-07-17 06:00:00,"[19.74627906976744, 10.058009478672979, -1.815, -19.90576271186441, -54.11721804511278, nan]","[894.0769767441863, 1627.6838388625597, 3272.026234177215, 5985.860508474577, 11028.056052631578, 16742.420000000002]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.002015503875967, 19.35090047393365, 10.326075949367088, -6.822711864406782, -43.1287969924812, -65.02]","[4.603561073798933, 5.97911173867903, 4.4390964411350895, -3.343316202741417, -8.559571766177474, -10.92104602102687]","[6.187954306191102, 4.25384706385002, 1.2188462374501117, 6.048115964467793, 9.134131651056, -2.641675568008521]"
2013-07-17 09:00:00,"[19.28744186046512, 12.60066037735849, -2.375981012658225, -20.72090395480226, -55.01733082706767, nan]","[889.9858914728679, 1622.450188679245, 3262.970537974683, 5977.1970056497175, 11016.238082706766, 16729.84]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.693488372093025, 18.254622641509435, 10.249493670886078, -6.712824858757062, -43.250977443609024, -66.46000000000001]","[8.647415480400099, 10.386269921753419, 3.305445551219697, -0.36098134947208343, -6.71510850558246, -6.282973312367063]","[1.7503831592845445, 0.6940551326937717, 1.7608844181852934, 5.418554085523807, 8.888489330360777, -4.044135303879341]"
