,DWPC,HGHT,PRES,TMPC,UWND,VWND
2018-05-22 06:00:00,"[16.856899224806202, 11.906020942408379, -9.127878787878789, -29.119314285714285, -60.16264150943397, nan]","[799.9462790697671, 1521.999895287958, 3140.8848484848486, 5810.088514285714, 10769.246301886793, 16486.123178294572]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.697364341085272, 14.449947643979058, 6.712727272727273, -10.346285714285713, -47.869433962264154, -64.69720930232558]","[12.461303550913687, 13.234607730129998, 18.077024706901174, 22.06177497234508, 46.93136624737315, 25.07998319053354]","[7.5918405770584, 12.652658007839433, 6.0006859927317, 7.157822266370906, 23.970766703469213, 2.1222232881767247]"
2018-05-22 09:00:00,"[16.3653125, 12.683507853403139, -7.4928619528619524, -30.685171428571433, -57.784659090909095, nan]","[795.1934375000001, 1515.582984293194, 3133.2271717171716, 5802.430000000001, 10754.047348484848, 16472.277441860464]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.64625, 13.83633507853403, 6.780740740740742, -10.454285714285717, -47.96416666666667, -64.57627906976744]","[13.654178708553609, 21.858276287974356, 18.900750591552168, 24.45404542978915, 52.31169483896713, 25.14750816806443]","[2.5281105310846907, 9.226989925258483, 6.794816284407553, 4.624719390345856, 17.674968421359345, 4.424221680717299]"
2018-05-22 12:00:00,"[14.02, 10.824270833333332, -5.716946308724834, -32.866914285714294, -57.791962264150946, nan]","[803.4700000000003, 1519.279322916667, 3135.6518120805367, 5804.950971428572, 10744.362603773585, 16470.001085271317]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.189999999999998, 11.841562499999997, 6.06718120805369, -10.481714285714288, -48.38981132075472, -64.03596899224806]","[11.64405525707416, 23.007425347850038, 23.329438048112387, 25.174984733446955, 56.0801917747681, 25.692310476951377]","[-5.941904864620749, 6.715425414762422, 5.135798819709675, 4.739312134763097, 15.005939966473022, 3.9079997775061734]"
2018-05-22 15:00:00,"[13.18625, 3.5887500000000077, -7.207617449664434, -34.216, -58.3788679245283, nan]","[813.3637500000002, 1526.4615624999997, 3143.070268456376, 5809.020085714285, 10739.28716981132, 16473.790232558138]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.964999999999998, 13.386874999999998, 5.494697986577179, -10.679142857142855, -49.558113207547166, -64.19410852713177]","[6.999834897163104, 13.269333040378335, 24.611595158642675, 31.65147511566738, 53.81669018303113, 25.127054273253822]","[-7.973356345508306, -9.501442035879604, -4.0951445947070475, 5.3213874574675195, 5.310949616775604, 2.0125051140844645]"
2018-05-22 18:00:00,"[12.406171875, 10.012604166666668, -10.074848484848484, -29.1964, -61.283245283018864, nan]","[813.3555468750001, 1531.2863541666666, 3144.6484848484847, 5814.732628571429, 10742.550528301887, 16481.28131782946]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.63921875, 12.118125, 6.070303030303031, -11.06942857142857, -50.09018867924529, -63.95379844961241]","[8.403466769087759, 9.101110230505967, 23.702669024464615, 36.80624882208009, 44.2073165842792, 26.280532718714312]","[-7.76795728125083, -7.386139195712939, -8.36690049589675, -2.6122016749862906, -4.446148827983807, 3.9286697620884605]"
2018-05-22 21:00:00,"[12.79140625, 10.809375, -14.528956228956233, -25.613828571428574, -62.924037735849055, nan]","[806.4510937500002, 1526.7577604166668, 3138.992558922559, 5812.515085714285, 10743.0500754717, 16478.19620155039]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[19.605625, 12.718124999999997, 6.315084175084173, -10.441142857142857, -49.67056603773585, -64.17472868217054]","[8.547303631404057, 8.740517470432334, 20.74558395682508, 35.81404042484412, 51.71496565140957, 25.7684203143899]","[-10.646061399092675, -8.638838577267464, -11.395235513049396, -10.263558178783025, -20.241063419056356, 1.323827887541023]"
2018-05-23 00:00:00,"[13.311953124999999, 9.843802083333337, -11.917315436241605, -39.3444, -60.48, nan]","[805.9458593750003, 1523.7549479166664, 3136.2288590604026, 5815.3712, 10756.487500000001, 16483.067054263563]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.486874999999994, 12.15510416666667, 6.4373154362416125, -9.915999999999999, -49.885, -64.07472868217054]","[3.814974977161403, 6.732577801088446, 16.523476445409027, 30.32996816541632, 55.27291509966107, 26.329154334697122]","[-14.874259120600497, -10.084486225437836, -13.919385803947632, -19.998321610696046, -30.07947992628296, 1.7517502358722228]"
2018-05-23 03:00:00,"[13.200232558139534, 7.02, -9.045100671140942, -47.74452991452992, -60.85452830188679, nan]","[817.5062015503879, 1533.42, 3146.24744966443, 5828.666210826212, 10778.19320754717, 16485.67046511628]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.290387596899222, 13.34, 5.876241610738254, -9.499316239316242, -49.06, -63.99565891472868]","[-10.133294037578668, 5.8281997548958, 5.903712628911354, 21.113063284285843, 51.35037094017849, 27.622856214470723]","[9.607047385411896, -11.653882941622184, -14.57093188459827, -23.237052588433393, -42.19326534586684, -2.179193011833441]"
2018-05-23 06:00:00,"[12.513023255813954, 6.096095238095242, -7.933076923076929, -41.90717948717949, -56.593886792452835, nan]","[822.3303100775195, 1537.5379047619044, 3149.9876923076927, 5829.292051282052, 10785.329886792453, 16479.702]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.226821705426357, 13.805714285714288, 5.563076923076921, -9.698461538461538, -49.00754716981132, -63.8]","[-3.264345197526218, 3.637359853315804, 0.40525285624420565, 15.245423023040777, 44.267360847398095, 27.78923879761289]","[-7.856582811226931, -9.487192685541311, -12.50497360241365, -21.035941408876308, -39.939355894417325, -3.6042601250806685]"
