,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-05-16 06:00:00,"[12.52328125, 9.500104166666668, 1.8545302013422844, -12.523076923076925, -51.17045283018868, nan]","[811.9348437499999, 1533.0152604166665, 3141.5432550335568, 5803.702307692309, 10776.259283018868, 16464.54139534884]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[19.4009375, 13.820208333333335, 4.038657718120807, -11.313846153846155, -47.165660377358485, -62.27782945736434]","[17.965338701658585, 16.316050711068446, 20.102531452927167, 16.075096688188133, 43.42410787366118, 17.25220567661278]","[18.796368838979966, 17.500553551622936, 14.879518772584056, 18.166642578090133, 19.842133879565868, 6.507411119495728]"
2015-05-16 09:00:00,"[13.7034375, 9.7503125, 0.01053872053872007, -12.36247863247863, -51.835735849056604, nan]","[811.8146875, 1531.8601562500003, 3139.923602693603, 5802.596695156695, 10768.617283018868, 16462.419069767442]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.715, 13.405624999999999, 4.493198653198653, -11.407008547008544, -47.81547169811321, -62.116589147286824]","[20.227921025712668, 15.581507897083377, 13.50444340287187, 18.01063112820129, 36.43211861118909, 19.927538711778066]","[12.12414927915177, 11.644400056196687, 10.559776451995774, 18.286708809942812, 27.82196412597529, 10.58072476399767]"
2015-05-16 12:00:00,"[14.3121875, 9.840729166666668, -0.6035234899328825, -13.153076923076926, -52.66309433962264, nan]","[807.3387499999999, 1526.4341666666664, 3137.1266778523486, 5799.573846153847, 10763.443056603774, 16456.139069767443]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.780625, 13.314479166666668, 5.051073825503358, -11.483076923076926, -48.41547169811321, -62.09720930232558]","[13.197709726454567, 7.254322722980878, 10.735963172134854, 20.978194174905283, 47.2129215879515, 21.92866182738145]","[10.28246286504226, 8.552427582476192, 8.262056441422708, 11.21470795363901, 29.75979822561535, 10.380044955696937]"
2015-05-16 15:00:00,"[16.3046875, 10.073333333333338, -0.38114093959731504, -13.090968660968661, -52.07924528301887, nan]","[819.0949999999999, 1537.891041666666, 3149.6520805369128, 5813.9237606837605, 10779.335471698114, 16477.20527131783]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.830625, 13.75041666666667, 4.721208053691275, -11.104159544159545, -48.18452830188679, -61.53906976744186]","[3.1202255999863193, 4.264975917585959, 6.853937677149204, 17.042477191785103, 43.40488185972138, 22.705174006182965]","[11.64839819821147, 10.683812422594247, 4.642525683113357, 9.012864416223598, 28.961502563638344, 8.716157910422687]"
2015-05-16 18:00:00,"[15.865234375, 11.633979057591622, 0.746262626262626, -11.969142857142856, -52.5375, nan]","[809.7223437499999, 1530.472827225131, 3143.7684175084178, 5811.861571428572, 10790.725, 16482.94457364341]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[19.09078125, 13.60282722513089, 4.982424242424242, -10.688571428571429, -48.385, -62.60186046511628]","[6.4586667643652245, 6.26293000014809, 1.5642605743140685, 10.487967946487517, 38.79282293348807, 23.09522822133906]","[12.782868502120682, 8.958287144250214, 6.228806236129967, 8.783218564595238, 35.759397210398305, 8.030488762301703]"
2015-05-16 21:00:00,"[14.160000000000004, 9.137068062827227, 1.6405387205387214, -11.052799999999998, -51.830000000000005, nan]","[804.5399999999996, 1525.1426701570679, 3140.0157239057235, 5811.6408, 10797.625, 16494.310697674417]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.774375, 14.43214659685864, 5.360875420875422, -10.227999999999998, -47.86, -63.30186046511628]","[3.7082731552988797, 1.7639000482907747, 0.47635452149183194, 7.860950885654588, 24.61333202639135, 23.89286773112646]","[15.560807241981246, 13.045637216040936, 10.88682255942801, 11.480629215044193, 36.58021304692768, 5.510451264578319]"
2015-05-17 00:00:00,"[15.398437500000009, 8.075445026178011, 2.6480201342281884, -13.349257142857143, -53.20441509433962, nan]","[799.8049218749996, 1521.867905759162, 3138.8091610738256, 5817.379657142857, 10807.228867924528, 16500.815348837208]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.9759375, 15.160942408376965, 5.142013422818792, -9.246285714285714, -46.69471698113208, -63.60496124031008]","[-4.150124941157709, 4.152592032220903, 6.004518756626166, 10.723859445164727, 33.92730742863019, 20.404832650468105]","[17.296176539657363, 12.526935478418624, 9.144507221936724, 1.7307622832635368, 19.632745132847095, 2.5027922906418167]"
2015-05-17 03:00:00,"[15.889999999999997, 9.184635416666664, 4.444141414141412, -19.341542857142862, -52.78762264150944, nan]","[805.7725000000003, 1529.7881770833337, 3148.629831649832, 5829.881314285714, 10817.545056603774, 16511.54410852713]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[18.314999999999998, 15.728020833333332, 5.121481481481479, -8.550857142857145, -45.890188679245284, -63.18403100775193]","[-2.051084139100735, 2.954892284961976, 10.730279489768566, 7.72221340251901, 31.66085313511314, 11.854548135900673]","[13.646723191093505, 11.045920158451299, 10.228941532397522, -1.9488913032999653, 17.105918569282135, 4.640307841178158]"
2015-05-17 06:00:00,"[15.86328125, 11.818958333333333, 3.6224242424242408, -20.461457142857142, -49.96252830188679, nan]","[802.4184375000001, 1526.0472395833335, 3146.0414814814817, 5830.200257142857, 10813.783660377358, 16504.717751937984]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[19.40328125, 14.958749999999998, 5.829562289562287, -9.173714285714286, -46.09471698113208, -62.72124031007752]","[14.293924875659554, 13.87610297600078, 12.737774950097716, 7.927141562564847, 24.658760943566215, 6.244866514883279]","[18.72910567455711, 17.30015238226017, 12.597688007388447, 6.118921054928289, 22.87121484979033, 9.56590739899818]"
