,DWPC,HGHT,PRES,TMPC,UWND,VWND
2017-01-18 06:00:00,"[-1.0421705426356604, -1.7691428571428562, -16.38023411371237, -43.54692307692308, -70.19547169811321, nan]","[789.466124031008, 1463.794857142857, 3013.320301003344, 5599.417435897436, 10437.171169811321, 16251.824]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.7902325581395356, 0.8271428571428574, -3.864347826086955, -19.172820512820515, -48.21471698113208, -64.08]","[23.279195892073133, 22.09098304155506, 37.323718146018486, 51.87795861795559, 79.88833982719915, 48.5552962410373]","[-8.882784715168382, -13.6897466685678, -19.387178509879746, -27.092768539507567, -16.901122351165345, -7.8138087348686565]"
2017-01-18 09:00:00,"[-1.305, -1.5147619047619056, -14.872575250836118, -48.264375, -66.48169811320754, nan]","[795.165, 1472.2724761904763, 3032.434581939799, 5652.106022727273, 10499.065999999999, 16251.692]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-0.76, 3.0552380952380958, -1.7225418060200663, -15.630454545454546, -51.66150943396226, -64.02]","[20.85221356368473, 18.84557193512042, 23.627147263827975, 33.76066165070776, 52.95115184815814, 48.98716626010054]","[-8.044108993200087, -14.642975681382131, -21.801099574784963, -28.301070897917107, -25.618543055430628, -7.657170874759666]"
2017-01-18 12:00:00,"[-1.0326356589147287, -4.758436018957346, -22.481, -39.949431818181814, -65.77562264150943, nan]","[803.9261240310077, 1486.9631753554502, 3044.563666666667, 5687.7842045454545, 10549.582150943395, 16258.154]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.4593798449612386, 2.9926066350710903, -1.15, -12.749772727272726, -53.343396226415095, -64.34]","[20.519754458705872, 21.907292280001307, 17.11180377951808, 29.866389554682655, 17.778701732393046, 49.66616527068884]","[-7.961356000301117, -9.495604797326333, -16.74054757733595, -18.554253806616554, -17.09072621029282, -8.812910489992596]"
2017-01-18 15:00:00,"[-2.834418604651162, -20.985687203791464, -45.83860000000001, -39.36810198300284, -65.77894736842106, nan]","[811.0765116279069, 1497.5694786729855, 3067.224100000001, 5708.988130311614, 10567.034887218046, 16273.016]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.9818604651162781, 4.923886255924171, 0.053999999999997876, -12.603626062322949, -53.49458646616541, -64.64]","[13.802749075957113, 17.527458676555163, 22.165463483396437, 25.59104925740704, 3.8379394495297277, 47.956939949724145]","[-7.696386338603621, -12.03403971306424, -1.540047329213949, -5.732102147167286, 0.044332734946761564, -10.458057499294643]"
2017-01-18 18:00:00,"[-7.493410852713183, -18.11872037914692, -36.57297658862876, -40.30713068181818, -70.24075187969925, nan]","[813.1772868217056, 1501.1631279620856, 3071.848662207358, 5712.481789772727, 10563.855187969926, 16279.787999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.3462015503875984, 4.251848341232227, 2.253377926421405, -14.182159090909092, -53.041203007518796, -64.54]","[14.963284898408089, 17.232479271753046, 26.200783439105788, 27.36696315424954, 13.656948622905926, 46.050696951318244]","[1.4463378785455472, -3.43703038336226, -5.671501968704927, 3.144933411470874, 14.117471699492647, -9.49808982363555]"
2017-01-18 21:00:00,"[-6.287906976744165, -17.552142857142854, -23.903210702341138, -37.02683760683761, -70.21679245283019, nan]","[802.058372093023, 1492.797142857143, 3068.7379598662214, 5701.779487179488, 10546.5, 16280.416]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.712093023255808, 5.618571428571428, 1.6122408026755837, -14.881367521367522, -52.2566037735849, -64.88000000000001]","[12.578642503254793, 18.393453585696747, 29.106617291506836, 25.738589845654435, 42.369719815654975, 44.30871429670387]","[7.611129485153911, -0.6717019861265796, -3.5549772237339767, 10.90717194825965, 18.15027189124621, -8.346591003102438]"
2017-01-19 00:00:00,"[-4.975193798449606, -16.78790476190476, -12.435183946488294, -51.95625, -71.38917293233082, nan]","[798.795968992248, 1490.8176190476192, 3073.9857190635453, 5701.54875, 10547.463383458648, 16284.042000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[3.8803100775193786, 6.729523809523809, 1.9604013377926424, -14.535000000000002, -51.217894736842105, -64.67999999999999]","[15.863571283754576, 17.91425842750202, 27.627128868690434, 33.44319344394973, 68.32872274298687, 40.33051646306889]","[11.378413871504257, -0.2908317214105944, -3.443220675504197, 12.743133006959381, 19.982176827840824, -4.940532949199837]"
2017-01-19 03:00:00,"[-5.520852713178283, -8.881857142857141, -9.826889632107019, -48.89353276353276, -71.38917293233082, nan]","[798.7917829457361, 1492.6275714285716, 3074.0768561872906, 5693.58, 10547.136165413534, 16286.738]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[5.599689922480618, 6.829523809523809, 0.2155852842809385, -15.046324786324789, -50.84571428571428, -63.48]","[16.52177882198299, 15.7797624964112, 22.206599283843495, 35.16949728190785, 83.52306537101131, 35.621852410235995]","[6.674997921454584, 0.563187673019017, 6.43847265598438, 6.672028490626589, 25.93928797764592, -6.826165165256681]"
2017-01-19 06:00:00,"[-2.6453906250000054, -7.446285714285715, -19.36577181208053, -46.86692307692308, -56.891999999999996, nan]","[797.0166406250002, 1490.9358095238092, 3068.1395302013416, 5687.408461538462, 10539.517056603774, 16287.181999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[6.097812500000001, 6.324761904761905, 0.7507382550335591, -15.91128205128205, -51.018113207547174, -63.260000000000005]","[14.801357336867442, 13.828494773725376, 27.428395211552736, 29.082692786924348, 98.39047541302368, 30.820286837658998]","[6.376194258256749, 4.845508718600095, 2.401065749278036, 14.542371413328025, 35.754414192403864, -2.1616510459423157]"
