,DWPC,HGHT,PRES,TMPC,UWND,VWND
2016-11-29 12:00:00,"[1.6459292035398154, -7.843191489361702, -25.438972602739724, -28.59991253644315, -71.39, nan]","[652.1193805309737, 1347.7831914893618, 2896.47051369863, 5434.99889212828, 10197.038999999999, 16153.62953488372]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.541769911504424, 4.599574468085105, -5.580890410958903, -25.250962099125363, -46.69, -57.56]","[16.334821078168293, 19.619843795191198, 31.44364238523661, 49.44339937637737, 104.66037769051734, 39.19018607444049]","[22.493105983758095, 9.175995618504935, 14.544012273572884, 41.72360601235799, 62.00944397975408, 25.873891932949014]"
2016-11-29 15:00:00,"[0.24495575221240573, -8.694893617021277, -20.701609589041094, -28.97654069767442, -65.59072796934866, nan]","[669.2361061946899, 1365.6921276595747, 2912.9416095890415, 5437.940058139535, 10224.5130651341, 16163.923953488373]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.683362831858403, 4.979361702127657, -6.989794520547947, -25.444302325581393, -45.469961685823755, -58.46]","[11.265595018356816, 13.141936253403774, 24.5537663071598, 52.89424855164584, 106.24438238877522, 41.267685425416225]","[25.271944788846948, 15.287463256974217, 18.39554223036921, 35.98170292994695, 51.8024904392939, 22.115391464518307]"
2016-11-29 18:00:00,"[1.8261946902654824, -9.872127659574467, -12.114897260273972, -32.122354651162794, -62.8308429118774, nan]","[667.2883185840711, 1364.1772340425532, 2915.004931506849, 5441.583604651163, 10250.491379310346, 16169.912480620154]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.986902654867254, 5.593191489361702, -7.123013698630135, -26.17133720930233, -45.822452107279695, -58.19875968992248]","[3.595025315298301, 8.978108350749523, 29.44649112149996, 61.536481328525724, 124.90005370566583, 44.28343332326403]","[23.070874095635734, 25.806915195172415, 28.14604314705315, 30.062523545286545, 56.542912746995206, 20.270335453517344]"
2016-11-29 21:00:00,"[4.275663716814159, 2.1818085106382967, -11.80041095890411, -35.16451895043732, -60.760919540229885, nan]","[663.02592920354, 1358.8330851063831, 2915.8820547945206, 5452.638134110788, 10286.640459770115, 16182.71542635659]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[9.992212389380528, 4.027234042553191, -5.92917808219178, -24.83842565597668, -48.30367816091954, -58.91503875968992]","[5.874495014957713, 14.97390323729786, 35.01119287541255, 69.51234291353788, 135.43098424360855, 46.02155882527999]","[29.777216819259017, 36.32864655412858, 33.94980085728422, 37.067148191407945, 65.46285708727927, 14.705330137010208]"
2016-11-30 00:00:00,"[6.457345132743362, 0.33888888888889057, -17.497713310580206, -30.063953488372093, -58.75843511450382, nan]","[674.3052212389382, 1369.2104761904761, 2922.82433447099, 5471.460697674419, 10321.36328244275, 16199.356899224806]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.833805309734512, 4.199788359788361, -5.544300341296928, -22.464651162790698, -49.496259541984735, -59.29255813953488]","[19.351383844570826, 26.895782083367656, 31.481926521365168, 78.06735035399312, 134.08716736948136, 40.9172958381513]","[28.538557563903574, 15.404184229964732, 25.521301304572248, 50.96690348541744, 68.53484906977762, 12.237650257476119]"
2016-11-30 03:00:00,"[3.8087610619469077, -2.389206349206352, -18.35684931506849, -25.782151162790697, -58.15007633587786, nan]","[676.1327433628315, 1372.9198412698415, 2927.3297945205477, 5485.678779069767, 10345.215534351146, 16206.053720930233]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[10.038230088495578, 4.551111111111108, -5.299041095890408, -20.371337209302325, -49.54320610687023, -59.23131782945737]","[22.085527654412285, 22.419356559221992, 27.190781775758524, 76.33208506746688, 127.24385939112743, 34.54235686884673]","[17.351333419118802, 11.014415172578463, 26.682252469079813, 66.73378411440808, 73.17184814298979, 18.104451492031895]"
2016-11-30 06:00:00,"[4.953097345132745, -2.5910638297872355, -19.639863481228666, -30.585813953488376, -58.8648275862069, nan]","[670.6411504424777, 1365.0197872340427, 2918.148122866894, 5482.983255813954, 10350.654712643678, 16204.111162790698]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.272743362831859, 4.278297872340424, -5.078771331058019, -18.57627906976744, -49.22743295019157, -59.22976744186047]","[14.732000115697968, 14.091114603364774, 26.908174546668416, 69.42067382003896, 120.48142955595205, 32.9872131414935]","[7.993462146719406, 12.628035269192297, 28.715866024937675, 71.93394165671894, 81.98443062622209, 24.24773718104667]"
2016-11-30 09:00:00,"[0.7281415929203544, -2.893333333333334, -17.231369863013697, -39.219387755102034, -59.103793103448275, nan]","[663.7669911504425, 1355.6774603174604, 2905.070616438356, 5465.174489795919, 10332.98195402299, 16200.767131782944]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[6.3683185840707965, 3.7273015873015867, -6.003150684931505, -18.239591836734693, -49.015938697318006, -58.889457364341084]","[10.763179206970163, 12.495394497341433, 27.330600032999858, 68.89384805533267, 118.18552539017368, 35.51193974176252]","[-3.7076962563314786, 13.36689148458787, 23.5107816925943, 74.80911154325611, 91.17750284735496, 22.23470745704809]"
2016-11-30 12:00:00,"[-5.4460176991150435, -6.329468085106381, -16.065753424657537, -47.66872093023255, -60.77065134099617, nan]","[659.5394690265484, 1345.4858510638296, 2887.5104109589042, 5430.589418604651, 10293.791302681993, 16190.538217054263]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[4.690442477876107, 2.093191489361703, -7.239452054794522, -19.136744186046514, -48.03394636015326, -58.64914728682171]","[13.702361171039238, 16.460170788236297, 26.223559315870652, 65.1228525247901, 114.84219383455854, 33.734291282043834]","[-4.451043944798364, 9.245377685149498, 20.003069839203167, 74.66304425383208, 98.41501443540965, 20.826401105684322]"
2016-11-30 15:00:00,"[-4.755221238938056, -9.316382978723405, -18.30184300341297, -49.95906976744186, -64.94545801526718, nan]","[664.0093805309738, 1344.5070744680852, 2878.607337883959, 5400.1864244186045, 10255.321908396947, 16188.796124031007]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.720530973451327, -0.4711702127659583, -8.342593856655293, -22.780348837209303, -46.00770992366412, -57.87162790697674]","[20.198511023664437, 19.495448712036954, 27.992408056841654, 55.68395201948023, 99.13649338851302, 33.85651163638794]","[2.7428596560981835, 9.407214167192759, 23.68192690140869, 60.44655812966657, 104.05692620755813, 20.052992678907007]"
