,DWPC,HGHT,PRES,TMPC,UWND,VWND
2017-01-05 12:00:00,"[-17.611007751937986, -18.074761904761903, -21.650436241610738, -42.19190883190883, nan, nan]","[754.7937984496125, 1391.5011904761905, 2842.8759731543623, 5333.991680911681, 10000.281886792452, 15897.091999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-16.143720930232558, -16.376666666666665, -19.41805369127517, -24.37794871794872, -51.656603773584905, -58.099999999999994]","[7.579640445575887, 18.334265722001568, 38.381352639783785, 85.56159159546506, 110.4465411151859, 57.88049349844591]","[-8.272377660940192, -3.2671664607429878, 7.837151116586133, -0.025654669897333907, -0.8596791012908525, -6.032421435573086]"
2017-01-05 15:00:00,"[-18.295, -19.330190476190474, -22.753846153846155, -28.59897435897436, -70.19547169811321, nan]","[757.2862500000002, 1391.9857142857138, 2839.9507692307698, 5330.778205128206, 10001.531660377359, 15915.884]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-16.34671875, -17.37904761904762, -20.006153846153847, -25.236923076923077, -52.37018867924528, -58.019999999999996]","[5.63655983837704, 14.491981604844824, 38.1487256146962, 82.86992880645482, 113.26511013444414, 54.83468674727407]","[-8.439568694601341, -4.8113981396536945, 4.704351593519699, 13.661499595971945, 3.589144414744046, -2.6358173928262603]"
2017-01-05 18:00:00,"[-18.49201550387597, -20.961380952380953, -23.55046979865772, -29.135612535612537, -71.38584905660377, nan]","[752.6634108527132, 1386.1688095238096, 2830.07744966443, 5311.928205128205, 9995.422075471697, 15911.174]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-15.32434108527132, -18.06285714285714, -20.31302013422819, -26.16911680911681, -50.995849056603774, -58.48]","[6.287928507075389, 15.935896212046893, 36.35842237671598, 78.60965090466948, 104.90369910939475, 55.87929117175068]","[-7.772338699407792, -8.155161060404456, -1.489654459693902, 14.437753031587986, 9.085644990040263, 2.3811169947540707]"
2017-01-05 21:00:00,"[-19.635156249999998, -22.370625, -31.511672240802678, -35.394285714285715, -71.38584905660377, nan]","[750.9592187500002, 1384.7577083333335, 2826.2864214046817, 5289.518571428572, 9990.348490566037, 15910.544418604652]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-14.220937500000002, -19.737083333333334, -20.685083612040135, -27.61714285714286, -49.71849056603773, -57.97472868217054]","[10.362262679120036, 13.93709673263492, 37.013345959759086, 92.49147904514356, 99.2711437584576, 57.349841573176434]","[-6.0234927028898815, -9.464753113814167, -2.6004272322962825, 6.843159847236378, 9.358819558988301, 5.42287843599906]"
2017-01-06 00:00:00,"[-18.864651162790697, -22.56990476190476, -35.162173913043475, -43.74467236467236, -71.3885283018868, nan]","[757.4858139534887, 1390.8694285714282, 2828.714347826087, 5272.795698005698, 9987.468716981131, 15910.472]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-14.355348837209306, -20.184761904761903, -20.973043478260866, -28.859145299145297, -49.37358490566037, -57.519999999999996]","[13.555006417312311, 14.788505954108732, 36.495031653486286, 84.95619740085127, 99.01673705558558, 57.62205965808009]","[-5.859374676986723, -9.35682059490779, -0.8051907207964956, 7.386095109418114, 5.015840749850336, 5.7676980469385235]"
2017-01-06 03:00:00,"[-20.82390625, -23.094285714285718, -35.120000000000005, -53.735498575498575, -71.38917293233082, nan]","[762.5421874999998, 1394.7764285714286, 2828.4841610738254, 5263.6910256410265, 9979.193233082708, 15912.807999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-14.913124999999999, -20.622857142857143, -21.89288590604027, -29.934358974358975, -49.24721804511278, -56.92]","[12.042966121698853, 15.234183486211013, 35.54160276874023, 80.56926040287436, 97.11798197802726, 57.21144957082619]","[-9.4299051496947, -4.7371566386029285, -0.8630777092516609, 2.5927874177211128, 4.809395315951981, 8.028326226855198]"
2017-01-06 06:00:00,"[-23.33139534883721, -25.81649289099526, -33.244046822742476, -53.93360795454545, -71.38947368421053, nan]","[765.3879069767441, 1394.9166824644549, 2826.4526755852844, 5264.795170454546, 9968.972105263158, 15907.715999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-16.87937984496124, -20.605023696682462, -22.13190635451505, -29.650340909090907, -49.42315789473684, -56.88]","[11.281095434155265, 19.215016619133934, 34.78571988084216, 85.69966859756315, 94.67840879117234, 57.919916319372085]","[-10.681685307238984, -4.344322309222309, 1.0038221789912862, 2.750856219712665, 6.293774276555831, 12.019942161131004]"
2017-01-06 09:00:00,"[-23.622325581395348, -28.542037914691946, -34.24548494983278, -51.379659090909094, -71.39154716981132, nan]","[769.2518604651164, 1396.5905687203792, 2828.9282608695653, 5273.268664772727, 9973.357886792453, 15900.19]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-18.38325581395349, -20.39696682464455, -21.847959866220737, -29.08130681818182, -49.62603773584905, -56.86]","[9.74708003648004, 16.169800226914735, 33.089276463626845, 89.63216797183193, 94.77558675265992, 58.79844402140828]","[-10.688346352200831, -7.885065009504518, -3.163269950075795, -1.4213906872189466, 8.77865552387531, 13.851694649439697]"
2017-01-06 12:00:00,"[-24.232093023255814, -28.541753554502368, -39.9755238095238, -52.68881019830029, -70.25917602996255, nan]","[782.6746511627905, 1409.048909952607, 2838.935428571428, 5280.950679886685, 9981.108202247191, 15894.23]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-19.208837209302324, -20.81971563981043, -22.265714285714285, -28.100509915014165, -51.53153558052434, -56.16]","[11.34908750177027, 15.104929903978302, 30.543586566010056, 86.81847023281456, 98.92541337131563, 57.632649084596494]","[-9.072988089772952, -8.638815379421295, -7.586311696938601, -8.567408191513088, 11.440556249367503, 13.417899816728347]"
2017-01-06 15:00:00,"[-24.31346153846154, -28.562369668246447, -42.53183544303797, -55.77203389830509, -71.39030075187969, nan]","[794.4454615384614, 1421.5472985781992, 2862.6028481012654, 5303.3327118644065, 9987.943609022557, 15897.92]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-19.314615384615383, -19.95383886255924, -20.61759493670886, -29.505762711864406, -52.66037593984962, -56.42]","[9.650008365701128, 14.170970296089052, 29.278763057980402, 71.1421775524525, 93.54296017908857, 56.9754012712533]","[-13.276061438878644, -12.545316664751983, -6.591593483572637, -4.794595403799326, 15.215663543506311, 15.028021359436108]"
2017-01-06 18:00:00,"[-23.776046511627907, -27.908113207547167, -40.651898734177216, -55.77687323943662, -70.29928838951311, nan]","[805.4039534883718, 1431.8618867924529, 2873.775316455696, 5317.843943661972, 9988.69861423221, 15890.485999999999]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[-17.666976744186044, -21.54679245283019, -20.34227848101266, -29.494929577464788, -52.82741573033708, -56.36]","[8.938364694197686, 11.799536440142019, 25.259290174447703, 64.29430627266103, 89.27469193719817, 59.187632396719316]","[-6.006121163777383, -9.680865955236506, -9.654282111460407, -2.5433526226155276, 22.87986180353761, 15.961183391930017]"
