,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-09-01 06:00:00,"[15.813488372093024, 14.295619047619047, -12.007023411371257, -28.288461538461544, -56.87, nan]","[832.6634883720927, 1565.1677142857147, 3194.195317725753, 5882.47282051282, 10883.772075471697, 16674.71]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.60511627906977, 17.82380952380952, 8.114916387959864, -8.48136752136752, -45.033584905660376, -63.879999999999995]","[12.856090703773281, 11.849315005402195, 3.0678596708597548, -8.091892243402384, -15.106673494276103, 6.921700174997206]","[15.302992480845537, 2.869486603489011, -1.7134926210836676, -9.532778233797355, -13.999470931212155, 5.861311004156294]"
2015-09-01 09:00:00,"[15.41171875, 13.5, -6.7742617449664495, -22.14598290598291, -55.11905660377358, nan]","[827.7328125, 1559.18, 3188.308489932886, 5871.4289173789175, 10874.316037735849, 16656.158]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.7884375, 17.84, 7.476241610738254, -9.085356125356128, -45.035471698113206, -63.519999999999996]","[17.400289734332162, 10.678240656071036, 8.334393638738353, -5.436747996449901, -9.517830400966385, 9.791204664366722]","[12.248065917678382, 0.19384656569461178, -0.659801431360611, -9.322758803965982, -16.168904122673734, 7.905021645794738]"
2015-09-01 12:00:00,"[15.239609375, 12.377142857142857, -2.5817391304347863, -20.80774928774929, -55.95147169811321, nan]","[833.4084374999998, 1565.8577142857146, 3194.522976588629, 5874.670398860399, 10876.322490566039, 16660.768]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[22.93296875, 17.988571428571426, 6.900535117056855, -9.727521367521366, -45.055849056603776, -63.54]","[17.644808440348537, 8.325430409927563, 11.741004134382989, -8.219172421546952, -7.537490308425683, 11.695338183073021]","[7.599596980739497, -0.06875214033225484, -2.5054497889747362, -4.875523173908391, -21.251448661409498, 5.653243739973914]"
2015-09-01 15:00:00,"[14.991015625, 11.748571428571427, -1.270267558528428, -21.03, -57.08375939849624, nan]","[840.1942187499999, 1573.041428571429, 3200.8202675585285, 5881.795, 10885.73864661654, 16668.256]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.30953125, 18.13714285714285, 6.567090301003345, -9.072500000000002, -44.80511278195488, -63.879999999999995]","[14.833563795621338, 8.748194039791615, 11.154449399800928, 0.5171015683219949, -7.766309681018384, 11.460389867924656]","[3.422872446006766, 1.0295783867192192, -4.303193803873772, -10.582373598018497, -24.436217693176484, 5.241170487130701]"
2015-09-01 18:00:00,"[16.83372093023256, 11.595142857142857, -1.8165217391304296, -22.18917378917379, -60.51396226415094, nan]","[839.8093023255817, 1573.331333333333, 3202.4343478260867, 5886.052564102564, 10896.880452830188, 16671.692]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.705116279069763, 18.705714285714286, 6.761739130434783, -8.7582905982906, -44.15245283018868, -64.12]","[11.73192198344584, 12.610496997713692, 9.576619717424089, 1.0651686726591032, -5.781442064019898, 11.97733576342851]","[5.208845066930855, 1.7156368832297915, -2.622210132458959, -11.199059848884678, -22.886062208590065, 5.927893724595307]"
2015-09-01 21:00:00,"[15.86796875, 14.105, -4.786666666666663, -25.387914285714285, -60.84739622641509, nan]","[828.6141406250001, 1565.2753125, 3196.332727272727, 5884.652428571429, 10903.418226415095, 16670.642790697675]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.911875, 18.83375, 7.697575757575758, -8.490571428571428, -43.789811320754715, -64.11813953488372]","[10.92532094720152, 11.842454800522303, 9.886345349311004, 3.2095242089834524, -1.595599175213991, 13.79519478375625]","[4.412712613664745, 2.7515817217006995, -3.978841383655188, -14.10473130363948, -20.005640209393068, 5.75246127508763]"
2015-09-02 00:00:00,"[15.48765625, 13.684062500000001, -4.6827516778523535, -30.413142857142855, -60.49515151515151, nan]","[831.5729687499996, 1568.163177083333, 3200.4758389261747, 5891.313314285714, 10916.01734848485, 16679.24937984496]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.883750000000003, 18.905625000000004, 7.976912751677851, -7.914285714285714, -43.855075757575754, -64.1584496124031]","[10.878841396517961, 11.661616450557187, 5.757948560369597, 0.38923418478627936, 2.1692823967362425, 15.244944082431]","[8.877606622674053, 4.182616509359806, -9.647148971072301, -14.39090853803922, -19.7132761207298, 3.0413073494924303]"
2015-09-02 03:00:00,"[14.673875968992249, 12.246571428571428, -3.073154362416113, -32.173618233618235, -61.87316981132076, nan]","[842.5314728682167, 1578.6560000000002, 3212.36, 5902.69433048433, 10928.834452830188, 16689.318]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.48806201550388, 19.385714285714286, 7.644697986577181, -7.606153846153845, -43.82830188679245, -64.38]","[14.030481942205194, 9.13803241979067, -1.7358103864330416, -1.150806390309198, -0.3246006161049407, 13.983994430485712]","[11.9748272930463, -0.8886774769960081, -6.9859695294179724, -10.263862690108493, -17.370325836948115, 0.669253142050586]"
2015-09-02 06:00:00,"[13.266250000000001, 12.044285714285714, -2.190604026845631, -23.85794871794872, -57.52490566037736, nan]","[836.7549999999998, 1573.5071428571434, 3207.527181208053, 5895.788717948718, 10929.671320754716, 16672.118]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.640000000000004, 19.522857142857138, 7.0302684563758415, -7.69076923076923, -43.81094339622641, -64.78]","[13.984830327417562, 9.286466475327375, -3.7092044796903574, 6.674411334035363, 13.633194305475772, 12.557268153347348]","[9.191558394164844, -0.41240014679761766, -0.3587191215250382, -4.795492495646016, -0.5176648140328949, -0.6084410611789048]"
