,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-03-16 18:00:00,"[7.47625, -11.65, -7.993322147651006, -17.86524216524217, -52.62132075471698, nan]","[808.61421875, 1521.83, 3138.908724832215, 5811.32378917379, 10771.007547169811, 16406.38]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[11.8884375, 14.64, 6.563825503355703, -10.813276353276356, -47.08641509433962, -65.44]","[24.418453327960307, 19.02662412271667, 24.145558997780785, 40.50317829782483, 51.006047656356756, 28.101822971290385]","[4.983873050735664, 1.5542440261606756, -13.338476262355822, -21.58919457043602, -32.749807490944285, -24.09298241584583]"
2015-03-16 21:00:00,"[7.514999999999999, -12.23167539267015, -10.774511784511784, -23.23991404011461, -56.37068181818182, nan]","[787.8250000000002, 1503.3201570680624, 3117.6485521885525, 5796.150630372492, 10762.047954545455, 16397.660387596898]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.714999999999998, 14.595497382198955, 6.1103703703703705, -10.013295128939825, -46.46113636363636, -65.11813953488372]","[21.540266566105498, 35.74617138370643, 24.05724824958891, 46.490120704429245, 62.27132614271147, 27.743981936137025]","[7.3391982071352855, 5.551327300272645, -7.614467354698548, -19.786231877490152, -19.521658671033485, -29.625683498008165]"
2015-03-17 00:00:00,"[9.76953125, -18.550575916230358, -24.93270270270271, -22.79785100286533, -60.137727272727275, nan]","[777.5807812500002, 1493.4191099476436, 3113.9583783783783, 5789.234813753581, 10759.561060606062, 16413.123178294572]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.2978125, 16.52115183246073, 6.656216216216218, -10.870888252148998, -45.769090909090906, -64.73596899224806]","[26.0827993874882, 29.4211515003204, 33.84120622957324, 46.7623669955387, 67.76018802858867, 29.73147356565068]","[14.278528831245234, 1.388005172406689, -6.9610764487156285, -5.750931062282996, -13.01176439016575, -27.772615401802593]"
2015-03-17 03:00:00,"[10.26, -6.736544502617816, -34.00387205387205, -29.643638968481383, -58.08714828897338, nan]","[774.0693749999998, 1486.9626701570683, 3105.5005387205388, 5776.2467335243555, 10741.793650190113, 16417.912325581394]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.408750000000001, 14.021151832460735, 6.850101010101008, -11.079197707736387, -46.54821292775665, -64.7584496124031]","[32.63733895113342, 31.623593172103526, 31.2479606273196, 50.75215462660899, 68.28192797727273, 30.46391078732211]","[10.618488958007601, -0.31712810188036256, -5.833149414587665, 0.5082180530126086, -21.92732742600195, -29.020687746878593]"
2015-03-17 06:00:00,"[9.843826086956524, 0.42147368421052994, -34.443783783783786, -27.908275862068965, -53.516197718631176, nan]","[763.7575652173911, 1476.393894736842, 3082.968648648649, 5756.7225, 10717.912965779467, 16408.68511627907]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.471304347826088, 11.757894736842106, 6.085945945945944, -10.003965517241381, -47.87444866920151, -64.26]","[38.622721884149996, 29.176346584524218, 29.403860866608422, 61.5771896703735, 82.85015025649534, 28.58464271007787]","[2.6695467239582604, -12.410126348257794, 3.015745524367081, -6.368159121287142, -30.849689836301945, -25.758673989773555]"
2015-03-17 09:00:00,"[8.732982456140348, -0.5209473684210545, -20.052432432432433, -24.007385057471264, -52.714752851711026, nan]","[752.5687719298247, 1466.1663157894739, 3065.451824324324, 5738.616120689655, 10697.051711026617, 16397.022558139535]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[14.503157894736843, 12.381052631578946, 5.84, -9.998505747126437, -48.00904942965779, -64.21968992248063]","[38.58394576832382, 27.410008986022365, 38.378928155565376, 67.97914423895777, 87.62774994730829, 31.377465482707105]","[-8.617463334117046, -16.968375187871317, -0.3367383453421725, -8.63816566392935, -24.839748422115708, -21.88221833103538]"
2015-03-17 12:00:00,"[6.7103125, -2.7658638743455466, -19.49189189189189, -26.55166189111748, -52.751363636363635, nan]","[759.2095312500002, 1460.7645026178009, 3059.929459459459, 5720.577163323783, 10678.295454545454, 16386.252790697672]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[6.92125, 12.602303664921466, 3.2048648648648657, -10.494383954154728, -48.07515151515151, -64.00186046511628]","[-3.639842337204041, 16.49869282689764, 31.346225613830416, 69.13731800394608, 86.11957319470359, 33.83270689063871]","[-22.614104682635812, -12.377222562386429, -14.661112612598783, -11.08276349177421, -22.082863104259502, -23.125822107112032]"
2015-03-17 15:00:00,"[-0.16558139534883726, 2.7997142857142885, -7.878461538461543, -29.804871794871797, -52.58950943396226, nan]","[791.4332558139536, 1479.8227619047616, 3068.1038461538465, 5713.671282051282, 10671.258188679247, 16399.874]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[0.4268217054263562, 6.574285714285712, 2.563076923076921, -11.203589743589745, -48.20754716981132, -63.7]","[-13.977772003747909, 0.9022513917637517, 29.737357971423705, 67.80243992919884, 91.33272480073484, 33.356689755149915]","[-29.000476025642943, -24.364633334757404, -15.269301939113202, -14.668617458207114, -23.53715864996013, -22.546837751194218]"
2015-03-17 18:00:00,"[-4.228139534883721, -11.798333333333332, -18.332, -28.67897727272727, -52.0151320754717, nan]","[811.8558914728682, 1494.054523809524, 3066.2936666666665, 5701.498465909091, 10663.290490566038, 16399.399999999998]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[1.6663565891472876, 4.163809523809523, 2.0633333333333335, -12.276477272727274, -47.0433962264151, -64.2]","[-9.931453694223844, -20.04667985516996, 35.516606559931354, 65.49133815168001, 97.7609794179669, 35.068077904449915]","[-26.36132574373598, -15.934019399803129, -14.66113292273665, -19.124855220462994, -13.411857817480795, -20.735899114517125]"
2015-03-17 21:00:00,"[-9.113875968992248, -31.9981990521327, -24.78351170568562, -23.597613636363636, -50.97075187969925, nan]","[819.2122480620156, 1499.4390995260667, 3059.4938795986623, 5685.564005681818, 10646.857744360901, 16387.472]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[2.519844961240309, 3.254691943127962, -0.8516387959866221, -13.54125, -46.591578947368426, -64.1]","[-6.409716901761617, -20.923449383754054, 28.388679961765316, 64.64389584651396, 100.41227628639668, 35.37128495417511]","[-22.774666891402497, -14.236088943869737, -21.788008051066356, -20.30657978573666, -4.893148433941864, -22.284834230717223]"
