,DWPC,HGHT,PRES,TMPC,UWND,VWND
2019-07-19 12:00:00,"[20.15591304347826, 12.710680628272243, -3.0372972972972963, -25.751776504297993, -56.60284090909091, nan]","[787.5355652173909, 1528.1990575916234, 3191.1870945945943, 5916.2699999999995, 10996.586136363636, 16734.642635658915]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[24.94347826086957, 21.98502617801047, 13.313986486486488, -5.7144412607449855, -41.12704545454545, -66.74217054263565]","[31.87267489386163, 20.92445065185205, 18.425458382585482, 12.9850062718087, 23.424558094573435, 8.33415161029611]","[-1.4861580854686873, 2.0319524605213495, 2.454898414417794, -1.0226608943371418, -0.19150660845573236, 2.3088727900427264]"
2019-07-19 15:00:00,"[21.17543859649123, 17.060523560209422, -2.151249999999999, -20.676131805157596, -54.80522727272727, nan]","[786.8707017543857, 1526.8938219895292, 3187.09777027027, 5915.794068767908, 10998.65, 16732.168139534886]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[21.94701754385965, 21.000209424083767, 12.913986486486488, -4.453409742120344, -41.70090909090909, -67.13906976744187]","[17.86313565685971, 16.209826231304145, 18.43116079401303, 11.627227601328377, 15.644281575493643, 6.407816546874194]","[7.203690294337711, 1.917793360012337, 8.000648180030318, -7.257649892779, -4.461255325538471, -1.686833357478945]"
2019-07-19 18:00:00,"[23.05614173228346, 16.3130890052356, -6.146824324324325, -16.414441260744987, -47.16806818181818, nan]","[793.4246456692915, 1533.397277486911, 3194.3862500000005, 5931.212664756447, 11016.8525, 16745.28976744186]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[23.433700787401573, 21.175078534031414, 13.938310810810808, -3.645673352435532, -41.674772727272725, -68.42124031007752]","[13.213779515973973, 14.924771761918215, 16.5117630395132, -5.532188528761388, 11.085454488360687, 7.628822566609703]","[12.238995171874633, 8.839744307705026, 1.7023888440202246, -3.0279253909282997, 0.07099408743562632, 4.898681128572975]"
2019-07-19 21:00:00,"[23.13859649122807, 15.196315789473685, -2.397432432432435, -18.770948275862068, -48.376060606060605, nan]","[785.9242105263158, 1526.3784210526314, 3191.0176351351347, 5930.418304597701, 11015.640075757576, 16739.96]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[25.127719298245612, 21.534736842105264, 14.273783783783788, -3.1071264367816083, -41.70166666666666, -68.2615503875969]","[12.006299226418035, 18.28387394329002, 13.79393300266817, 1.951408691754487, 12.535282522169318, 3.743378962387898]","[15.305347243103443, 11.233270929989411, -0.8876849758447464, 1.8795005641530518, 0.5050958735354051, 5.1487585195354075]"
2019-07-20 00:00:00,"[22.46608695652174, 15.093684210526316, 2.131554054054053, -16.672040229885056, -49.373030303030305, nan]","[785.7065217391305, 1527.8078947368422, 3195.9438513513505, 5936.2504597701145, 11018.805606060605, 16755.43581395349]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[24.918260869565216, 22.25578947368421, 13.686959459459462, -3.907126436781608, -41.58121212121212, -66.7646511627907]","[14.63062862843665, 20.55058868057267, 5.236829981976378, 3.2364536054566844, 11.604668942661851, 6.460157607836665]","[18.479991931220635, 8.441645456432791, -3.6494956202271864, -2.76182968647812, -0.12835708537670565, 2.6581561569701586]"
2019-07-20 03:00:00,"[19.793947368421048, 13.528105263157892, 1.9416891891891899, -17.34402298850575, -58.15238636363636, nan]","[789.904473684211, 1533.285263157895, 3200.6645270270265, 5941.339655172414, 11023.851136363635, 16761.94875968992]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[26.345263157894735, 22.594736842105263, 13.568378378378382, -4.076091954022988, -41.20545454545454, -67.48093023255814]","[18.231225393260406, 24.51829813372347, 2.0898119268812887, -0.3677324559301713, 17.321389961153532, 3.032984828305087]","[17.181502507533192, 3.602736702911505, 1.6632129816574392, 2.9604669915556134, 1.264715803510649, 5.13082597428306]"
2019-07-20 06:00:00,"[19.182894736842105, 15.34273684210526, -1.0078378378378372, -17.73, -58.59670454545454, nan]","[789.2202631578951, 1533.386210526316, 3199.651756756756, 5935.807126436782, 11011.295568181818, 16741.161705426355]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[27.85315789473684, 21.99473684210526, 13.726486486486492, -4.837011494252872, -41.18386363636363, -68.08093023255813]","[20.980993808921138, 20.35550958638035, 2.7255384862476375, 0.6600885495564495, 18.314731588761028, 9.446188901667947]","[10.336380304186894, 4.611642792551324, 5.661473642600115, 1.0921052064094716, -1.362480656290936, 7.077042679502486]"
2019-07-20 09:00:00,"[18.959999999999997, 15.835759162303665, -4.944848484848482, -17.219770114942527, -59.34681818181818, nan]","[787.5242105263162, 1529.7842408376964, 3191.5, 5924.875057471264, 10997.17284090909, 16723.806201550386]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[26.45315789473684, 21.422722513089006, 13.549090909090905, -4.995632183908045, -41.73159090909091, -67.81968992248062]","[25.277582978480744, 20.129282681416523, 5.795252158005724, 1.8620696119804492, 17.486226371711833, 14.502449082182073]","[5.478576250015986, -0.2138731733615215, 6.066889847782795, 7.7549815337401045, 2.190070543242319, 4.109056874331892]"
2019-07-20 12:00:00,"[19.078984375, 16.218900523560208, -4.134594594594593, -19.68338108882521, -58.84261363636364, nan]","[792.9967968749996, 1534.8049738219897, 3193.6017567567574, 5928.887048710601, 10995.913636363637, 16725.085968992247]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[26.523593750000003, 21.025863874345546, 13.610270270270268, -3.9359312320916877, -41.56227272727273, -67.82434108527131]","[15.150184946120742, 14.023817849208179, 6.438273376870481, 5.4894219010989795, 20.32579189036974, 14.26262535299244]","[3.879712873041343, 4.193871242870132, 10.79269200592517, 7.3952208626670775, 3.940935853746747, 2.2263903728001644]"
2019-07-20 15:00:00,"[16.887007874015747, 16.189842931937175, -10.25020202020202, -21.669828080229223, -60.45969696969697, nan]","[796.7488188976379, 1537.572408376963, 3194.3792929292927, 5925.257535816619, 10990.571515151514, 16714.55984496124]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[26.116377952755904, 20.81120418848168, 13.219797979797983, -4.24538681948424, -41.34939393939394, -67.04682170542635]","[16.301486321707156, 12.503374175917493, 12.20572008999712, 2.5395025655893892, 22.441433250586613, 9.699625408940642]","[2.71232128784197, 9.235912459866704, 11.15174820759324, 10.079244326474493, 3.281972944692743, -3.0620462496684717]"
