,Avg 250hPa DWPDEP(C),Min 250hPa DWPDEP(C),Max 250hPa DWPDEP(C),Avg 500hPa DWPDEP(C),Min 500hPa DWPDEP(C),Max 500hPa DWPDEP(C),Avg 700hPa DWPDEP(C),Min 700hPa DWPDEP(C),Max 700hPa DWPDEP(C),Avg 850hPa DWPDEP(C),Min 850hPa DWPDEP(C),Max 850hPa DWPDEP(C),Avg 925hPa DWPDEP(C),Min 925hPa DWPDEP(C),Max 925hPa DWPDEP(C),Avg 250hPa HGT(m),Min 250hPa HGT(m),Max 250hPa HGT(m),Avg 500hPa HGT(m),Min 500hPa HGT(m),Max 500hPa HGT(m),Avg 700hPa HGT(m),Min 700hPa HGT(m),Max 700hPa HGT(m),Avg 850hPa HGT(m),Min 850hPa HGT(m),Max 850hPa HGT(m),Avg 925hPa HGT(m),Min 925hPa HGT(m),Max 925hPa HGT(m),Avg 250hPa TMPC,Min 250hPa TMPC,Max 250hPa TMPC,Avg 500hPa TMPC,Min 500hPa TMPC,Max 500hPa TMPC,Avg 700hPa TMPC,Min 700hPa TMPC,Max 700hPa TMPC,Avg 850hPa TMPC,Min 850hPa TMPC,Max 850hPa TMPC,Avg 925hPa TMPC,Min 925hPa TMPC,Max 925hPa TMPC,Avg 250hPa WSPD(m/s),Min 250hPa WSPD(m/s),Max 250hPa WSPD(m/s),Avg 500hPa WSPD(m/s),Min 500hPa WSPD(m/s),Max 500hPa WSPD(m/s),Avg 700hPa WSPD(m/s),Min 700hPa WSPD(m/s),Max 700hPa WSPD(m/s),Avg 850hPa WSPD(m/s),Min 850hPa WSPD(m/s),Max 850hPa WSPD(m/s),Avg 925hPa WSPD(m/s),Min 925hPa WSPD(m/s),Max 925hPa WSPD(m/s)
2010-01-01 12:00:00,12.923575257296546,8.588507462686572,19.091348314606755,22.13232338977686,12.601769662921345,34.399044943820215,25.7935591245671,17.745552050473194,31.93088050314465,15.53937485851517,5.62859154929577,22.891971830985916,7.0573248722860775,1.6358333333333341,10.573379310344823,10084.972388882677,10036.347191011235,10111.95656716418,5400.731225589492,5334.62882022472,5437.889154929578,2922.779265310486,2904.4633123028398,2934.9096855345906,1458.5184839716142,1451.7584905660376,1463.5210798122066,820.9933594082588,814.5235416666663,826.2597241379308,-55.432122999236036,-57.88985074626866,-52.29707865168539,-27.23952462590776,-31.397078651685394,-25.65494382022472,-16.52139581638659,-21.191230283911672,-13.279496855345911,-15.197569758171673,-16.52291079812207,-14.439245283018868,-17.394297573435505,-19.58413793103448,-15.991249999999997,103.87093660908937,73.88742537313433,129.44850187265916,71.36403247700939,59.20280898876405,81.09845070422537,42.152777854933674,34.42451104100947,49.29566037735849,23.064627956417752,13.817924528301885,28.554694835680753,19.953516709237974,8.720833333333331,28.28868055555555
2010-01-02 12:00:00,13.530214563884705,6.664477611940299,17.534382022471917,10.528837729246893,7.183483146067413,19.114591549295778,28.46595167946353,16.83567823343849,40.826163522012585,19.689314672099684,14.709905660377359,23.341408450704215,10.718794834763926,7.731379310344828,15.221111111111108,10056.572290156582,10038.357228464418,10102.46880597015,5427.586215997609,5396.740788732394,5455.344943820225,2945.4272132941824,2940.1117350157733,2955.17893081761,1467.6878873977619,1462.3463207547168,1472.6540375586856,824.9409137646401,814.4941860465112,830.631724137931,-55.58677592064645,-57.485373134328356,-53.85138576779026,-28.574813877019924,-30.925915492957746,-26.483314606741573,-14.83664777449314,-16.238864353312305,-13.762830188679244,-13.166833594157538,-14.410704225352115,-11.29443396226415,-14.215545469620917,-15.187083333333332,-12.670852713178297,46.678705504934754,28.958127340823975,81.20283582089553,44.3870126778147,37.78112676056338,53.195702247191,25.43891138534523,17.64687697160884,35.820786163522015,14.31185012942786,9.187169811320755,25.595962441314555,10.2211421757898,4.890000000000001,14.984583333333337
2010-01-03 12:00:00,12.685044387012406,7.575393258426963,16.395168539325844,10.415983749701537,3.0238983050847494,23.405746478873233,7.769616540819631,2.909177215189871,12.858107255520505,11.441478808167496,6.692511848341235,17.65207547169811,5.300082531408716,2.6213953488372077,8.373692307692314,10010.796815368634,9998.99393258427,10029.457078651685,5392.037634254811,5385.365609065157,5400.031323943662,2932.0409466992965,2922.815569620254,2946.7647949526818,1455.1731506991316,1443.0418009478672,1471.144150943396,807.912482431054,795.5876744186045,821.973958333333,-55.35104256719463,-58.22516853932584,-53.93865168539326,-30.846264735152413,-32.21577464788732,-29.338813559322034,-16.387848646360005,-17.033817034700313,-15.205714285714285,-11.406307426163986,-11.718767772511848,-11.16,-13.311795040290427,-14.453023255813953,-11.65375,18.001951865007328,11.908539325842696,29.29313432835821,25.397043140125554,16.633220338983055,35.14019718309859,23.771383826802026,19.23586750788644,25.63879746835443,19.625229503959147,16.236037735849056,22.569056603773586,19.68155773571672,15.286249999999999,22.735307692307693
2010-01-04 12:00:00,8.908691641713526,5.890000000000001,10.983233082706775,11.261288071573757,3.5465819209039537,20.29175637393768,10.463399705311097,3.9580063291139282,17.757111111111108,10.031623545659583,3.034028436018957,24.929241706161136,3.4661684887033704,2.0741860465116257,7.706976744186052,10037.582052869378,10009.157303370786,10061.734661654134,5414.556603278507,5402.594322033898,5422.656175637394,2935.2115073895475,2926.520126582278,2939.746424050633,1447.6122719256412,1441.8566037735845,1451.2821327014221,796.8769198966407,792.9874418604651,801.6179069767444,-57.07544294569132,-57.584719101123596,-56.24202247191011,-29.37949961677239,-29.945552407932013,-28.913541076487252,-14.486496885674102,-15.817594936708858,-13.645443037974683,-9.7699369578825,-10.76,-8.604549763033177,-12.232994765785465,-12.781705426356593,-10.71581395348837,30.328236383718345,9.865168539325843,48.42037593984962,23.70233346492889,21.65960451977401,28.346543909348444,24.396784698502,19.934000000000005,27.89428571428571,19.975508758333582,18.732499999999998,21.650754716981133,17.5017398794143,14.371860465116281,20.754108527131784
2010-01-05 12:00:00,7.681385182445904,5.480338345864666,11.759924812030071,10.312994870416,2.9206552706552706,22.314406779661006,13.015104186561922,1.0892976588628756,21.850793650793655,14.460428506373283,1.1357142857142843,25.41371428571428,5.437611568690783,1.7899999999999991,8.340387596899221,10090.764165832337,10036.063320754716,10118.446616541354,5440.982389287985,5406.812073863636,5457.380509915014,2935.3568787033882,2904.276241610738,2947.8738095238095,1440.3257206247008,1418.392380952381,1452.039194312796,785.3634497469855,767.7802325581396,795.5511627906981,-58.67054070587393,-60.30511278195489,-57.16,-26.07858484804124,-28.37246458923513,-25.0971104815864,-12.989751024300194,-14.089530201342281,-11.655317725752509,-8.331401702413954,-10.56952380952381,-6.668571428571428,-9.945002153316107,-10.843720930232555,-9.252248062015505,71.89642794027208,46.99992481203007,84.59596226415094,35.07370301615203,23.206175637393773,44.82373219373219,20.20502389976381,16.191438127090304,25.625083612040132,12.570185725025748,5.498428571428574,15.381367924528302,9.269647125322997,4.2374418604651165,14.102945736434108
2010-01-06 12:00:00,17.571094768439103,8.298075471698112,23.848068181818178,8.892030780011554,3.0162678062678054,23.42243553008597,1.8718266817859923,1.0725083612040134,2.743758389261746,0.9972635558322742,0.8056398104265394,1.3094736842105252,0.8405560308322647,0.6079687499999995,1.3397674418604648,9963.125902055144,9904.275606060606,10080.454452830189,5302.6108093769735,5220.903896848138,5427.147948717949,2853.2331842231015,2812.6482770270272,2915.408963210702,1389.189745631457,1365.4005263157894,1426.185592417062,741.2438042287016,722.0544094488191,775.4319379844962,-50.73124197954387,-57.46566037735849,-47.35090909090909,-32.02219377858219,-36.492,-25.68108262108262,-18.218272182948365,-22.36808080808081,-12.363678929765888,-13.011713462191162,-15.59157894736842,-10.968056872037916,-10.133312433874544,-11.067086614173231,-8.731093749999998,72.11114324058192,51.25316981132077,98.56132075471699,37.53638436271005,22.46971346704871,57.90510028653296,24.579315110626105,13.64966216216216,33.104040404040404,17.91120587489594,6.092198952879579,32.143125,19.157521702713513,9.827596899224808,34.85765625
2010-01-07 12:00:00,17.797912487214404,14.766541353383467,23.08064393939393,6.319934426215042,4.9585393258427,8.255382436260625,5.3988572410205915,2.7410738255033564,8.22701257861635,5.1505010523327535,1.012952380952381,12.678490566037736,1.1130257762980635,0.4924999999999997,3.3000000000000043,9945.034800262489,9925.359166666667,9959.683258426965,5337.912066180117,5248.047679083094,5379.185084269663,2905.4240837548587,2831.400774410774,2943.7549685534595,1441.155593229706,1382.915654450262,1474.3049056603772,792.828784416824,737.1753906249999,828.9350000000003,-50.48926266218967,-51.89895131086142,-47.055454545454545,-33.785691744403,-35.88521489971347,-32.55661016949153,-19.245128349432324,-21.998926174496646,-17.94170347003155,-12.57116500411962,-14.63434554973822,-11.181875,-11.31016471487886,-14.632222222222222,-7.022499999999998,43.69648168626455,27.562052238805972,60.485,15.915057863627323,1.6943820224719155,27.868857142857145,26.807643334781332,16.163930817610062,32.090805369127516,20.749171045841276,12.218962264150944,30.33704761904762,23.177941970201417,12.210833333333328,31.871250000000003
2010-01-08 12:00:00,14.873893728384104,10.25813432835821,20.68626865671643,14.288254663103835,7.389213483146072,20.96783707865168,15.966626602160602,8.285471698113206,23.004733542319748,13.170099349139896,8.898396226415093,21.836995305164322,4.404371415700065,0.8803448275862067,12.232689655172408,10028.01738958553,9970.870298507461,10138.534701492537,5423.1819669681445,5386.480674157303,5490.965842696629,2968.647719673027,2950.3308201892746,2994.9952664576804,1495.982325970557,1483.2196244131455,1510.2913084112154,850.1482073280965,837.1852777777779,862.2255479452056,-53.13621927537036,-58.50738805970149,-50.24059701492537,-31.296063319773232,-32.906067415730334,-27.70943820224719,-16.61115892931879,-18.198485804416407,-13.393228840125392,-12.849377783646439,-14.06,-10.848262910798121,-12.363120797541361,-13.808275862068966,-11.79013698630137,30.775455976005972,13.221716417910448,56.95944029850746,17.212279080962976,4.864494382022474,34.59584269662922,17.43741021953787,13.536666666666665,23.11566037735849,9.124869546964314,7.227183098591547,11.338411214953275,7.925422097424143,5.905172413793101,9.556896551724137
2010-01-09 12:00:00,6.439606612797358,3.7515671641791,9.455204460966534,8.401326993871471,2.8269577464788753,15.911331444759202,26.247182106572083,7.170233333333335,33.77700315457414,18.124821459185874,10.53668246445498,27.661367924528303,10.087583808602695,1.781627906976743,15.41328767123288,10223.620024492377,10128.586988847583,10291.214382022472,5536.621825176432,5484.131011235955,5570.56704225352,3011.8790804978457,2989.2419666666665,3027.142767295598,1502.7994904159452,1455.6147867298582,1520.3068691588785,844.4568006677292,795.1430232558138,870.5315172413797,-59.05559416929566,-60.08857142857143,-57.025055762081784,-24.43416104101975,-28.636685393258425,-21.670198300283285,-9.769486237490577,-14.679749216300937,-5.691861198738168,-6.7183686876936015,-11.122616822429906,-3.849573459715637,-8.678744263600631,-10.699310344827586,-6.192307692307687,53.8655699807009,48.44798507462687,62.89981412639405,36.72478344348116,32.83907042253521,49.420508474576266,25.043271416021884,19.046125,38.163466666666665,21.73832954770176,9.362803738317757,36.491090047393364,21.972729265672967,2.9815862068965493,40.101937984496125
2010-01-10 12:00:00,12.184540407907438,3.77109022556391,17.848458646616535,7.920900343520194,2.917386363636364,21.701070422535214,7.029485324177134,0.6400000000000006,11.106340694006303,1.8455370420048947,0.4631428571428575,4.110379146919431,0.7053326358259827,0.3800000000000008,1.6785271317829427,10152.342134745886,10097.231503759398,10226.697406015037,5493.494622008048,5465.18875,5539.392209631728,2972.1037296413906,2957.912466666666,2993.934321766561,1459.571044456178,1440.4527142857148,1493.386603773585,803.1377634860704,780.4634375000002,838.3791034482763,-55.06062728328345,-59.20323308270677,-52.226917293233086,-26.33384134974642,-28.356875,-22.660849858356944,-9.193998145471467,-11.085867507886437,-5.887759197324412,-7.760144287885948,-10.695377358490566,-5.061895734597158,-8.526746534274851,-9.955348837209304,-6.956874999999999,55.38436654650738,35.75090225563909,81.91573033707864,36.49235972122521,28.220339943342776,49.35377840909091,33.34860761583672,27.994511041009464,39.76,23.513762326083572,15.008349056603773,36.15805687203791,23.79835401491357,17.156666666666666,35.076511627906974
