Timestamp,tmpc,dwpc,mslp,wdir,wspd,skct,pr1h
2010-01-01,-7.590909090909091,-11.154545454545454,1022.1909090909089,288.1818181818182,7.036363636363637,2.090909090909091,0.0
2010-01-02,-13.008333333333333,-16.616666666666667,1029.875,290.8333333333333,6.066666666666667,3.5833333333333335,0.0
2010-01-03,-17.091666666666665,-20.558333333333334,1032.7166666666667,306.6666666666667,4.108333333333334,0.0,0.0
2010-01-04,-14.549999999999999,-18.458333333333336,1031.466666666667,304.1666666666667,3.933333333333334,0.16666666666666666,0.0
2010-01-05,-12.908333333333333,-16.408333333333335,1027.2499999999998,288.3333333333333,7.341666666666668,3.9166666666666665,0.0
2010-01-06,-14.308333333333332,-17.400000000000002,1026.3500000000001,276.6666666666667,4.425000000000001,3.0,-0.008333333333333333
2010-01-07,-9.550000000000002,-13.125,1024.0333333333333,148.33333333333334,1.5416666666666667,3.5,0.11666666666666665
2010-01-08,-11.149999999999999,-13.650000000000004,1016.5909090909092,262.5,8.883333333333333,8.0,-0.09999999999999999
2010-01-09,-9.999999999999998,-13.141666666666666,1029.3666666666666,294.1666666666667,7.366666666666668,7.083333333333333,-0.016666666666666666
2010-01-10,-16.8,-20.0,1035.4083333333333,290.0,4.1000000000000005,0.6666666666666666,0.0
2010-01-11,-11.075000000000001,-15.041666666666666,1029.6083333333333,194.16666666666666,5.908333333333334,0.5833333333333334,0.0
2010-01-12,-7.1916666666666655,-10.841666666666667,1026.4333333333332,311.6666666666667,5.733333333333334,5.5,-0.03333333333333333
2010-01-13,-5.816666666666666,-8.391666666666667,1031.3500000000001,236.66666666666666,2.6666666666666674,6.583333333333333,0.0
2010-01-14,-0.6000000000000001,-4.533333333333333,1021.775,184.16666666666666,6.658333333333335,0.0,0.0
2010-01-15,2.3166666666666664,-0.7749999999999998,1020.1583333333334,199.16666666666666,4.358333333333334,6.083333333333333,0.0
2010-01-16,-0.3833333333333333,-1.6416666666666664,1026.0,225.83333333333334,1.666666666666667,8.083333333333334,0.0
2010-01-17,0.09999999999999999,-0.6749999999999998,1020.1166666666667,100.83333333333333,1.1583333333333332,8.666666666666666,0.0
2010-01-18,-1.1666666666666665,-2.458333333333334,1012.3666666666667,299.1666666666667,4.658333333333334,7.916666666666667,0.0
2010-01-19,0.49999999999999994,-0.49999999999999994,1015.625,200.83333333333334,2.108333333333334,8.5,0.0
2010-01-20,-2.0500000000000003,-3.65,1015.7416666666667,56.666666666666664,4.291666666666667,8.0,0.0
2010-01-21,-0.049999999999999996,-1.4333333333333333,1009.8416666666667,87.5,7.925000000000002,8.0,0.01666666666666668
2010-01-22,0.7999999999999998,-0.3333333333333333,1004.3454545454545,53.333333333333336,7.374999999999999,8.0,0.5
2010-01-23,1.3916666666666666,0.09999999999999999,1014.3749999999999,84.16666666666667,3.508333333333334,8.416666666666666,0.0
2010-01-24,6.033333333333334,4.908333333333333,1003.6083333333332,135.0,6.3083333333333345,5.5,0.0
2010-01-25,3.100000000000001,0.9250000000000003,995.8083333333333,265.0,6.441666666666667,8.0,0.0
2010-01-26,-2.841666666666667,-5.825,1000.688888888889,260.8333333333333,10.25,8.0,-0.09999999999999999
2010-01-27,-8.433333333333332,-12.358333333333334,1020.1750000000001,260.0,6.05,4.833333333333333,-0.049999999999999996
2010-01-28,-1.9727272727272727,-4.836363636363635,1023.1636363636363,222.72727272727272,4.3909090909090915,7.0,0.10909090909090911
2010-01-29,-11.758333333333335,-17.275000000000002,1033.7583333333334,278.3333333333333,4.116666666666667,0.0,0.0
2010-01-30,-8.450000000000001,-13.458333333333336,1028.3166666666666,61.666666666666664,6.1833333333333345,0.16666666666666666,0.0
2010-01-31,-7.366666666666667,-12.641666666666667,1023.3499999999999,19.166666666666668,2.5750000000000006,0.16666666666666666,0.0
2010-02-01,-5.466666666666666,-10.933333333333332,1026.5916666666665,222.5,2.7916666666666674,0.0,0.0
2010-02-02,-0.23333333333333336,-5.124999999999999,1022.6750000000001,120.83333333333333,2.975000000000001,4.166666666666667,0.0
2010-02-03,-0.3083333333333333,-3.525,1018.6916666666666,281.6666666666667,5.1000000000000005,7.333333333333333,0.0
2010-02-04,-3.941666666666667,-6.983333333333333,1028.4333333333332,85.83333333333333,1.5916666666666668,5.5,0.0
2010-02-05,0.7999999999999999,-2.733333333333334,1023.4916666666667,73.33333333333333,4.3083333333333345,2.4166666666666665,0.0
2010-02-06,-0.09999999999999999,-2.0333333333333337,1007.9916666666664,34.166666666666664,10.725,8.0,0.09166666666666662
2010-02-07,-3.8916666666666675,-8.475,1020.4083333333334,74.16666666666667,5.966666666666666,2.25,0.0
2010-02-08,-6.191666666666667,-10.225,1021.8166666666667,80.0,2.016666666666667,0.9090909090909091,0.0
2010-02-09,-4.1499999999999995,-7.316666666666667,1019.2750000000001,80.0,4.650000000000001,6.833333333333333,0.03333333333333333
2010-02-10,-10.758333333333335,-13.508333333333335,1010.7083333333331,268.3333333333333,10.049999999999999,8.083333333333334,-0.09999999999999999
2010-02-11,-8.191666666666666,-11.333333333333334,1021.375,292.5,4.983333333333334,3.1666666666666665,0.0
2010-02-12,-9.575000000000001,-12.549999999999999,1020.9250000000001,249.16666666666666,2.3666666666666667,0.16666666666666666,0.0
2010-02-13,-5.883333333333334,-8.825000000000001,1016.9333333333334,219.0909090909091,1.6818181818181819,5.416666666666667,0.0
2010-02-14,-7.033333333333332,-10.049999999999999,1016.225,242.5,3.133333333333334,0.0,0.0
2010-02-15,-3.375,-6.050000000000001,1011.975,254.16666666666666,2.441666666666667,6.666666666666667,0.041666666666666664
