,6,9,4
Date,TMPC,WSPD,PRCP
2010-01-07 15:00:00,-6.36,2.823118842698621,1.92
2010-01-07 18:00:00,-7.16,7.416872656315464,0.58
2010-01-07 21:00:00,-8.76,7.1,0.32
2010-01-08 00:00:00,-9.16,4.850773134253961,0.23
2010-01-08 03:00:00,-8.46,4.019950248448357,0.26
2010-01-08 06:00:00,-8.26,4.318564576337837,0.11
2010-01-08 09:00:00,-7.96,5.664803615307419,0.25
2010-01-08 12:00:00,-3.46,7.689603370785777,0.63
2010-01-08 15:00:00,-5.56,8.645229898620395,0.18
2010-01-08 18:00:00,-6.36,8.149233092751732,0.1
2010-01-08 21:00:00,-7.16,6.767569726275452,0.08
2010-01-09 00:00:00,-9.16,5.635601121442147,0.07
2010-01-09 03:00:00,-10.96,4.341658669218482,0.02
2010-01-09 06:00:00,-13.66,4.201190307520002,0.01
2010-01-08 12:00:00,-6.56,6.060528029800704,0.0
2010-01-08 15:00:00,-5.16,7.443117626371357,0.16
2010-01-08 18:00:00,-4.76,7.433034373659253,0.26
2010-01-08 21:00:00,-5.16,6.4070273918565395,0.05
2010-01-09 00:00:00,-7.16,5.456189146281496,0.04
2010-01-09 03:00:00,-8.66,4.964876634922564,0.03
2010-01-09 06:00:00,-9.86,4.441846462902562,0.03
2010-01-09 09:00:00,-11.16,4.382921400162226,0.02
2010-01-09 12:00:00,-12.36,4.161730409336962,0.01
2010-01-09 15:00:00,-12.36,4.243819034784589,0.0
2010-01-09 18:00:00,-9.06,3.623534186398688,0.0
2010-01-09 21:00:00,-8.56,4.393176527297759,0.0
2010-01-10 00:00:00,-11.86,3.7536648758246915,0.0
2010-01-10 03:00:00,-13.26,3.3241540277189316,0.0
2010-01-10 06:00:00,-13.96,3.176476034853718,0.0
2010-01-09 12:00:00,-14.86,3.397057550292605,0.0
2010-01-09 15:00:00,-13.36,4.172529209005013,0.0
2010-01-09 18:00:00,-10.06,3.7013511046643495,0.0
2010-01-09 21:00:00,-9.36,3.6124783736376886,0.0
2010-01-10 00:00:00,-12.76,3.9408120990476063,0.0
2010-01-10 03:00:00,-14.56,3.052867504494749,0.0
2010-01-10 06:00:00,-15.26,2.7658633371878665,0.0
2010-01-10 09:00:00,-15.16,2.9529646120466806,0.0
2010-01-10 12:00:00,-14.96,3.301514803843836,0.0
2010-01-10 15:00:00,-12.56,3.6055512754639887,0.0
2010-01-10 18:00:00,-8.36,4.742362280551752,0.0
2010-01-10 21:00:00,-7.26,6.010823570859487,0.0
2010-01-11 00:00:00,-9.56,6.586349520030046,0.0
2010-01-11 03:00:00,-9.16,6.8249542123006215,0.0
2010-01-11 06:00:00,-7.26,7.424957912338629,0.0
2010-01-10 12:00:00,-16.06,2.549509756796392,0.0
2010-01-10 15:00:00,-13.76,3.8483762809787714,0.0
2010-01-10 18:00:00,-9.36,4.891829923454004,0.0
2010-01-10 21:00:00,-8.26,5.60357029044876,0.0
2010-01-11 00:00:00,-10.26,6.802940540677979,0.0
2010-01-11 03:00:00,-9.56,7.156116265125937,0.0
2010-01-11 06:00:00,-7.86,6.931089380465382,0.07
2010-01-11 09:00:00,-6.56,6.48459713474939,0.32
2010-01-11 12:00:00,-5.96,4.7074409183759265,0.15
2010-01-11 15:00:00,-4.56,4.318564576337836,0.12
2010-01-11 18:00:00,-2.86,5.341348144429457,0.2
2010-01-11 21:00:00,-4.06,5.79396237474839,0.12
2010-01-12 00:00:00,-5.56,5.738466694161429,0.04
2010-01-12 03:00:00,-5.66,5.6859475903318,0.02
2010-01-12 06:00:00,-5.76,5.953990258641679,0.03
2010-01-11 12:00:00,-5.46,4.201190307520002,0.0
2010-01-11 15:00:00,-4.46,5.15460958754395,0.1
2010-01-11 18:00:00,-5.06,6.618912297349165,0.1
2010-01-11 21:00:00,-6.06,5.913543776789008,0.04
2010-01-12 00:00:00,-6.96,5.860034129593445,0.03
2010-01-12 03:00:00,-5.96,5.635601121442147,0.04
2010-01-12 06:00:00,-5.66,6.161168720299744,0.06
2010-01-12 09:00:00,-6.26,5.964059020499379,0.07
2010-01-12 12:00:00,-6.86,5.5,0.08
2010-01-12 15:00:00,-6.56,3.4205262752974135,0.03
2010-01-12 18:00:00,-4.16,3.157530680769389,0.01
2010-01-12 21:00:00,-3.86,3.014962686336267,0.0
2010-01-13 00:00:00,-7.66,2.773084924772409,0.0
2010-01-13 03:00:00,-7.96,3.720215047547655,0.0
2010-01-13 06:00:00,-7.66,4.6754678910243825,0.0
2010-01-12 12:00:00,-7.36,4.386342439892261,0.0
2010-01-12 15:00:00,-6.56,3.0413812651491097,0.0
2010-01-12 18:00:00,-3.36,2.5238858928247927,0.04
2010-01-12 21:00:00,-2.66,2.5,0.0
2010-01-13 00:00:00,-6.36,2.5,0.0
2010-01-13 03:00:00,-7.46,3.397057550292605,0.0
2010-01-13 06:00:00,-7.56,4.080441152620633,0.0
2010-01-13 09:00:00,-7.16,5.1623637996561245,0.0
2010-01-13 12:00:00,-6.96,5.333854141237834,0.0
2010-01-13 15:00:00,-5.06,5.953990258641679,0.0
2010-01-13 18:00:00,-0.76,6.673080248281149,0.0
2010-01-13 21:00:00,0.34,6.0827625302982185,0.0
2010-01-14 00:00:00,-2.26,5.500909015790027,0.0
