,2019-11-15 06:00:00,2019-11-15 09:00:00,2019-11-15 12:00:00,2019-11-15 15:00:00,2019-11-15 18:00:00,2019-11-15 21:00:00,2019-11-16 00:00:00,2019-11-16 03:00:00,2019-11-16 06:00:00
DWPC,-6.9,-7.36,-7.77,-5.85,-4.07,-1.67,-3.52,-3.79,-4.06
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
LCLD,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,999.6,999.9,1000.3,1000.9,1000.4,999.5,1000.3,1000.6,1000.8
TMPC,-5.56,-6.16,-6.56,-3.26,0.54,1.54,-1.86,-2.46,-3.06
UWND,1.8,2.2,2.1,2.4,2.3,0.9,-0.7,-1.7,-2.4
VWND,-0.2,-0.9,0.2,-0.6,-1.0,-2.2,-0.9,-1.2,-0.6
WSPD,1.8110770276274835,2.3769728648009427,2.1095023109728985,2.4738633753705965,2.5079872407968904,2.3769728648009427,1.140175425099138,2.080865204668481,2.4738633753705965
