,2016-08-08 06:00:00,2016-08-08 09:00:00,2016-08-08 12:00:00,2016-08-08 15:00:00,2016-08-08 18:00:00,2016-08-08 21:00:00,2016-08-09 00:00:00,2016-08-09 03:00:00,2016-08-09 06:00:00
DWPC,16.72,16.24,17.35,19.01,19.41,20.63,21.0,18.04,16.63
HCLD,85.0,71.0,45.0,30.0,36.0,17.0,1.0,6.0,16.0
LCLD,0.0,0.0,0.0,48.0,14.0,71.0,9.0,0.0,0.0
MCLD,0.0,23.0,7.0,39.0,1.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.22,0.08,0.04,0.0,0.0
PRES,989.1,988.8,989.3,990.1,989.3,988.3,987.5,988.3,988.3
TMPC,17.74,17.24,18.44,23.14,26.74,26.64,25.24,21.04,19.14
UWND,-2.0,-2.5,-3.0,-3.8,-4.3,-2.5,-2.5,-3.3,-3.0
VWND,-2.4,-1.1,-0.9,-0.5,0.2,0.6,-0.1,-0.3,0.2
WSPD,3.1240998703626617,2.7313000567495327,3.132091952673165,3.83275357934736,4.304648650006176,2.570992026436488,2.5019992006393608,3.313608305156178,3.0066592756745814
