,2018-04-20 06:00:00,2018-04-20 09:00:00,2018-04-20 12:00:00,2018-04-20 15:00:00,2018-04-20 18:00:00,2018-04-20 21:00:00,2018-04-21 00:00:00,2018-04-21 03:00:00,2018-04-21 06:00:00
DWPC,-0.42,-1.21,-0.93,-1.38,-3.27,-2.65,0.42,-0.06,0.19
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,81.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,1004.1,1004.5,1005.3,1006.5,1005.5,1003.0,1002.8,1003.9,1003.6
TMPC,1.94,0.54,0.84,7.24,12.04,14.14,11.64,7.84,5.74
UWND,-1.3,-2.1,-1.9,-2.7,-2.6,-3.0,-2.3,-3.0,-3.4
VWND,-2.7,-1.6,-1.6,-1.1,-1.2,-1.1,-0.7,-0.8,-1.2
WSPD,2.9966648127543394,2.6400757564888173,2.483948469674844,2.9154759474226504,2.863564212655271,3.1953090617340916,2.4041630560342613,3.104834939252005,3.605551275463989
