,2014-01-03 06:00:00,2014-01-03 09:00:00,2014-01-03 12:00:00,2014-01-03 15:00:00,2014-01-03 18:00:00,2014-01-03 21:00:00,2014-01-04 00:00:00,2014-01-04 03:00:00,2014-01-04 06:00:00
DWPC,-19.08,-20.07,-20.67,-18.4,-13.82,-11.18,-10.91,-10.57,-10.6
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,1001.4,1002.1,1002.6,1002.5,1001.1,997.1,995.0,992.3,990.4
TMPC,-16.16,-16.86,-17.66,-14.56,-10.56,-8.16,-8.66,-8.26,-8.16
UWND,1.8,1.5,1.1,1.1,0.4,0.4,-0.4,0.2,1.1
VWND,-3.8,-2.4,-0.5,2.5,4.7,7.0,7.4,8.5,8.2
WSPD,4.2047592083257275,2.8301943396169813,1.2083045973594573,2.7313000567495327,4.7169905660283025,7.011419257183241,7.410802925459562,8.50235261559999,8.27345151674922
