,2017-04-12 06:00:00,2017-04-12 09:00:00,2017-04-12 12:00:00,2017-04-12 15:00:00,2017-04-12 18:00:00,2017-04-12 21:00:00,2017-04-13 00:00:00,2017-04-13 03:00:00,2017-04-13 06:00:00
DWPC,5.72,4.98,4.97,6.3,5.81,7.14,9.41,8.72,8.37
HCLD,0.0,0.0,0.0,0.0,26.0,48.0,48.0,62.0,92.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,4.0,54.0,82.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,998.8,999.5,1000.6,1001.4,1001.0,998.8,998.2,999.4,998.2
TMPC,7.64,6.54,6.94,13.14,17.34,18.84,15.14,12.64,11.84
UWND,1.1,0.0,-1.1,-1.4,-0.6,-1.0,-1.9,-1.8,-3.3
VWND,-0.9,-1.1,-1.1,0.1,1.3,2.5,2.3,2.1,3.4
WSPD,1.4212670403551897,1.1,1.5556349186104046,1.40356688476182,1.4317821063276355,2.692582403567252,2.9832867780352594,2.7658633371878665,4.738143096192853
