,2016-07-02 06:00:00,2016-07-02 09:00:00,2016-07-02 12:00:00,2016-07-02 15:00:00,2016-07-02 18:00:00,2016-07-02 21:00:00,2016-07-03 00:00:00,2016-07-03 03:00:00,2016-07-03 06:00:00
DWPC,9.69,7.31,8.86,11.22,12.86,13.82,13.65,11.06,10.64
HCLD,50.0,99.0,99.0,95.0,99.0,100.0,100.0,98.0,94.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,50.0,59.0,1.0
MCLD,0.0,0.0,64.0,80.0,96.0,100.0,100.0,25.0,1.0
PRCP,0.0,0.0,0.0,0.0,0.0,2.5,1.09,0.0,0.0
PRES,993.7,993.5,993.7,994.9,994.3,994.0,992.9,992.7,991.2
TMPC,12.14,11.24,12.64,16.64,17.14,15.44,15.54,13.54,12.94
UWND,-2.3,-2.2,-2.4,-2.5,-3.4,-1.4,-1.5,-2.9,-3.0
VWND,-1.7,-1.1,-0.1,-0.8,-0.5,1.1,0.6,-0.8,0.1
WSPD,2.8600699292150185,2.459674775249769,2.4020824298928627,2.6248809496813377,3.4365680554879163,1.7804493814764855,1.6155494421403511,3.0083217912982647,3.0016662039607267
