,2016-01-30 06:00:00,2016-01-30 09:00:00,2016-01-30 12:00:00,2016-01-30 15:00:00,2016-01-30 18:00:00,2016-01-30 21:00:00,2016-01-31 00:00:00,2016-01-31 03:00:00,2016-01-31 06:00:00
DWPC,-0.05,0.66,1.55,3.71,5.81,6.36,5.95,5.16,5.29
HCLD,6.0,55.0,57.0,30.0,22.0,51.0,75.0,86.0,98.0
LCLD,0.0,0.0,0.0,14.0,96.0,99.0,99.0,70.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
PRCP,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.01,0.01
PRES,981.7,980.5,979.4,980.2,979.7,978.3,979.3,978.8,977.2
TMPC,1.54,2.04,2.74,4.44,7.24,7.74,7.24,6.44,6.24
UWND,1.9,1.9,1.9,2.4,4.3,1.5,1.3,0.2,0.4
VWND,7.4,6.7,6.5,4.6,4.9,4.4,5.6,5.0,5.0
WSPD,7.640026177965623,6.96419413859206,6.772001181334805,5.188448708429139,6.519202405202649,4.648655719667784,5.748912940721924,5.0039984012787215,5.015974481593781
