,2010-06-22 12:00:00,2010-06-22 15:00:00,2010-06-22 18:00:00,2010-06-22 21:00:00,2010-06-23 00:00:00,2010-06-23 03:00:00,2010-06-23 06:00:00,2010-06-23 09:00:00,2010-06-23 12:00:00,2010-06-23 15:00:00,2010-06-23 18:00:00,2010-06-23 21:00:00,2010-06-24 00:00:00,2010-06-24 03:00:00,2010-06-24 06:00:00,2010-06-24 09:00:00,2010-06-24 12:00:00,2010-06-24 15:00:00,2010-06-24 18:00:00,2010-06-24 21:00:00,2010-06-25 00:00:00,2010-06-25 03:00:00,2010-06-25 06:00:00,2010-06-25 09:00:00,2010-06-25 12:00:00,2010-06-25 15:00:00,2010-06-25 18:00:00,2010-06-25 21:00:00,2010-06-26 00:00:00,2010-06-26 03:00:00,2010-06-26 06:00:00,2010-06-26 09:00:00,2010-06-26 12:00:00,2010-06-26 15:00:00,2010-06-26 18:00:00,2010-06-26 21:00:00,2010-06-27 00:00:00,2010-06-27 03:00:00,2010-06-27 06:00:00,2010-06-27 09:00:00,2010-06-27 12:00:00,2010-06-27 15:00:00,2010-06-27 18:00:00,2010-06-27 21:00:00,2010-06-28 00:00:00,2010-06-28 03:00:00,2010-06-28 06:00:00,2010-06-28 09:00:00,2010-06-28 12:00:00,2010-06-28 15:00:00,2010-06-28 18:00:00,2010-06-28 21:00:00,2010-06-29 00:00:00,2010-06-29 03:00:00,2010-06-29 06:00:00,2010-06-29 09:00:00,2010-06-29 12:00:00,2010-06-29 15:00:00,2010-06-29 18:00:00,2010-06-29 21:00:00,2010-06-30 00:00:00
DWPC,19.77,22.65,24.4,26.14,26.01,24.02,23.33,20.71,20.12,21.88,22.9,23.49,24.46,22.85,22.79,21.99,19.72,19.76,19.78,19.65,21.71,18.87,16.44,13.02,12.51,15.81,17.06,17.31,19.81,16.32,15.33,14.81,15.98,19.78,21.64,22.75,24.11,21.4,19.2,19.53,20.43,22.43,23.97,22.17,23.46,20.56,20.48,20.41,19.26,19.02,18.44,18.62,20.38,17.14,13.91,15.43,15.98,12.94,10.98,10.57,9.54
HCLD,10.0,3.0,3.0,36.0,24.0,1.0,25.0,10.0,44.0,43.0,17.0,2.0,4.0,15.0,65.0,25.0,3.0,10.0,2.0,0.0,6.0,80.0,100.0,93.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,96.0,68.0,22.0,24.0,6.0,31.0,101.0,100.0,98.0,59.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,6.0,2.0,0.0,8.0,32.0,5.0,1.0,36.0,4.0,2.0,0.0,0.0,0.0,0.0,72.0,100.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,36.0,20.0,2.0,32.0,34.0,4.0,2.0,6.0,0.0,1.0,5.0,0.0,0.0,19.0,65.0,96.0,26.0,4.0,2.0
MCLD,3.0,1.0,1.0,0.0,6.0,3.0,5.0,10.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,9.0,7.0,35.0,1.0,25.0,13.0,9.0,7.0,2.0,0.0,0.0,0.0,4.0,2.0,8.0,14.0,7.0,1.0,0.0,0.0
PRCP,0.0,0.02,0.71,4.21,0.0,0.0,2.03,0.04,0.17,0.0,0.0,0.0,0.0,2.62,6.3,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
PRES,989.9,990.3,989.4,989.7,988.8,988.8,989.7,988.2,989.5,988.7,988.1,985.9,985.1,986.9,987.7,988.0,989.8,991.0,991.0,989.7,989.7,991.0,991.4,991.5,992.6,993.0,993.1,990.7,990.1,990.7,989.9,989.5,989.6,989.0,987.2,984.3,983.3,983.9,982.0,981.7,980.2,980.7,980.2,979.6,981.2,980.4,980.7,981.5,983.7,984.2,985.1,984.6,985.2,986.4,986.6,986.6,988.5,990.9,991.1,991.4,992.6
TMPC,21.94,27.34,31.14,29.74,29.84,25.64,24.64,23.04,22.74,28.84,31.84,32.54,29.84,24.64,23.44,22.94,21.54,25.14,27.94,28.24,26.34,21.64,19.24,17.54,17.34,22.64,26.64,27.04,25.14,19.14,17.54,16.04,18.34,24.94,29.74,31.24,29.04,24.94,24.54,23.54,23.14,27.84,25.94,28.24,27.84,21.94,21.64,21.74,21.64,25.04,27.44,27.54,25.24,18.34,14.84,16.84,18.44,17.04,20.44,19.74,16.34
UWND,1.0,2.4,3.1,2.8,1.2,-0.6,-0.8,1.4,1.4,3.4,5.5,4.1,2.2,2.8,1.8,0.8,-0.3,-0.2,0.8,0.8,-0.3,-2.2,-2.2,-2.3,-2.4,-2.7,-2.5,-2.4,-1.8,-2.1,-2.4,-1.3,-1.5,-0.5,1.1,1.2,0.5,-0.4,-0.1,2.4,0.8,3.9,4.9,3.1,0.9,-0.3,1.4,1.9,2.0,2.0,1.9,1.5,0.2,-1.0,-0.3,2.4,1.3,-1.4,-1.3,-2.0,-1.4
VWND,1.7,0.8,1.9,3.0,2.3,2.0,2.7,3.5,2.8,4.8,4.1,4.2,3.1,0.0,-0.3,-2.8,-3.5,-2.1,-2.3,-2.5,-2.1,-1.9,-1.0,-0.8,-1.4,-0.8,-0.4,-0.6,0.1,0.8,0.6,1.9,2.0,2.8,3.0,3.2,2.9,3.1,4.5,2.8,5.0,3.1,-1.4,-2.2,-0.4,-0.3,-0.9,-2.9,-1.7,-4.4,-4.3,-4.2,-2.0,-1.3,0.5,-0.2,-3.6,-5.2,-5.8,-5.4,-4.6
WSPD,1.972308292331602,2.5298221281347035,3.6359317925395684,4.1036569057366385,2.5942243542145693,2.08806130178211,2.816025568065745,3.7696153649941526,3.1304951684997055,5.882176467941097,6.860029154456998,5.869412236331676,3.801315561749643,2.8,1.8248287590894658,2.912043955712207,3.5128336140500593,2.1095023109728985,2.435159132377184,2.6248809496813377,2.1213203435596424,2.906888370749727,2.4166091947189146,2.435159132377184,2.778488797889961,2.816025568065745,2.5317977802344327,2.4738633753705965,1.8027756377319946,2.247220505424423,2.4738633753705965,2.3021728866442674,2.5,2.8442925306655784,3.1953090617340916,3.417601498127013,2.9427877939124323,3.125699921617557,4.50111097397076,3.6878177829171546,5.063595560468865,4.98196748283246,5.096076922496364,3.801315561749643,0.9848857801796105,0.4242640687119285,1.6643316977093237,3.4669871646719432,2.6248809496813372,4.833218389437829,4.701063709417263,4.459820624195552,2.009975124224178,1.6401219466856727,0.58309518948453,2.4083189157584592,3.8275318418009276,5.385164807134505,5.943904440685432,5.758472019555188,4.808326112068523
