,2017-01-08 06:00:00,2017-01-08 09:00:00,2017-01-08 12:00:00,2017-01-08 15:00:00,2017-01-08 18:00:00,2017-01-08 21:00:00,2017-01-09 00:00:00,2017-01-09 03:00:00,2017-01-09 06:00:00
DWPC,-16.94,-17.91,-18.42,-19.37,-18.42,-15.83,-14.22,-13.59,-11.49
HCLD,0.0,0.0,0.0,0.0,42.0,83.0,55.0,52.0,0.0
LCLD,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0
MCLD,0.0,0.0,0.0,0.0,0.0,47.0,85.0,98.0,98.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,1010.3,1010.9,1011.8,1012.5,1011.5,1008.5,1006.9,1005.2,1003.5
TMPC,-12.76,-13.86,-14.56,-13.36,-9.16,-7.46,-8.86,-7.66,-6.26
UWND,2.3,1.5,0.8,-0.1,-0.2,-0.5,-1.2,-0.7,1.5
VWND,-3.2,-2.6,-1.7,-0.2,2.5,4.0,4.6,6.2,6.3
WSPD,3.9408120990476063,3.001666203960727,1.8788294228055935,0.223606797749979,2.5079872407968904,4.031128874149275,4.7539457296018846,6.2393909959226,6.476109943476871
