,2011-07-31 06:00:00,2011-07-31 09:00:00,2011-07-31 12:00:00,2011-07-31 15:00:00,2011-07-31 18:00:00,2011-07-31 21:00:00,2011-08-01 00:00:00,2011-08-01 03:00:00,2011-08-01 06:00:00
DWPC,21.44,19.98,20.49,23.64,24.49,24.59,26.53,17.9,18.17
HCLD,98.0,94.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,990.8,990.5,991.6,992.2,991.6,989.9,989.6,990.5,990.4
TMPC,22.14,20.54,21.24,26.24,29.44,29.94,29.04,19.14,19.24
UWND,-1.9,-1.6,-1.5,-1.3,-0.9,-0.3,-0.6,-1.0,-0.5
VWND,0.3,0.6,0.0,0.1,0.7,0.6,-0.2,0.4,1.2
WSPD,1.9235384061671343,1.7088007490635064,1.5,1.3038404810405297,1.140175425099138,0.6708203932499369,0.6324555320336759,1.077032961426901,1.3
