,2010-10-05 06:00:00,2010-10-05 09:00:00,2010-10-05 12:00:00,2010-10-05 15:00:00,2010-10-05 18:00:00,2010-10-05 21:00:00,2010-10-06 00:00:00,2010-10-06 03:00:00,2010-10-06 06:00:00
DWPC,0.24,0.21,-0.51,1.28,0.39,1.75,2.12,2.7,3.01
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,999.8,1000.0,1000.5,1001.5,1000.4,998.0,997.8,998.0,996.6
TMPC,4.34,3.44,3.34,12.24,17.64,18.34,10.74,8.84,8.34
UWND,-1.3,0.3,0.0,-0.6,1.1,1.7,2.2,1.9,2.4
VWND,-1.3,-1.8,-2.0,-1.2,-1.2,-1.0,-1.2,-1.4,-1.0
WSPD,1.8384776310850237,1.8248287590894658,2.0,1.3416407864998738,1.6278820596099708,1.972308292331602,2.505992817228334,2.360084744241189,2.6
