,2011-11-11 06:00:00,2011-11-11 09:00:00,2011-11-11 12:00:00,2011-11-11 15:00:00,2011-11-11 18:00:00,2011-11-11 21:00:00,2011-11-12 00:00:00,2011-11-12 03:00:00,2011-11-12 06:00:00
DWPC,-1.98,-2.52,-3.03,-3.8,-3.13,0.42,1.78,2.79,2.58
HCLD,0.0,0.0,32.0,10.0,40.0,13.0,-9999.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,14.0,60.0,10.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,991.0,991.0,990.6,989.7,986.2,983.2,982.6,982.9,983.1
TMPC,0.04,-0.86,-0.86,2.84,7.34,8.34,6.14,5.84,5.14
UWND,3.8,3.2,2.4,1.3,0.9,2.6,2.1,3.9,4.0
VWND,-0.5,0.4,2.2,4.4,7.3,6.1,5.6,4.2,3.4
WSPD,3.83275357934736,3.22490309931942,3.2557641192199416,4.588027898781785,7.355270219373317,6.630987860040161,5.980802621722272,5.73149195236284,5.2497618993626745
