,2011-02-07 06:00:00,2011-02-07 09:00:00,2011-02-07 12:00:00,2011-02-07 15:00:00,2011-02-07 18:00:00,2011-02-07 21:00:00,2011-02-08 00:00:00,2011-02-08 03:00:00,2011-02-08 06:00:00
DWPC,-2.27,-2.77,-3.51,-5.59,-5.19,-5.25,-5.84,-7.23,-10.42
HCLD,96.0,90.0,96.0,98.0,98.0,64.0,0.0,0.0,0.0
LCLD,83.0,100.0,100.0,88.0,78.0,60.0,84.0,100.0,94.0
MCLD,42.0,85.0,87.0,99.0,99.0,37.0,1.0,0.0,0.0
PRCP,0.0,0.03,0.09,0.03,0.03,0.05,0.11,0.09,0.1
PRES,987.6,987.6,987.9,988.9,988.7,987.4,989.2,991.4,993.2
TMPC,-2.06,-2.46,-3.06,-4.66,-3.56,-3.36,-4.96,-6.06,-8.86
UWND,2.2,1.2,1.1,1.4,1.9,2.8,2.2,3.4,4.0
VWND,-3.2,-4.1,-4.8,-4.9,-4.5,-4.8,-3.8,-4.9,-4.9
WSPD,3.88329756778952,4.272001872658765,4.924428900898052,5.096076922496364,4.884669896727925,5.556977595779922,4.39089968002003,5.964059020499379,6.325345840347388
