,2019-01-01 06:00:00,2019-01-01 09:00:00,2019-01-01 12:00:00,2019-01-01 15:00:00,2019-01-01 18:00:00,2019-01-01 21:00:00,2019-01-02 00:00:00,2019-01-02 03:00:00,2019-01-02 06:00:00
DWPC,1.54,0.56,-0.06,-0.6,-0.58,-1.3,-2.15,-3.04,-3.52
HCLD,29.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
LCLD,99.0,94.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.05,0.04,0.08,0.03,0.14,0.04,0.03,0.09
PRES,987.4,990.8,993.4,996.4,997.6,998.0,999.7,1000.0,999.9
TMPC,3.54,2.44,1.94,1.74,2.74,1.84,0.74,-0.16,-0.86
UWND,5.0,3.9,2.0,0.8,-0.4,-0.1,-0.1,0.1,-0.1
VWND,-2.1,-2.8,-3.1,-3.7,-3.5,-3.8,-3.3,-3.1,-2.0
WSPD,5.423098745182499,4.801041553663121,3.6891733491393435,3.78549864614954,3.5227829907617076,3.8013155617496426,3.3015148038438356,3.1016124838541645,2.0024984394500787
