,2017-01-30 06:00:00,2017-01-30 09:00:00,2017-01-30 12:00:00,2017-01-30 15:00:00,2017-01-30 18:00:00,2017-01-30 21:00:00,2017-01-31 00:00:00,2017-01-31 03:00:00,2017-01-31 06:00:00
DWPC,-8.18,-9.44,-10.4,-12.29,-12.9,-8.7,-2.32,1.84,0.26
HCLD,0.0,0.0,0.0,0.0,0.0,41.0,15.0,57.0,93.0
LCLD,63.0,0.0,0.0,0.0,0.0,18.0,44.0,80.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,63.0,51.0,0.0,70.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0
PRES,987.4,988.1,989.0,990.5,989.2,985.4,983.9,980.0,979.2
TMPC,-4.46,-5.16,-5.96,-4.86,-0.36,1.44,0.84,2.84,1.94
UWND,3.0,2.7,2.6,2.3,3.5,1.4,1.2,5.7,7.1
VWND,-3.4,-2.9,-2.2,-0.6,2.3,4.6,4.1,5.5,0.6
WSPD,4.534313619501853,3.96232255123179,3.4058772731852804,2.3769728648009423,4.188078318274385,4.808326112068523,4.272001872658765,7.920858539325141,7.125307010929424
