,2014-05-19 06:00:00,2014-05-19 09:00:00,2014-05-19 12:00:00,2014-05-19 15:00:00,2014-05-19 18:00:00,2014-05-19 21:00:00,2014-05-20 00:00:00,2014-05-20 03:00:00,2014-05-20 06:00:00
DWPC,6.29,5.35,5.25,7.9,9.82,11.83,12.91,12.42,13.61
HCLD,30.0,44.0,42.0,38.0,90.0,99.0,99.0,90.0,40.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,60.0
MCLD,0.0,0.0,0.0,0.0,0.0,25.0,63.0,39.0,1.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.06
PRES,996.1,995.2,995.3,995.0,993.2,990.8,988.0,988.5,987.8
TMPC,9.04,7.74,8.24,15.04,19.24,19.24,17.04,15.74,15.24
UWND,-1.3,-1.8,-2.2,-2.5,-2.5,-2.7,-2.8,-1.5,-1.2
VWND,2.4,2.3,2.7,4.1,5.3,5.2,4.7,4.3,4.5
WSPD,2.7294688127912363,2.9206163733020465,3.4828149534536,4.802082881417188,5.860034129593445,5.8591808301161015,5.470831746635972,4.55411901469428,4.657252408878008
