,2015-04-10 06:00:00,2015-04-10 09:00:00,2015-04-10 12:00:00,2015-04-10 15:00:00,2015-04-10 18:00:00,2015-04-10 21:00:00,2015-04-11 00:00:00,2015-04-11 03:00:00,2015-04-11 06:00:00
DWPC,7.34,4.24,2.75,1.92,3.64,3.84,4.49,-0.83,0.62
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,24.0,85.0,19.0,0.0,0.0,0.0,36.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,979.2,981.1,984.4,987.9,988.6,987.5,989.1,993.3,994.8
TMPC,11.04,8.54,7.44,11.64,15.64,17.14,13.44,7.74,6.44
UWND,12.5,12.0,9.6,7.7,9.7,11.5,6.5,2.9,2.6
VWND,2.1,-3.5,-3.3,-3.4,-0.7,-0.2,-5.7,-5.2,-3.0
WSPD,12.675172582651488,12.5,10.15135458941318,8.417244204607586,9.725224933131367,11.501738998951419,8.645229898620395,5.953990258641679,3.9698866482558417
