,2014-02-19 06:00:00,2014-02-19 09:00:00,2014-02-19 12:00:00,2014-02-19 15:00:00,2014-02-19 18:00:00,2014-02-19 21:00:00,2014-02-20 00:00:00,2014-02-20 03:00:00,2014-02-20 06:00:00
DWPC,1.11,-0.84,-1.46,-0.96,-0.39,0.83,-1.05,0.27,0.49
HCLD,0.0,0.0,0.0,0.0,0.0,57.0,69.0,64.0,92.0
LCLD,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0
MCLD,50.0,0.0,0.0,0.0,0.0,0.0,34.0,79.0,91.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,980.1,981.4,983.5,986.8,987.7,987.9,988.0,987.2,985.7
TMPC,2.64,0.14,-0.66,0.94,3.34,5.24,0.44,2.04,1.64
UWND,6.1,5.2,5.1,4.5,2.2,2.3,-0.4,-2.5,-2.6
VWND,0.5,-1.1,-1.3,-2.1,-1.0,0.5,1.2,3.3,4.1
WSPD,6.120457499239742,5.315072906367325,5.263078946776307,4.965883607174055,2.4166091947189146,2.3537204591879637,1.2649110640673518,4.1400483088968905,4.854894437575342
