,2014-05-23 06:00:00,2014-05-23 09:00:00,2014-05-23 12:00:00,2014-05-23 15:00:00,2014-05-23 18:00:00,2014-05-23 21:00:00,2014-05-24 00:00:00,2014-05-24 03:00:00,2014-05-24 06:00:00
DWPC,13.69,12.66,12.33,11.98,12.13,12.11,12.31,9.36,6.58
HCLD,91.0,33.0,3.0,55.0,31.0,22.0,38.0,76.0,80.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,992.4,992.6,993.4,994.5,994.4,992.9,993.1,994.7,995.2
TMPC,15.24,13.54,14.24,19.34,21.84,22.14,18.54,12.94,10.44
UWND,-1.4,-1.5,-0.8,-0.6,-1.1,-1.7,-2.3,-2.5,-2.3
VWND,-1.9,-1.8,-1.5,-2.5,-3.0,-3.1,-2.8,-1.7,-1.7
WSPD,2.360084744241189,2.3430749027719964,1.7,2.570992026436488,3.1953090617340916,3.5355339059327378,3.6235341863986874,3.023243291566195,2.8600699292150185
