,2011-05-20 06:00:00,2011-05-20 09:00:00,2011-05-20 12:00:00,2011-05-20 15:00:00,2011-05-20 18:00:00,2011-05-20 21:00:00,2011-05-21 00:00:00,2011-05-21 03:00:00,2011-05-21 06:00:00
DWPC,13.88,13.1,14.33,16.02,16.91,17.52,18.79,17.92,17.27
HCLD,93.0,47.0,81.0,97.0,99.0,93.0,81.0,98.0,98.0
LCLD,0.0,0.0,0.0,16.0,4.0,4.0,0.0,0.0,0.0
MCLD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
PRES,990.4,990.3,990.8,991.2,990.1,989.0,988.0,988.6,987.0
TMPC,15.34,14.14,16.34,21.14,24.44,25.24,22.74,19.24,18.54
UWND,0.7,-0.5,-1.6,-1.9,-2.1,-2.0,-3.0,-2.7,-3.5
VWND,1.3,1.2,1.1,1.6,1.8,2.1,1.3,1.4,1.8
WSPD,1.47648230602334,1.3,1.94164878389476,2.483948469674844,2.7658633371878665,2.9,3.269556544854363,3.0413812651491097,3.9357337308308855
