,2017-06-19 06:00:00,2017-06-19 09:00:00,2017-06-19 12:00:00,2017-06-19 15:00:00,2017-06-19 18:00:00,2017-06-19 21:00:00,2017-06-20 00:00:00,2017-06-20 03:00:00,2017-06-20 06:00:00
DWPC,14.53,14.0,14.6,16.0,16.24,15.26,16.27,13.72,12.8
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.43,1.02,0.38,0.02,0.01,0.0
PRES,982.8,982.8,984.2,985.2,985.2,985.4,985.9,987.7,987.9
TMPC,16.14,14.94,16.34,20.84,22.34,23.04,21.34,16.94,16.14
UWND,3.0,2.6,3.2,5.1,6.7,7.3,3.9,2.9,2.7
VWND,-0.5,0.0,0.1,-0.8,-1.8,-4.1,-2.4,0.7,1.8
WSPD,3.0413812651491097,2.6,3.2015621187164247,5.162363799656123,6.937578828380979,8.372574275573792,4.5793012567421245,2.9832867780352594,3.2449961479175906
