,2017-07-14 06:00:00,2017-07-14 09:00:00,2017-07-14 12:00:00,2017-07-14 15:00:00,2017-07-14 18:00:00,2017-07-14 21:00:00,2017-07-15 00:00:00,2017-07-15 03:00:00,2017-07-15 06:00:00
DWPC,21.12,19.9,18.09,18.3,18.6,19.04,19.59,17.05,15.64
HCLD,67.0,97.0,55.0,24.0,0.0,70.0,0.0,0.0,0.0
LCLD,1.0,0.0,0.0,0.0,0.0,1.0,39.0,93.0,45.0
MCLD,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0
PRES,990.7,990.3,991.2,992.3,991.9,991.4,991.3,992.9,992.8
TMPC,21.94,20.64,18.94,21.44,23.44,23.74,22.14,19.94,16.34
UWND,0.5,0.5,1.1,2.4,3.3,2.1,1.2,0.8,0.1
VWND,-2.3,-2.6,-3.0,-2.8,-2.9,-4.0,-2.7,-2.9,-2.4
WSPD,2.3537204591879637,2.6476404589747453,3.1953090617340916,3.6878177829171546,4.393176527297759,4.517742799230607,2.9546573405388314,3.0083217912982647,2.4020824298928627
