,2014-10-09 06:00:00,2014-10-09 09:00:00,2014-10-09 12:00:00,2014-10-09 15:00:00,2014-10-09 18:00:00,2014-10-09 21:00:00,2014-10-10 00:00:00,2014-10-10 03:00:00,2014-10-10 06:00:00
DWPC,5.48,3.82,5.3,7.26,8.16,8.82,9.32,9.45,9.7
HCLD,32.0,39.0,53.0,86.0,54.0,26.0,100.0,98.0,100.0
LCLD,0.0,41.0,7.0,97.0,99.0,99.0,99.0,99.0,99.0
MCLD,58.0,44.0,26.0,3.0,1.0,24.0,12.0,11.0,19.0
PRCP,0.0,0.07,0.0,0.0,0.43,0.73,0.67,0.49,0.35
PRES,991.9,991.5,992.1,992.8,992.4,990.7,991.0,991.8,991.6
TMPC,11.74,9.04,9.54,11.44,12.34,11.54,10.64,10.44,10.54
UWND,0.9,0.0,-2.4,-3.0,-2.6,-2.5,-2.4,-2.4,-2.0
VWND,0.2,-0.9,-1.4,-0.7,-0.1,-1.4,-1.1,-1.5,-1.8
WSPD,0.9219544457292888,0.9,2.778488797889961,3.0805843601498726,2.6019223662515376,2.8653097563788803,2.640075756488817,2.8301943396169813,2.6907248094147422
