,2018-11-28 06:00:00,2018-11-28 09:00:00,2018-11-28 12:00:00,2018-11-28 15:00:00,2018-11-28 18:00:00,2018-11-28 21:00:00,2018-11-29 00:00:00,2018-11-29 03:00:00,2018-11-29 06:00:00
DWPC,-10.38,-10.67,-10.88,-11.02,-10.38,-9.04,-8.04,-8.17,-7.76
HCLD,0.0,0.0,0.0,0.0,20.0,100.0,97.0,99.0,94.0
LCLD,25.0,0.0,0.0,0.0,0.0,31.0,34.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,98.0,99.0,85.0,92.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,990.4,990.2,991.2,992.4,990.3,988.7,988.2,988.1,986.6
TMPC,-7.16,-7.46,-7.66,-5.66,-1.96,-0.66,-1.06,-1.66,-1.26
UWND,4.2,2.7,2.7,2.3,1.0,0.4,-1.5,-1.3,-1.6
VWND,-0.7,-0.6,0.4,0.9,2.5,3.0,3.3,4.1,4.6
WSPD,4.257933771208753,2.7658633371878665,2.7294688127912363,2.4698178070456938,2.692582403567252,3.026549190084311,3.6249137920783716,4.301162633521313,4.870318264754368
