,2013-04-28 06:00:00,2013-04-28 09:00:00,2013-04-28 12:00:00,2013-04-28 15:00:00,2013-04-28 18:00:00,2013-04-28 21:00:00,2013-04-29 00:00:00,2013-04-29 03:00:00,2013-04-29 06:00:00
DWPC,11.37,11.26,11.24,12.62,13.39,13.34,13.48,11.77,11.2
HCLD,73.0,78.0,94.0,40.0,0.0,0.0,0.0,0.0,0.0
LCLD,99.0,96.0,100.0,87.0,69.0,83.0,29.0,0.0,0.0
MCLD,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.81,0.59,0.14,0.28,0.34,0.03,0.0,0.0
PRES,986.7,985.0,984.7,984.8,984.4,983.7,983.8,985.2,984.9
TMPC,11.84,11.54,11.54,14.54,16.84,16.74,16.04,12.94,12.04
UWND,-2.9,-1.5,-0.8,0.4,2.1,2.5,1.7,1.8,2.3
VWND,-0.2,-0.6,-1.2,-1.9,-1.8,-1.9,-1.4,-0.4,0.2
WSPD,2.9068883707497264,1.6155494421403511,1.4422205101855958,1.9416487838947598,2.7658633371878665,3.1400636936215163,2.202271554554524,1.8439088914585775,2.308679276123039
