,2016-02-01 06:00:00,2016-02-01 09:00:00,2016-02-01 12:00:00,2016-02-01 15:00:00,2016-02-01 18:00:00,2016-02-01 21:00:00,2016-02-02 00:00:00,2016-02-02 03:00:00,2016-02-02 06:00:00
DWPC,2.11,1.03,-0.54,-0.56,-0.85,-1.25,-0.78,-0.74,-0.71
HCLD,100.0,99.0,87.0,85.0,3.0,0.0,0.0,0.0,2.0
LCLD,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,100.0,86.0,52.0,83.0,55.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,984.1,985.6,987.4,988.9,989.1,987.6,988.9,988.9,988.2
TMPC,3.64,2.24,0.64,2.44,6.04,7.74,4.44,2.74,1.94
UWND,3.3,2.1,1.2,-0.7,-1.5,-2.9,-3.4,-4.7,-5.4
VWND,-2.9,-2.1,-2.3,-2.4,-1.2,-0.6,-0.7,-0.9,0.0
WSPD,4.393176527297759,2.9698484809834995,2.5942243542145693,2.5,1.9209372712298547,2.9614185789921694,3.471310991541956,4.78539444560216,5.4
