,2016-10-21 12:00:00,2016-10-21 15:00:00,2016-10-21 18:00:00,2016-10-21 21:00:00,2016-10-22 00:00:00,2016-10-22 03:00:00,2016-10-22 06:00:00,2016-10-22 09:00:00,2016-10-22 12:00:00,2016-10-22 15:00:00,2016-10-22 18:00:00,2016-10-22 21:00:00,2016-10-23 00:00:00,2016-10-23 03:00:00,2016-10-23 06:00:00,2016-10-23 09:00:00,2016-10-23 12:00:00,2016-10-23 15:00:00,2016-10-23 18:00:00,2016-10-23 21:00:00,2016-10-24 00:00:00,2016-10-24 03:00:00,2016-10-24 06:00:00,2016-10-24 09:00:00,2016-10-24 12:00:00,2016-10-24 15:00:00,2016-10-24 18:00:00,2016-10-24 21:00:00,2016-10-25 00:00:00,2016-10-25 03:00:00,2016-10-25 06:00:00,2016-10-25 09:00:00,2016-10-25 12:00:00,2016-10-25 15:00:00,2016-10-25 18:00:00,2016-10-25 21:00:00,2016-10-26 00:00:00,2016-10-26 03:00:00,2016-10-26 06:00:00,2016-10-26 09:00:00,2016-10-26 12:00:00,2016-10-26 15:00:00,2016-10-26 18:00:00,2016-10-26 21:00:00,2016-10-27 00:00:00,2016-10-27 03:00:00,2016-10-27 06:00:00,2016-10-27 09:00:00,2016-10-27 12:00:00,2016-10-27 15:00:00,2016-10-27 18:00:00,2016-10-27 21:00:00,2016-10-28 00:00:00,2016-10-28 03:00:00,2016-10-28 06:00:00,2016-10-28 09:00:00,2016-10-28 12:00:00,2016-10-28 15:00:00,2016-10-28 18:00:00,2016-10-28 21:00:00,2016-10-29 00:00:00
DWPC,1.17,2.23,3.55,2.48,1.13,0.29,-0.21,-0.62,-0.88,1.06,3.13,5.05,6.24,7.07,7.43,7.71,7.66,8.13,8.67,9.74,10.21,9.09,9.44,8.63,6.9,5.83,3.27,1.25,-0.15,-0.95,1.04,1.63,0.95,1.84,2.52,3.9,4.66,3.7,2.88,2.74,2.51,3.97,8.21,10.67,12.32,9.27,6.84,6.69,6.8,6.57,6.95,7.66,8.21,7.61,6.87,5.9,5.03,6.0,7.34,8.81,9.53
HCLD,0.0,0.0,0.0,0.0,0.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,77.0,29.0,1.0,39.0,71.0,92.0,100.0,99.0,87.0,95.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,14.0,0.0,2.0,17.0,49.0,73.0,89.0,86.0,94.0
LCLD,45.0,78.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,100.0,69.0,99.0,100.0,100.0,24.0,94.0,97.0,97.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,97.0,77.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0
PRCP,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,5.39,0.37,0.09,0.06,0.08,0.14,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
PRES,993.6,994.7,994.0,992.5,992.9,993.4,993.1,992.4,992.4,992.6,991.1,988.9,989.0,989.2,989.2,989.2,988.6,988.8,987.3,986.5,988.2,991.1,993.7,995.7,998.1,1000.9,1000.6,999.5,999.9,1000.9,1001.0,1000.9,1001.6,1002.0,999.9,997.5,997.5,997.0,995.8,994.2,992.6,990.9,988.5,985.6,986.1,986.4,987.3,987.8,989.7,991.2,991.5,991.6,992.8,992.9,992.8,992.3,992.5,992.8,990.8,988.8,989.2
TMPC,5.24,7.64,12.44,12.74,8.14,6.54,5.54,4.74,4.64,10.24,14.94,16.24,11.44,10.44,9.44,8.94,8.64,14.14,19.24,20.14,15.54,13.54,11.54,9.54,8.04,12.14,15.34,15.94,10.64,8.94,7.44,6.34,5.44,9.74,14.74,15.44,10.44,9.34,8.44,7.44,7.34,10.54,13.34,12.54,13.74,11.34,9.14,8.94,9.54,10.74,11.84,13.44,11.94,8.84,8.04,7.44,6.84,11.14,15.64,16.84,13.64
UWND,2.5,1.5,1.7,3.0,1.6,0.8,1.1,1.2,1.9,2.6,3.4,3.7,2.0,2.5,2.5,2.3,2.1,4.5,6.0,7.2,4.5,2.8,1.2,-0.4,-0.2,-1.0,0.1,0.1,-1.5,-2.5,-2.8,-2.7,-2.9,-3.4,-2.6,-2.7,-3.6,-3.9,-3.7,-3.4,-3.1,-2.4,1.1,2.2,5.9,7.5,6.7,7.2,5.1,4.9,3.8,2.6,0.8,0.9,1.4,1.7,0.6,0.5,0.8,0.7,1.7
VWND,-3.9,-5.2,-4.5,-4.4,-3.1,-2.5,-2.0,-1.2,0.7,1.8,2.9,3.6,3.2,3.0,2.2,2.0,3.0,3.7,4.3,2.5,1.0,-3.3,-3.7,-3.2,-3.1,-3.2,-2.7,-2.7,-2.3,-1.2,0.1,0.2,0.7,1.8,3.3,3.3,1.1,2.7,3.2,3.6,4.5,6.2,7.4,7.6,2.4,0.7,-1.2,-0.7,-5.4,-5.4,-4.0,-3.3,-1.6,-1.1,1.1,1.7,2.9,4.9,5.9,6.0,3.9
WSPD,4.632493928760188,5.412023651093923,4.810405388322278,5.325410782277739,3.488552708502482,2.6248809496813377,2.2825424421026654,1.697056274847714,2.0248456731316584,3.1622776601683795,4.468780594300866,5.162363799656123,3.773592452822642,3.905124837953327,3.3301651610693423,3.047950130825634,3.661966684720111,5.825804665451804,7.38173421358423,7.621679604916491,4.6097722286464435,4.32781700167648,3.889730067755345,3.22490309931942,3.1064449134018135,3.3526109228480423,2.701851217221259,2.701851217221259,2.745906043549196,2.773084924772409,2.80178514522438,2.7073972741361767,2.9832867780352594,3.8470768123342687,4.201190307520001,4.263801121065568,3.7643060449437424,4.743416490252569,4.8918299234540035,4.951767361255979,5.4644304369257,6.648308055437865,7.481310045707236,7.912016177940993,6.369458375717672,7.532595834106593,6.806614430096654,7.23394774656273,7.427651041883968,7.291776189653658,5.517245689653488,4.201190307520001,1.788854381999832,1.4212670403551897,1.7804493814764855,2.4041630560342613,2.9614185789921694,4.925444142409901,5.953990258641679,6.040695324215583,4.254409477236529
