,2013-04-17 06:00:00,2013-04-17 09:00:00,2013-04-17 12:00:00,2013-04-17 15:00:00,2013-04-17 18:00:00,2013-04-17 21:00:00,2013-04-18 00:00:00,2013-04-18 03:00:00,2013-04-18 06:00:00
DWPC,3.56,4.24,5.42,7.73,12.31,15.97,17.92,16.93,17.22
HCLD,18.0,5.0,33.0,81.0,99.0,98.0,98.0,99.0,99.0
LCLD,90.0,55.0,99.0,99.0,71.0,92.0,24.0,24.0,2.0
MCLD,0.0,0.0,0.0,0.0,6.0,78.0,50.0,91.0,15.0
PRCP,0.0,0.0,0.16,0.91,1.16,0.11,1.01,23.04,9.65
PRES,994.6,994.3,993.3,993.4,991.7,988.2,984.8,985.3,982.6
TMPC,7.34,7.24,7.54,9.34,13.74,17.24,18.64,17.34,17.74
UWND,-3.7,-3.5,-3.8,-4.1,-3.4,-2.6,-2.9,-1.7,-1.7
VWND,-3.0,-2.6,-1.8,-1.1,-0.1,1.8,1.2,2.1,4.5
WSPD,4.763402145525822,4.360045871318328,4.2047592083257275,4.244997055358225,3.4014702703389896,3.1622776601683795,3.138470965295043,2.701851217221259,4.810405388322278
