,2015-09-28 12:00:00,2015-09-28 15:00:00,2015-09-28 18:00:00,2015-09-28 21:00:00,2015-09-29 00:00:00,2015-09-29 03:00:00,2015-09-29 06:00:00,2015-09-29 09:00:00,2015-09-29 12:00:00,2015-09-29 15:00:00,2015-09-29 18:00:00,2015-09-29 21:00:00,2015-09-30 00:00:00,2015-09-30 03:00:00,2015-09-30 06:00:00,2015-09-30 09:00:00,2015-09-30 12:00:00,2015-09-30 15:00:00,2015-09-30 18:00:00,2015-09-30 21:00:00,2015-10-01 00:00:00,2015-10-01 03:00:00,2015-10-01 06:00:00,2015-10-01 09:00:00,2015-10-01 12:00:00,2015-10-01 15:00:00,2015-10-01 18:00:00,2015-10-01 21:00:00,2015-10-02 00:00:00,2015-10-02 03:00:00,2015-10-02 06:00:00,2015-10-02 09:00:00,2015-10-02 12:00:00,2015-10-02 15:00:00,2015-10-02 18:00:00,2015-10-02 21:00:00,2015-10-03 00:00:00,2015-10-03 03:00:00,2015-10-03 06:00:00,2015-10-03 09:00:00,2015-10-03 12:00:00,2015-10-03 15:00:00,2015-10-03 18:00:00,2015-10-03 21:00:00,2015-10-04 00:00:00,2015-10-04 03:00:00,2015-10-04 06:00:00,2015-10-04 09:00:00,2015-10-04 12:00:00,2015-10-04 15:00:00,2015-10-04 18:00:00,2015-10-04 21:00:00,2015-10-05 00:00:00,2015-10-05 03:00:00,2015-10-05 06:00:00,2015-10-05 09:00:00,2015-10-05 12:00:00,2015-10-05 15:00:00,2015-10-05 18:00:00,2015-10-05 21:00:00,2015-10-06 00:00:00
DWPC,17.29,18.07,17.45,17.73,16.96,17.27,18.14,18.0,17.3,18.16,17.6,14.72,11.84,8.98,7.25,4.75,3.58,5.46,5.62,4.89,5.0,3.02,2.47,1.91,1.62,-0.12,0.8,2.04,3.87,3.55,1.72,1.79,1.31,0.66,0.64,0.94,1.68,0.6,0.96,0.25,-0.64,-1.54,-1.29,-0.34,1.44,2.89,3.62,3.37,3.34,3.35,1.67,1.55,1.87,1.27,1.03,0.94,0.55,0.39,-1.47,-1.81,-0.5
HCLD,32.0,12.0,12.0,96.0,84.0,100.0,98.0,99.0,99.0,97.0,99.0,100.0,100.0,100.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,96.0,90.0,31.0,85.0,88.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,67.0,43.0,35.0,68.0,68.0,0.0,0.0,21.0,11.0,11.0,23.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,26.0,86.0,70.0,1.0,-9999.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,95.0,74.0,92.0,62.0,30.0,9.0,1.0,0.0,0.0
PRCP,0.0,1.12,0.94,0.21,0.0,0.12,4.85,0.86,0.56,2.04,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,990.1,989.2,988.5,986.8,986.8,987.6,987.6,986.5,986.9,988.3,988.4,987.6,989.3,990.9,990.9,991.2,992.7,994.1,993.0,991.5,992.3,993.6,993.9,994.1,995.5,996.7,995.7,994.2,995.0,996.2,996.3,996.5,996.9,997.6,996.1,994.0,995.4,995.9,995.2,995.6,996.5,997.0,995.8,994.1,994.5,996.2,995.2,995.6,997.3,998.0,996.7,995.5,995.2,996.2,995.6,996.1,997.0,997.8,996.8,995.2,995.7
TMPC,17.74,22.54,24.94,25.24,21.14,20.44,19.14,19.44,18.54,22.04,22.64,21.34,17.64,15.74,14.44,12.24,10.04,14.14,18.64,19.44,14.94,12.34,10.04,7.24,6.04,12.04,16.04,16.94,12.84,10.84,8.44,6.04,5.34,11.74,15.54,16.34,11.34,8.84,6.84,4.94,3.64,10.64,14.74,16.04,11.04,7.84,7.04,5.84,5.04,11.44,14.74,14.84,11.94,10.84,9.94,9.54,6.84,13.74,17.64,19.14,11.44
UWND,-0.7,-0.6,2.0,1.6,-0.8,-0.5,1.2,1.7,1.7,0.5,-3.1,-3.5,-3.6,-4.2,-3.8,-3.6,-3.7,-5.0,-4.8,-4.3,-2.2,-3.6,-4.5,-3.3,-3.4,-5.8,-5.4,-4.8,-2.5,-3.8,-4.4,-3.3,-3.3,-5.8,-5.5,-5.1,-1.7,-2.2,-3.6,-2.5,-2.2,-4.3,-2.8,-2.3,-3.5,-1.8,-2.8,-1.6,-1.4,-1.1,-1.1,0.4,-0.1,1.4,1.3,1.5,1.5,1.7,2.1,1.7,0.8
VWND,2.6,3.1,2.5,1.0,1.8,2.4,2.5,1.2,-0.3,-5.5,-7.2,-8.0,-8.2,-7.9,-6.2,-5.9,-5.1,-5.4,-5.5,-5.8,-4.9,-4.8,-4.6,-4.8,-4.7,-5.5,-6.2,-6.8,-5.8,-5.4,-4.9,-5.1,-5.0,-5.9,-6.4,-6.5,-5.6,-5.7,-2.9,-3.0,-3.8,-4.6,-5.5,-5.0,-3.6,-2.4,-3.2,-2.2,-1.6,-2.0,-1.8,-1.5,-2.1,-1.8,-1.6,-1.5,-1.7,-1.0,-0.8,-1.2,0.5
WSPD,2.6925824035672523,3.157530680769389,3.2015621187164243,1.886796226411321,1.969771560359221,2.4515301344262523,2.773084924772409,2.080865204668481,1.7262676501632068,5.522680508593631,7.8390050389064045,8.73212459828649,8.955445270895243,8.947066558375433,7.271863585079137,6.911584478250989,6.300793600809346,7.35934779718964,7.3,7.2201108024738785,5.371219600798314,6.0,6.435060217278467,5.82494635168428,5.800862004909271,7.993122043357026,8.221921916437786,8.323460818673924,6.315853069855251,6.603029607687671,6.585590330410783,6.074537019394976,5.990826320300064,8.273451516749223,8.438601779915913,8.261961026293939,5.852349955359812,6.109828148156051,4.622769732530488,3.905124837953327,4.39089968002003,6.296824596572465,6.171709649683789,5.503635162326805,5.020956084253277,3.0,4.25205832509386,2.720294101747089,2.12602916254693,2.2825424421026654,2.1095023109728985,1.5524174696260025,2.1023796041628637,2.280350850198276,2.0615528128088303,2.1213203435596424,2.2671568097509267,1.972308292331602,2.247220505424423,2.080865204668481,0.9433981132056605
