,2018-06-29 06:00:00,2018-06-29 09:00:00,2018-06-29 12:00:00,2018-06-29 15:00:00,2018-06-29 18:00:00,2018-06-29 21:00:00,2018-06-30 00:00:00,2018-06-30 03:00:00,2018-06-30 06:00:00
DWPC,19.89,19.83,21.65,24.73,26.89,27.35,26.64,24.96,24.5
HCLD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,84.0
LCLD,0.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,19.0,54.0,27.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,3.5700000000000003,2.51,0.0,0.0,0.0,0.0,0.0
PRES,986.5,986.0,987.7,988.3,987.7,986.8,986.8,987.5,987.5
TMPC,23.64,23.04,22.94,26.14,31.34,31.84,29.14,26.14,25.54
UWND,-2.0,-2.1,-1.1,1.0,0.9,0.5,-0.2,-0.4,0.2
VWND,3.9,3.3,5.2,3.4,4.1,5.5,4.3,4.0,3.9
WSPD,4.382921400162226,3.9115214431215892,5.315072906367325,3.54400902933387,4.197618372363071,5.522680508593631,4.304648650006176,4.019950248448356,3.905124837953327
