,2016-01-22 06:00:00,2016-01-22 09:00:00,2016-01-22 12:00:00,2016-01-22 15:00:00,2016-01-22 18:00:00,2016-01-22 21:00:00,2016-01-23 00:00:00,2016-01-23 03:00:00,2016-01-23 06:00:00
DWPC,-10.1,-10.11,-9.97,-8.97,-6.48,-5.91,-6.98,-7.55,-8.67
HCLD,62.0,100.0,100.0,100.0,98.0,100.0,100.0,99.0,1.0
LCLD,0.0,0.0,0.0,0.0,0.0,39.0,51.0,28.0,0.0
MCLD,64.0,0.0,0.0,9.0,-9999.0,0.0,0.0,1.0,1.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,995.6,994.8,994.9,994.3,993.6,991.6,993.4,993.7,992.8
TMPC,-8.06,-8.06,-7.76,-6.46,-3.76,-3.26,-5.06,-5.76,-7.16
UWND,-4.1,-3.6,-3.6,-4.1,-4.8,-3.8,-1.9,-2.4,-1.9
VWND,-4.0,-3.2,-4.6,-6.3,-6.2,-6.4,-6.1,-6.2,-6.3
WSPD,5.728001396647874,4.8166378315169185,5.841232746604093,7.516648189186454,7.840918313565064,7.443117626371358,6.389053137985314,6.648308055437865,6.58027355054484
