,2010-11-07 06:00:00,2010-11-07 09:00:00,2010-11-07 12:00:00,2010-11-07 15:00:00,2010-11-07 18:00:00,2010-11-07 21:00:00,2010-11-08 00:00:00,2010-11-08 03:00:00,2010-11-08 06:00:00
DWPC,-7.59,-7.77,-7.37,-5.41,-3.3,-1.55,-0.67,-0.87,-0.84
HCLD,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,1000.0,999.6,999.1,998.7,996.9,994.0,993.8,992.7,992.2
TMPC,0.84,0.44,0.24,5.44,11.94,13.24,7.64,6.24,5.14
UWND,0.5,0.9,1.4,2.6,3.0,3.0,1.8,1.9,2.3
VWND,4.0,4.4,4.6,5.5,5.4,4.7,4.2,3.9,3.4
WSPD,4.031128874149275,4.491102314577124,4.808326112068523,6.0835844697020525,6.177378084592201,5.57584074378026,4.5694638635183455,4.338202392696772,4.104875150354758
