,2010-04-22 06:00:00,2010-04-22 09:00:00,2010-04-22 12:00:00,2010-04-22 15:00:00,2010-04-22 18:00:00,2010-04-22 21:00:00,2010-04-23 00:00:00,2010-04-23 03:00:00,2010-04-23 06:00:00
DWPC,7.12,8.42,7.35,9.26,9.73,9.71,10.78,11.43,12.92
HCLD,16.0,2.0,0.0,12.0,64.0,100.0,100.0,100.0,100.0
LCLD,8.0,70.0,56.0,2.0,2.0,1.0,1.0,4.0,22.0
MCLD,93.0,100.0,24.0,2.0,0.0,2.0,20.0,18.0,84.0
PRCP,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.52
PRES,983.6,983.2,984.0,984.6,983.7,982.1,982.2,982.9,982.0
TMPC,11.34,10.74,10.64,16.14,20.14,20.04,16.54,14.14,13.84
UWND,2.7,0.4,-1.6,-0.9,-1.0,-0.5,-1.1,-1.5,-1.4
VWND,-0.6,-0.5,-0.8,0.9,1.1,1.8,1.9,2.1,2.0
WSPD,2.7658633371878665,0.6403124237432849,1.788854381999832,1.2727922061357855,1.4866068747318506,1.8681541692269406,2.195449840010015,2.5806975801127883,2.4413111231467406
