,2019-05-15 06:00:00,2019-05-15 09:00:00,2019-05-15 12:00:00,2019-05-15 15:00:00,2019-05-15 18:00:00,2019-05-15 21:00:00,2019-05-16 00:00:00,2019-05-16 03:00:00,2019-05-16 06:00:00
DWPC,11.33,11.02,10.43,11.4,13.18,13.56,14.24,13.71,13.81
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
LCLD,80.0,100.0,100.0,70.0,77.0,15.0,17.0,0.0,0.0
MCLD,82.0,75.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,2.65,0.77,0.04,0.0,0.0,0.0,0.0,0.0
PRES,988.4,986.8,987.0,987.3,987.2,986.2,986.4,987.2,987.6
TMPC,14.04,13.34,13.04,16.14,19.94,22.44,21.24,16.24,14.64
UWND,-2.0,-2.8,-2.2,-0.8,-1.4,-1.0,-0.5,-1.1,-0.2
VWND,1.8,2.1,3.1,2.9,0.0,0.5,0.3,2.6,2.7
WSPD,2.6907248094147422,3.5,3.801315561749643,3.0083217912982647,1.4,1.118033988749895,0.58309518948453,2.823118842698621,2.7073972741361767
