,2013-11-05 06:00:00,2013-11-05 09:00:00,2013-11-05 12:00:00,2013-11-05 15:00:00,2013-11-05 18:00:00,2013-11-05 21:00:00,2013-11-06 00:00:00,2013-11-06 03:00:00,2013-11-06 06:00:00
DWPC,5.16,5.38,5.69,6.62,6.19,6.75,7.44,8.0,8.72
HCLD,1.0,54.0,76.0,16.0,66.0,66.0,96.0,1.0,-9999.0
LCLD,1.0,0.0,46.0,20.0,26.0,29.0,45.0,50.0,94.0
MCLD,0.0,0.0,6.0,95.0,83.0,85.0,99.0,84.0,98.0
PRCP,0.0,0.0,0.0,0.16,0.01,0.44,0.1,0.21,1.18
PRES,997.7,997.4,998.1,999.1,997.4,995.6,994.4,992.7,990.9
TMPC,7.54,7.54,8.14,9.64,12.84,11.54,10.84,11.14,11.24
UWND,0.6,0.5,0.1,-0.4,0.3,-1.3,-2.2,-2.2,-1.0
VWND,4.3,3.6,3.6,5.2,6.0,4.4,4.4,5.4,7.1
WSPD,4.341658669218481,3.6345563690772495,3.6013886210738213,5.215361924162119,6.007495318350236,4.588027898781785,4.919349550499538,5.830951894845301,7.170076708097341
